resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Growth,G2_SIGMA08,Monetary Policy Shock,Inflation,0,-0.026829246,-0.07093184,-0.121160077,-0.168711054,-0.181539895,-0.16729539,-0.137609562,-0.103123023,-0.071354778,-0.046356308,-0.029281529,-0.019312806,-0.014602596,-0.013044094,-0.012792807,-0.012536092,-0.011554714,-0.009642806,-0.006955033,-0.003838387,-0.000687741,0.002155028,0.004454613,0.00609567,0.00706843,0.00743974,0.007320549,0.006837312,0.006111135,0.005245467,0.004321202,0.003397069,0.002513043,0.001694865,0.000958353,0.000312791,-0.00023681,-0.00068845,-0.001042592,-0.001301994,-0.001471661,-0.001558731,-0.001572207,-0.001522548,-0.001421133,-0.001279692,-0.001109754,-0.000922168,-0.000726732,-0.000531937,-0.000344831,-0.000170974,-1.4482E-05,0.000121878,0.000236549,0.000329026,0.000399685,0.00044962,0.000480471,0.000494276,0.000493332,0.000480066,0.00045693,0.000426308,0.000390443,0.000351381,0.000310928,0.000270631,0.00023176,0.000195314,0.000162029,0.000132399,0.000106698,8.5008E-05,6.72537E-05,5.3229E-05,4.26296E-05,3.50813E-05,3.01664E-05,2.74467E-05,2.64842E-05,2.68565E-05,2.81706E-05,3.00722E-05,3.22521E-05,3.44499E-05,3.64552E-05,3.81066E-05,3.92891E-05,3.99303E-05,3.99957E-05,3.94828E-05,3.84162E-05,3.68412E-05,3.48186E-05,3.24195E-05,2.97211E-05,2.68019E-05,2.3739E-05
IRF,Growth,G2_SIGMA08,Monetary Policy Shock,Interest,0,0.969322651,0.672434898,0.430917693,0.235425075,0.109284617,0.032060957,-0.010523896,-0.029524855,-0.033754783,-0.030074109,-0.023391119,-0.016768012,-0.011716777,-0.008622089,-0.007187581,-0.006820096,-0.006905589,-0.006968033,-0.006728762,-0.006096266,-0.005118002,-0.003920319,-0.002654185,-0.001455857,-0.00042482,0.000383167,0.000952316,0.001297116,0.00145082,0.001454937,0.001351269,0.001176927,0.000962033,0.000729391,0.000495377,0.000271326,6.49456E-05,-0.000118538,-0.000275594,-0.000403944,-0.000502361,-0.000570614,-0.00060945,-0.000620555,-0.000606459,-0.000570384,-0.000516047,-0.000447438,-0.000368604,-0.000283458,-0.000195621,-0.000108303,-2.42385E-05,5.43556E-05,0.00012578,0.000188831,0.000242766,0.00028725,0.000322304,0.000348242,0.00036562,0.000375169,0.000377751,0.000374308,0.000365814,0.000353243,0.000337535,0.000319569,0.000300147,0.000279976,0.000259665,0.000239719,0.000220538,0.000202427,0.000185598,0.000170182,0.000156236,0.00014376,0.000132703,0.000122976,0.000114462,0.000107027,0.000100527,9.48146E-05,8.97471E-05,8.51899E-05,8.10204E-05,7.71306E-05,7.34283E-05,6.98379E-05,6.63003E-05,6.27718E-05,5.92231E-05,5.56379E-05,5.20108E-05,4.83453E-05,4.46524E-05,4.09482E-05,3.72526E-05
IRF,Growth,G2_SIGMA08,Monetary Policy Shock,Output,0,-0.164931054,-0.226800104,-0.230993485,-0.207008041,-0.172730374,-0.137420146,-0.105436312,-0.078383062,-0.056341195,-0.038619401,-0.024252556,-0.012329413,-0.002175376,0.006589806,0.014087892,0.02027111,0.025024957,0.028255367,0.02994454,0.03017247,0.029110208,0.026995142,0.024098973,0.020696861,0.017042995,0.013354758,0.009805235,0.00652242,0.003592925,0.00106807,-0.001029288,-0.002698292,-0.003954536,-0.004825576,-0.00534741,-0.005561704,-0.005513549,-0.005249569,-0.004816262,-0.004258547,-0.003618499,-0.002934309,-0.0022395,-0.001562409,-0.000925938,-0.000347562,0.000160442,0.000590595,0.00093968,0.001208128,0.00139937,0.001519176,0.001575028,0.001575537,0.001529922,0.001447558,0.001337601,0.001208679,0.00106867,0.000924532,0.000782203,0.000646559,0.000521408,0.000409536,0.000312777,0.000232104,0.000167743,0.00011929,8.58338E-05,6.60776E-05,5.84501E-05,6.12119E-05,7.25474E-05,9.06451E-05,0.000113763,0.00014028,0.000168737,0.000197856,0.000226564,0.000253991,0.000279467,0.000302513,0.000322827,0.000340259,0.000354794,0.000366528,0.000375643,0.000382386,0.000387051,0.000389954,0.000391421,0.000391774,0.000391318,0.000390333,0.000389069,0.000387738,0.000386519,0.00038555,0.000384934
IRF,Growth,G2_SIGMA08,Monetary Policy Shock,Output Gap,0,-0.164931054,-0.223661203,-0.22378761,-0.195972403,-0.158584883,-0.12099508,-0.087515834,-0.059658795,-0.037409686,-0.019990323,-0.006355551,0.004482247,0.013271954,0.020465908,0.026254755,0.030655244,0.03361196,0.035083593,0.035097959,0.033772849,0.031308765,0.027963965,0.024022552,0.019764098,0.015440054,0.011259005,0.007380428,0.003915192,0.000930514,-0.001542818,-0.003502652,-0.004968209,-0.005973919,-0.006564482,-0.006791041,-0.006708234,-0.00637188,-0.005837108,-0.00515679,-0.004380236,-0.00355212,-0.002711663,-0.001892084,-0.001120329,-0.000417062,0.000203091,0.000731104,0.001162955,0.001498928,0.001742861,0.001901384,0.001983176,0.001998284,0.001957503,0.00187184,0.001752069,0.001608368,0.001450048,0.001285358,0.001121358,0.000963873,0.000817481,0.000685564,0.000570387,0.000473208,0.000394401,0.0003336,0.000289838,0.000261686,0.000247386,0.000244977,0.000252398,0.000267587,0.000288552,0.000313439,0.000340575,0.000368497,0.000395973,0.000422003,0.000445824,0.000466887,0.000484848,0.000499544,0.000510962,0.000519219,0.000524535,0.000527202,0.000527564,0.000525995,0.000522878,0.00051859,0.000513488,0.000507901,0.000502119,0.000496393,0.000490927,0.000485885,0.000481385,0.000477507
IRF,Growth,G2_SIGMA08,Monetary Policy Shock,inflationq,0,-0.107316986,-0.176410373,-0.200912948,-0.190203908,-0.15863235,-0.119432356,-0.082169634,-0.052257753,-0.031559371,-0.019438476,-0.013870516,-0.012382863,-0.01271853,-0.013204468,-0.012865366,-0.011356004,-0.008793019,-0.005556836,-0.002114273,0.001110579,0.003809567,0.005814239,0.007084067,0.007674806,0.007700607,0.007299481,0.006607303,0.005741858,0.004795897,0.003836809,0.002910244,0.002045327,0.001259791,0.000564096,-3.58034E-05,-0.000536921,-0.000938612,-0.001242465,-0.001452371,-0.001574529,-0.00161728,-0.001590742,-0.001506278,-0.001375893,-0.00121162,-0.001024978,-0.000826525,-0.000625548,-0.000429876,-0.000245801,-7.81007E-05,6.98793E-05,0.000196094,0.00029964,0.000380583,0.000439785,0.000478733,0.000499378,0.000503986,0.000495008,0.000474957,0.000446315,0.000411442,0.000372519,0.000331497,0.000290064,0.000249632,0.00021133,0.000176014,0.00014428,0.000116494,9.28093E-05,7.3207E-05,5.75219E-05,4.54766E-05,3.67106E-05,3.08094E-05,2.73287E-05,2.58167E-05,2.58321E-05,2.69591E-05,2.88179E-05,3.10732E-05,3.34386E-05,3.56787E-05,3.76092E-05,3.90943E-05,4.0044E-05,4.04087E-05,4.01741E-05,3.93558E-05,3.79928E-05,3.61423E-05,3.3874E-05,3.12652E-05,2.83967E-05,2.53485E-05,2.21973E-05,1.90136E-05
IRF,Growth,G3_CW03,Monetary Policy Shock,Inflation,0,-0.00709807,-0.018505288,-0.033673229,-0.052596728,-0.066830827,-0.078229843,-0.08644993,-0.090629052,-0.091423142,-0.089238436,-0.084597006,-0.078147051,-0.070488918,-0.06216386,-0.053633756,-0.045264763,-0.037329909,-0.030017408,-0.023442374,-0.017660512,-0.012681572,-0.008481554,-0.005013178,-0.002214401,-1.50837E-05,0.001658019,0.002877642,0.00371352,0.004230757,0.004488842,0.004541145,0.004434747,0.004210516,0.00390335,0.003542532,0.003152162,0.002751631,0.002356129,0.001977141,0.001622958,0.001299149,0.001009018,0.000754025,0.000534163,0.000348303,0.000194485,7.01772E-05,-2.75085E-05,-0.000101643,-0.000155338,-0.000191635,-0.000213424,-0.000223387,-0.00022396,-0.000217309,-0.000205328,-0.000189639,-0.000171605,-0.000152345,-0.000132757,-0.000113539,-9.52146E-05,-7.81583E-05,-6.26153E-05,-4.87259E-05,-3.6545E-05,-2.60605E-05,-1.72088E-05,-9.88952E-06,-3.97671E-06,6.71E-07,4.20152E-06,6.76476E-06,8.50575E-06,9.56194E-06,1.00604E-05,1.01163E-05,9.83192E-06,9.29639E-06,8.58601E-06,7.76477E-06,6.88518E-06,5.98931E-06,5.10985E-06,4.27131E-06,3.49111E-06,2.78074E-06,2.1467E-06,1.59154E-06,1.11468E-06,7.13E-07,3.82E-07,1.16E-07,-9.20E-08,-2.49E-07,-3.61E-07,-4.36E-07,-4.79E-07,-4.98E-07
IRF,Growth,G3_CW03,Monetary Policy Shock,Interest,0,0.993664577,0.72648125,0.513180217,0.340867681,0.207526443,0.111544259,0.04592416,0.003999637,-0.020948157,-0.034459068,-0.040790781,-0.042963637,-0.042949151,-0.04191114,-0.040451535,-0.038816681,-0.037057399,-0.035140457,-0.0330177,-0.030662307,-0.028081937,-0.02531747,-0.022434228,-0.019510602,-0.016627203,-0.013858213,-0.011265556,-0.00889582,-0.006779484,-0.004931847,-0.003355038,-0.002040581,-0.000972098,-0.000127864,0.000516957,0.000988486,0.001312713,0.001514476,0.001616777,0.001640372,0.001603579,0.001522238,0.001409787,0.001277412,0.001134229,0.000987505,0.000842872,0.000704547,0.000575541,0.000457849,0.000352633,0.00026038,0.000181045,0.000114181,5.90426E-05,1.46826E-05,-1.99725E-05,-4.60582E-05,-6.47212E-05,-7.70805E-05,-8.41975E-05,-8.70554E-05,-8.65459E-05,-8.34617E-05,-7.8494E-05,-7.22339E-05,-6.51769E-05,-5.77288E-05,-5.02142E-05,-4.28841E-05,-3.59258E-05,-2.94714E-05,-2.36063E-05,-1.83775E-05,-1.38009E-05,-9.86837E-06,-6.55307E-06,-3.81506E-06,-1.60544E-06,1.30E-07,1.44769E-06,2.40423E-06,3.05433E-06,3.44961E-06,3.63768E-06,3.66156E-06,3.55938E-06,3.36434E-06,3.10476E-06,2.80437E-06,2.48261E-06,2.15503E-06,1.83369E-06,1.52758E-06,1.24311E-06,9.84E-07,7.54E-07,5.53E-07,3.80E-07
IRF,Growth,G3_CW03,Monetary Policy Shock,Output,0,-0.029389175,-0.094621601,-0.152426075,-0.194349673,-0.213891238,-0.212736652,-0.194948563,-0.166010382,-0.131204883,-0.095004945,-0.060729391,-0.030533635,-0.005549512,0.013892416,0.028026438,0.037436417,0.042881109,0.045165382,0.045054701,0.043225701,0.040244168,0.036561904,0.032525229,0.028389459,0.024335409,0.02048536,0.016917131,0.013675675,0.010782184,0.008240961,0.006044476,0.004177018,0.002617341,0.001340583,0.00031972,-0.000473321,-0.001066765,-0.001488271,-0.001764343,-0.001919879,-0.001977815,-0.001958897,-0.001881544,-0.001761798,-0.001613361,-0.001447687,-0.00127413,-0.001100125,-0.000931387,-0.000772124,-0.000625256,-0.000492614,-0.000375142,-0.000273069,-0.000186075,-0.000113426,-5.41003E-05,-6.88425E-06,2.95395E-05,5.65266E-05,7.54183E-05,8.75014E-05,9.39795E-05,9.59544E-05,9.44144E-05,9.02291E-05,8.41494E-05,7.68114E-05,6.87428E-05,6.03715E-05,5.20348E-05,4.39906E-05,3.64267E-05,2.94722E-05,2.32064E-05,1.76679E-05,1.28634E-05,8.77442E-06,5.36404E-06,2.58226E-06,3.71E-07,-1.33341E-06,-2.59463E-06,-3.47637E-06,-4.03937E-06,-4.34036E-06,-4.43113E-06,-4.35808E-06,-4.16198E-06,-3.87798E-06,-3.53581E-06,-3.16011E-06,-2.77079E-06,-2.38356E-06,-2.01036E-06,-1.65989E-06,-1.33807E-06,-1.04854E-06,-7.93E-07
IRF,Growth,G3_CW03,Monetary Policy Shock,Output Gap,0,-0.029389175,-0.094621601,-0.152426075,-0.194349673,-0.213891238,-0.212736652,-0.194948563,-0.166010382,-0.131204883,-0.095004945,-0.060729391,-0.030533635,-0.005549512,0.013892416,0.028026438,0.037436417,0.042881109,0.045165382,0.045054701,0.043225701,0.040244168,0.036561904,0.032525229,0.028389459,0.024335409,0.02048536,0.016917131,0.013675675,0.010782184,0.008240961,0.006044476,0.004177018,0.002617341,0.001340583,0.00031972,-0.000473321,-0.001066765,-0.001488271,-0.001764343,-0.001919879,-0.001977815,-0.001958897,-0.001881544,-0.001761798,-0.001613361,-0.001447687,-0.00127413,-0.001100125,-0.000931387,-0.000772124,-0.000625256,-0.000492614,-0.000375142,-0.000273069,-0.000186075,-0.000113426,-5.41003E-05,-6.88425E-06,2.95395E-05,5.65266E-05,7.54183E-05,8.75014E-05,9.39795E-05,9.59544E-05,9.44144E-05,9.02291E-05,8.41494E-05,7.68114E-05,6.87428E-05,6.03715E-05,5.20348E-05,4.39906E-05,3.64267E-05,2.94722E-05,2.32064E-05,1.76679E-05,1.28634E-05,8.77442E-06,5.36404E-06,2.58226E-06,3.71E-07,-1.33341E-06,-2.59463E-06,-3.47637E-06,-4.03937E-06,-4.34036E-06,-4.43113E-06,-4.35808E-06,-4.16198E-06,-3.87798E-06,-3.53581E-06,-3.16011E-06,-2.77079E-06,-2.38356E-06,-2.01036E-06,-1.65989E-06,-1.33807E-06,-1.04854E-06,-7.93E-07
IRF,Growth,G3_CW03,Monetary Policy Shock,inflationq,0,-0.02839228,-0.045628871,-0.060671765,-0.075693996,-0.085328675,-0.091224935,-0.093552115,-0.092410484,-0.088505035,-0.082486111,-0.074986394,-0.066610666,-0.057872502,-0.049185878,-0.04086598,-0.033134694,-0.026133086,-0.019935872,-0.014565845,-0.010007246,-0.006217323,-0.003135802,-0.000692339,0.001187858,0.002579948,0.003556608,0.004186153,0.004531371,0.004648895,0.00458895,0.004395364,0.004105777,0.003751972,0.003360286,0.002952093,0.002544296,0.002149851,0.001778275,0.001436143,0.001127563,0.000854614,0.000617752,0.000416171,0.000248117,0.000111172,2.47892E-06,-8.10591E-05,-0.000142626,-0.000185367,-0.000212301,-0.000226246,-0.000229782,-0.00022522,-0.000214589,-0.000199642,-0.000181859,-0.000162466,-0.000142453,-0.000122602,-0.000103505,-8.55931E-05,-6.91579E-05,-5.43769E-05,-4.13333E-05,-3.00355E-05,-2.04345E-05,-1.24387E-05,-5.92665E-06,-7.58E-07,3.21673E-06,6.1514E-06,8.1962E-06,9.4947E-06,1.01807E-05,1.03761E-05,1.01901E-05,9.71832E-06,9.04309E-06,8.23402E-06,7.34862E-06,6.43335E-06,5.52474E-06,4.65052E-06,3.83078E-06,3.07919E-06,2.40397E-06,1.809E-06,1.29463E-06,8.59E-07,4.97E-07,2.03E-07,-2.91E-08,-2.06E-07,-3.35E-07,-4.24E-07,-4.79E-07,-5.05E-07,-5.10E-07,-4.97E-07
