resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Taylor,G2_SIGMA08,Monetary Policy Shock,Inflation,0,-0.002386641,-0.005307969,-0.007839227,-0.009649579,-0.008360506,-0.005989882,-0.003671564,-0.001924318,-0.000877298,-0.000444541,-0.000446627,-0.000688851,-0.001006138,-0.001283265,-0.001457624,-0.00151098,-0.001455924,-0.001321599,-0.001141734,-0.000946503,-0.000758329,-0.000590922,-0.000450402,-0.000337414,-0.000249368,-0.000182285,-0.000132049,-9.50714E-05,-6.85134E-05,-5.02386E-05,-3.86376E-05,-3.24411E-05,-3.05715E-05,-3.20558E-05,-3.59909E-05,-4.15448E-05,-4.79753E-05,-5.46512E-05,-6.10662E-05,-6.68432E-05,-7.17274E-05,-7.55732E-05,-7.83256E-05,-8.00007E-05,-8.06668E-05,-8.04276E-05,-7.94083E-05,-7.77446E-05,-7.55738E-05,-7.30287E-05,-7.02334E-05,-6.72996E-05,-6.43254E-05,-6.13942E-05,-5.85741E-05,-5.59189E-05,-5.34686E-05,-5.12507E-05,-4.92813E-05,-4.75671E-05,-4.61067E-05,-4.4892E-05,-4.39099E-05,-4.31437E-05,-4.25742E-05,-4.21806E-05,-4.19418E-05,-4.18367E-05,-4.18451E-05,-4.19477E-05,-4.2127E-05,-4.23671E-05,-4.26538E-05,-4.29747E-05,-4.33193E-05,-4.36787E-05,-4.40456E-05,-4.4414E-05,-4.47793E-05,-4.5138E-05,-4.54876E-05,-4.58262E-05,-4.61529E-05,-4.64669E-05,-4.67682E-05,-4.7057E-05,-4.73335E-05,-4.75984E-05,-4.78522E-05,-4.80957E-05,-4.83296E-05,-4.85545E-05,-4.8771E-05,-4.89798E-05,-4.91813E-05,-4.93762E-05,-4.95647E-05,-4.97473E-05,-4.99242E-05
IRF,Taylor,G2_SIGMA08,Monetary Policy Shock,Interest,0,0.981347955,-0.017497006,-0.017698105,-0.018128457,-0.014782957,-0.010357399,-0.006337458,-0.003369401,-0.001565413,-0.000744842,-0.000606956,-0.000843664,-0.001203306,-0.001516748,-0.001696953,-0.001722741,-0.001616043,-0.001419701,-0.001180078,-0.000936105,-0.00071442,-0.000529083,-0.000383996,-0.000276348,-0.000199914,-0.000147562,-0.000112808,-9.05012E-05,-7.69266E-05,-6.95617E-05,-6.67244E-05,-6.7241E-05,-7.02041E-05,-7.4832E-05,-8.04117E-05,-8.62954E-05,-9.19213E-05,-9.6837E-05,-0.000100716,-0.000103357,-0.000104677,-0.00010469,-0.000103486,-0.000101207,-9.80257E-05,-9.41289E-05,-8.97044E-05,-8.49313E-05,-7.99732E-05,-7.4975E-05,-7.00608E-05,-6.53332E-05,-6.08735E-05,-5.67436E-05,-5.29864E-05,-4.96286E-05,-4.66823E-05,-4.41469E-05,-4.20121E-05,-4.02592E-05,-3.88633E-05,-3.77953E-05,-3.70235E-05,-3.65148E-05,-3.62359E-05,-3.61544E-05,-3.62394E-05,-3.64622E-05,-3.67963E-05,-3.7218E-05,-3.77064E-05,-3.82433E-05,-3.88131E-05,-3.94027E-05,-4.00014E-05,-4.06006E-05,-4.11934E-05,-4.17746E-05,-4.23404E-05,-4.28883E-05,-4.34165E-05,-4.39242E-05,-4.4411E-05,-4.48772E-05,-4.53232E-05,-4.57498E-05,-4.61578E-05,-4.65483E-05,-4.69222E-05,-4.72806E-05,-4.76242E-05,-4.79541E-05,-4.82711E-05,-4.85758E-05,-4.88691E-05,-4.91514E-05,-4.94233E-05,-4.96854E-05,-4.99379E-05
IRF,Taylor,G2_SIGMA08,Monetary Policy Shock,Output,0,-0.030144165,-0.019488407,-0.012494425,-0.007993643,-0.005177732,-0.003422409,-0.002312942,-0.001588654,-0.001085047,-0.000697258,-0.000362181,-4.93484E-05,0.000246907,0.000516591,0.000743598,0.000913666,0.001019249,0.001061025,0.001046756,0.000988698,0.000900712,0.000795895,0.000685096,0.000576314,0.000474784,0.000383452,0.000303592,0.000235384,0.000178374,0.000131776,9.46552E-05,6.60176E-05,4.48524E-05,3.01474E-05,2.0903E-05,1.61466E-05,1.49518E-05,1.64589E-05,1.98922E-05,2.45741E-05,2.99323E-05,3.55012E-05,4.09178E-05,4.59139E-05,5.03052E-05,5.3979E-05,5.68823E-05,5.90093E-05,6.03906E-05,6.10835E-05,6.1163E-05,6.07152E-05,5.98309E-05,5.86012E-05,5.71136E-05,5.54492E-05,5.36813E-05,5.1874E-05,5.00813E-05,4.83478E-05,4.67084E-05,4.51893E-05,4.38084E-05,4.25769E-05,4.14997E-05,4.05766E-05,3.98035E-05,3.91731E-05,3.86758E-05,3.83003E-05,3.80346E-05,3.78661E-05,3.77824E-05,3.77716E-05,3.78222E-05,3.79238E-05,3.80668E-05,3.82427E-05,3.8444E-05,3.86644E-05,3.88984E-05,3.91414E-05,3.93897E-05,3.96404E-05,3.98911E-05,4.01402E-05,4.03863E-05,4.06285E-05,4.08663E-05,4.10994E-05,4.13276E-05,4.15509E-05,4.17695E-05,4.19835E-05,4.21931E-05,4.23987E-05,4.26004E-05,4.27984E-05,4.29931E-05
IRF,Taylor,G2_SIGMA08,Monetary Policy Shock,Output Gap,0,-0.030144165,-0.019070104,-0.011878529,-0.007308177,-0.004484396,-0.002745152,-0.001660225,-0.000965847,-0.000498931,-0.000156061,0.000125969,0.000379224,0.0006118,0.0008163,0.000978966,0.001087456,0.001135687,0.001125395,0.001065046,0.000967298,0.000846148,0.000714601,0.000583214,0.000459546,0.000348277,0.000251732,0.000170533,0.000104212,5.16871E-05,1.15922E-05,-1.7536E-05,-3.71589E-05,-4.86938E-05,-5.34964E-05,-5.28505E-05,-4.79565E-05,-3.99166E-05,-2.97206E-05,-1.82327E-05,-6.18418E-06,5.82838E-06,1.73392E-05,2.80041E-05,3.75877E-05,4.59489E-05,5.30249E-05,5.88161E-05,6.33712E-05,6.67749E-05,6.91361E-05,7.05785E-05,7.12325E-05,7.12292E-05,7.06953E-05,6.97494E-05,6.84994E-05,6.70413E-05,6.54581E-05,6.38196E-05,6.21831E-05,6.05935E-05,5.90852E-05,5.76826E-05,5.64015E-05,5.52507E-05,5.4233E-05,5.33466E-05,5.25858E-05,5.19426E-05,5.14071E-05,5.09682E-05,5.06147E-05,5.03352E-05,5.01187E-05,4.99551E-05,4.9835E-05,4.975E-05,4.96927E-05,4.9657E-05,4.96374E-05,4.96297E-05,4.96303E-05,4.96365E-05,4.96464E-05,4.96583E-05,4.96713E-05,4.96848E-05,4.96985E-05,4.97122E-05,4.97261E-05,4.97403E-05,4.97551E-05,4.97708E-05,4.97876E-05,4.98058E-05,4.98257E-05,4.98474E-05,4.98711E-05,4.98968E-05
IRF,Taylor,G2_SIGMA08,Monetary Policy Shock,inflationq,0,-0.009546566,-0.011685311,-0.010125033,-0.007241406,-0.004390273,-0.002202816,-0.000851761,-0.000252424,-0.000202192,-0.000471788,-0.000860104,-0.001221319,-0.00147134,-0.001580297,-0.001557541,-0.00143474,-0.001251119,-0.001042996,-0.000838081,-0.000653813,-0.000498426,-0.000373369,-0.000276001,-0.000201861,-0.000146241,-0.000105039,-7.50568E-05,-5.39482E-05,-4.00094E-05,-3.19398E-05,-2.86531E-05,-2.91619E-05,-3.25311E-05,-3.78773E-05,-4.43935E-05,-5.13773E-05,-5.8253E-05,-6.45808E-05,-7.00537E-05,-7.44851E-05,-7.77899E-05,-7.99641E-05,-8.10634E-05,-8.11855E-05,-8.04542E-05,-7.90072E-05,-7.69863E-05,-7.45306E-05,-7.1771E-05,-6.88271E-05,-6.58049E-05,-6.27955E-05,-5.98743E-05,-5.7102E-05,-5.45246E-05,-5.21747E-05,-5.00732E-05,-4.82302E-05,-4.66471E-05,-4.5318E-05,-4.42314E-05,-4.33713E-05,-4.27188E-05,-4.22533E-05,-4.19533E-05,-4.17971E-05,-4.17636E-05,-4.1833E-05,-4.19866E-05,-4.22076E-05,-4.24809E-05,-4.27933E-05,-4.31333E-05,-4.34913E-05,-4.38594E-05,-4.42309E-05,-4.46007E-05,-4.49649E-05,-4.53206E-05,-4.56658E-05,-4.5999E-05,-4.63195E-05,-4.66272E-05,-4.6922E-05,-4.72042E-05,-4.74745E-05,-4.77333E-05,-4.79815E-05,-4.82196E-05,-4.84485E-05,-4.86687E-05,-4.8881E-05,-4.90857E-05,-4.92836E-05,-4.9475E-05,-4.96603E-05,-4.98398E-05,-5.00139E-05,-5.01829E-05
IRF,Taylor,G3_CW03,Monetary Policy Shock,Inflation,0,-0.000529463,-0.001341062,-0.002330485,-0.003464758,-0.004097287,-0.004409735,-0.004463396,-0.004261229,-0.003909093,-0.003473855,-0.003007721,-0.002554768,-0.002142202,-0.001784517,-0.001486677,-0.001246526,-0.001057571,-0.000911214,-0.000798368,-0.000710567,-0.000640597,-0.000582761,-0.000532871,-0.000488084,-0.000446652,-0.000407639,-0.000370669,-0.0003357,-0.000302856,-0.000272304,-0.000244187,-0.000218575,-0.000195459,-0.000174755,-0.00015632,-0.000139968,-0.000125491,-0.000112677,-0.000101321,-9.12325E-05,-8.22431E-05,-7.42063E-05,-6.69982E-05,-6.05149E-05,-5.46702E-05,-4.93925E-05,-4.4622E-05,-4.03076E-05,-3.64058E-05,-3.2878E-05,-2.96897E-05,-2.681E-05,-2.42102E-05,-2.18642E-05,-1.97479E-05,-1.78392E-05,-1.61177E-05,-1.4565E-05,-1.31642E-05,-1.19001E-05,-1.07591E-05,-9.72873E-06,-8.79804E-06,-7.95714E-06,-7.19716E-06,-6.51016E-06,-5.88905E-06,-5.32742E-06,-4.81953E-06,-4.36023E-06,-3.94483E-06,-3.56913E-06,-3.22934E-06,-2.922E-06,-2.64402E-06,-2.39257E-06,-2.16512E-06,-1.95937E-06,-1.77323E-06,-1.60484E-06,-1.45248E-06,-1.31463E-06,-1.18989E-06,-1.07701E-06,-9.75E-07,-8.82E-07,-7.99E-07,-7.23E-07,-6.55E-07,-5.93E-07,-5.36E-07,-4.86E-07,-4.40E-07,-3.98E-07,-3.60E-07,-3.26E-07,-2.95E-07,-2.67E-07,-2.42E-07
IRF,Taylor,G3_CW03,Monetary Policy Shock,Interest,0,0.99510083,-0.011731157,-0.014101528,-0.015318561,-0.014468027,-0.012731016,-0.010573631,-0.008312327,-0.006239292,-0.004495546,-0.003126742,-0.002128422,-0.001454543,-0.001040687,-0.000818774,-0.000725736,-0.00070893,-0.000728253,-0.000755923,-0.00077495,-0.000776927,-0.000759646,-0.000724907,-0.000676694,-0.000619783,-0.000558809,-0.000497695,-0.000439403,-0.000385885,-0.000338194,-0.00029665,-0.000261046,-0.000230835,-0.000205293,-0.000183648,-0.000165162,-0.000149186,-0.000135184,-0.000122736,-0.000111531,-0.000101345,-9.20276E-05,-8.34763E-05,-7.56241E-05,-6.8424E-05,-6.18396E-05,-5.58382E-05,-5.03871E-05,-4.54519E-05,-4.0996E-05,-3.69813E-05,-3.33694E-05,-3.01222E-05,-2.72032E-05,-2.45783E-05,-2.22161E-05,-2.00883E-05,-1.81695E-05,-1.64376E-05,-1.48729E-05,-1.34581E-05,-1.21783E-05,-1.10201E-05,-9.97179E-06,-9.02287E-06,-8.16396E-06,-7.38664E-06,-6.68325E-06,-6.04687E-06,-5.47119E-06,-4.95047E-06,-4.4795E-06,-4.05353E-06,-3.66826E-06,-3.31978E-06,-3.00455E-06,-2.71938E-06,-2.46137E-06,-2.22792E-06,-2.01667E-06,-1.82549E-06,-1.65246E-06,-1.49586E-06,-1.35412E-06,-1.22582E-06,-1.10969E-06,-1.00457E-06,-9.09E-07,-8.23E-07,-7.45E-07,-6.75E-07,-6.11E-07,-5.53E-07,-5.01E-07,-4.53E-07,-4.10E-07,-3.72E-07,-3.36E-07,-3.05E-07
IRF,Taylor,G3_CW03,Monetary Policy Shock,Output,0,-0.008209953,-0.019439129,-0.021211601,-0.020242848,-0.016644193,-0.012232828,-0.007757074,-0.003840968,-0.000751303,0.001430475,0.002769678,0.00340746,0.003517522,0.003272176,0.002822483,0.002288106,0.001754852,0.001277135,0.000883258,0.000581799,0.000367939,0.000228992,0.000148798,0.000110866,0.000100389,0.0001053,0.000116618,0.000128296,0.000136796,0.000140525,0.00013926,0.000133631,0.000124707,0.000113679,0.000101664,8.95794E-05,7.81014E-05,6.76644E-05,5.84906E-05,5.0636E-05,4.40386E-05,3.85639E-05,3.40421E-05,3.02966E-05,2.71627E-05,2.44984E-05,2.21895E-05,2.01487E-05,1.83137E-05,1.6642E-05,1.51065E-05,1.3691E-05,1.23861E-05,1.11861E-05,1.00871E-05,9.08531E-06,8.17659E-06,7.35588E-06,6.61737E-06,5.95464E-06,5.36095E-06,4.82956E-06,4.3539E-06,3.92784E-06,3.54574E-06,3.20256E-06,2.89386E-06,2.61575E-06,2.36487E-06,2.13831E-06,1.93355E-06,1.74841E-06,1.58095E-06,1.42948E-06,1.29249E-06,1.16861E-06,1.0566E-06,9.55E-07,8.64E-07,7.81E-07,7.06E-07,6.39E-07,5.78E-07,5.23E-07,4.73E-07,4.28E-07,3.87E-07,3.50E-07,3.17E-07,2.87E-07,2.60E-07,2.35E-07,2.13E-07,1.92E-07,1.74E-07,1.58E-07,1.43E-07,1.29E-07,1.17E-07
IRF,Taylor,G3_CW03,Monetary Policy Shock,Output Gap,0,-0.008209953,-0.019439129,-0.021211601,-0.020242848,-0.016644193,-0.012232828,-0.007757074,-0.003840968,-0.000751303,0.001430475,0.002769678,0.00340746,0.003517522,0.003272176,0.002822483,0.002288106,0.001754852,0.001277135,0.000883258,0.000581799,0.000367939,0.000228992,0.000148798,0.000110866,0.000100389,0.0001053,0.000116618,0.000128296,0.000136796,0.000140525,0.00013926,0.000133631,0.000124707,0.000113679,0.000101664,8.95794E-05,7.81014E-05,6.76644E-05,5.84906E-05,5.0636E-05,4.40386E-05,3.85639E-05,3.40421E-05,3.02966E-05,2.71627E-05,2.44984E-05,2.21895E-05,2.01487E-05,1.83137E-05,1.6642E-05,1.51065E-05,1.3691E-05,1.23861E-05,1.11861E-05,1.00871E-05,9.08531E-06,8.17659E-06,7.35588E-06,6.61737E-06,5.95464E-06,5.36095E-06,4.82956E-06,4.3539E-06,3.92784E-06,3.54574E-06,3.20256E-06,2.89386E-06,2.61575E-06,2.36487E-06,2.13831E-06,1.93355E-06,1.74841E-06,1.58095E-06,1.42948E-06,1.29249E-06,1.16861E-06,1.0566E-06,9.55E-07,8.64E-07,7.81E-07,7.06E-07,6.39E-07,5.78E-07,5.23E-07,4.73E-07,4.28E-07,3.87E-07,3.50E-07,3.17E-07,2.87E-07,2.60E-07,2.35E-07,2.13E-07,1.92E-07,1.74E-07,1.58E-07,1.43E-07,1.29E-07,1.17E-07
IRF,Taylor,G3_CW03,Monetary Policy Shock,inflationq,0,-0.002117851,-0.003246397,-0.003957691,-0.004537093,-0.004647965,-0.004496189,-0.004172336,-0.003728424,-0.003239424,-0.002755237,-0.002307798,-0.001916612,-0.001589162,-0.001324495,-0.001116439,-0.000956006,-0.000833343,-0.000739067,-0.000665056,-0.000604801,-0.000553466,-0.000507722,-0.000465494,-0.000425655,-0.000387735,-0.000351673,-0.000317615,-0.000285779,-0.000256356,-0.000229468,-0.000205145,-0.000183329,-0.000163893,-0.000146654,-0.000131404,-0.00011792,-0.000105986,-9.53993E-05,-8.59787E-05,-7.75663E-05,-7.00281E-05,-6.32523E-05,-5.71461E-05,-5.16331E-05,-4.66494E-05,-4.21416E-05,-3.80638E-05,-3.43758E-05,-3.1042E-05,-2.80302E-05,-2.53108E-05,-2.28567E-05,-2.06429E-05,-1.86463E-05,-1.68457E-05,-1.52218E-05,-1.3757E-05,-1.24354E-05,-1.12425E-05,-1.01655E-05,-9.19282E-06,-8.31401E-06,-7.51981E-06,-6.80192E-06,-6.15289E-06,-5.56603E-06,-5.03534E-06,-4.55541E-06,-4.12136E-06,-3.7288E-06,-3.37375E-06,-3.05263E-06,-2.76217E-06,-2.49945E-06,-2.26181E-06,-2.04684E-06,-1.85238E-06,-1.67644E-06,-1.51727E-06,-1.37326E-06,-1.24294E-06,-1.12503E-06,-1.01832E-06,-9.22E-07,-8.34E-07,-7.55E-07,-6.84E-07,-6.19E-07,-5.60E-07,-5.07E-07,-4.59E-07,-4.16E-07,-3.76E-07,-3.41E-07,-3.08E-07,-2.79E-07,-2.53E-07,-2.29E-07,-2.07E-07
