resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Growth,NK_AFL15,Monetary Policy Shock,Inflation,0,-0.166114766,-0.229535997,-0.254245422,-0.267213079,-0.110954768,-0.05355377,-0.032348328,-0.021610457,-0.013348603,-0.008481946,-0.005809276,-0.004185927,-0.003041779,-0.002225443,-0.001647092,-0.001230678,-0.000923264,-0.000693844,-0.000522207,-0.000393539,-0.000296803,-0.000223929,-0.000168987,-0.000127547,-9.62809E-05,-7.26841E-05,-5.48726E-05,-4.14269E-05,-3.12764E-05,-2.36133E-05,-1.78278E-05,-1.34599E-05,-1.01622E-05,-7.67245E-06,-5.7927E-06,-4.37348E-06,-3.30198E-06,-2.493E-06,-1.88221E-06,-1.42107E-06,-1.07291E-06,-8.10E-07,-6.12E-07,-4.62E-07,-3.49E-07,-2.63E-07,-1.99E-07,-1.50E-07,-1.13E-07,-8.55E-08,-6.46E-08,-4.88E-08,-3.68E-08,-2.78E-08,-2.10E-08,-1.58E-08,-1.20E-08,-9.03E-09,-6.82E-09,-5.15E-09,-3.89E-09,-2.93E-09,-2.22E-09,-1.67E-09,-1.26E-09,-9.53E-10,-7.20E-10,-5.43E-10,-4.10E-10,-3.10E-10,-2.34E-10,-1.77E-10,-1.33E-10,-1.01E-10,-7.60E-11,-5.74E-11,-4.33E-11,-3.27E-11,-2.47E-11,-1.86E-11,-1.41E-11,-1.06E-11,-8.02E-12,-6.06E-12,-4.57E-12,-3.45E-12,-2.61E-12,-1.97E-12,-1.48E-12,-1.12E-12,-8.46E-13,-6.38E-13,-4.82E-13,-3.63E-13,-2.74E-13,-2.07E-13,-1.56E-13,-1.17E-13,-8.85E-14
IRF,Growth,NK_AFL15,Monetary Policy Shock,Interest,0,0.856604543,0.520687507,0.280244792,0.102710964,0.109718075,0.092893616,0.069094941,0.048659953,0.036562008,0.027933572,0.021167144,0.015901254,0.011974147,0.009042403,0.006830668,0.005156088,0.003891581,0.00293785,0.002218127,0.001674684,0.001264351,0.000954567,0.000720696,0.000544125,0.000410814,0.000310164,0.000234174,0.000176801,0.000133485,0.000100781,7.60898E-05,5.74478E-05,4.33731E-05,3.27467E-05,2.47238E-05,1.86665E-05,1.40932E-05,1.06404E-05,8.03349E-06,6.06529E-06,4.5793E-06,3.45737E-06,2.61032E-06,1.97079E-06,1.48795E-06,1.1234E-06,8.48E-07,6.40E-07,4.83E-07,3.65E-07,2.76E-07,2.08E-07,1.57E-07,1.19E-07,8.95E-08,6.76E-08,5.10E-08,3.85E-08,2.91E-08,2.20E-08,1.66E-08,1.25E-08,9.45E-09,7.14E-09,5.39E-09,4.07E-09,3.07E-09,2.32E-09,1.75E-09,1.32E-09,9.98E-10,7.54E-10,5.69E-10,4.30E-10,3.24E-10,2.45E-10,1.85E-10,1.40E-10,1.05E-10,7.96E-11,6.01E-11,4.54E-11,3.42E-11,2.59E-11,1.95E-11,1.47E-11,1.11E-11,8.40E-12,6.35E-12,4.79E-12,3.62E-12,2.73E-12,2.06E-12,1.56E-12,1.18E-12,8.89E-13,6.72E-13,5.07E-13,3.83E-13
IRF,Growth,NK_AFL15,Monetary Policy Shock,Output,0,-0.648819354,-0.28551921,-0.119430445,-0.058141797,-0.054476234,-0.040017423,-0.026987633,-0.018600446,-0.013894079,-0.01047506,-0.007824087,-0.005835494,-0.004383091,-0.003304391,-0.002491885,-0.001878764,-0.001417182,-0.001069545,-0.000807344,-0.000609441,-0.000460069,-0.000347326,-0.000262221,-0.000197972,-0.000149467,-0.000112846,-8.51982E-05,-6.43244E-05,-4.85649E-05,-3.66664E-05,-2.76831E-05,-2.09008E-05,-1.57801E-05,-1.1914E-05,-8.99505E-06,-6.79127E-06,-5.12741E-06,-3.8712E-06,-2.92276E-06,-2.20668E-06,-1.66605E-06,-1.25787E-06,-9.50E-07,-7.17E-07,-5.41E-07,-4.09E-07,-3.09E-07,-2.33E-07,-1.76E-07,-1.33E-07,-1.00E-07,-7.57E-08,-5.72E-08,-4.32E-08,-3.26E-08,-2.46E-08,-1.86E-08,-1.40E-08,-1.06E-08,-7.99E-09,-6.03E-09,-4.56E-09,-3.44E-09,-2.60E-09,-1.96E-09,-1.48E-09,-1.12E-09,-8.44E-10,-6.37E-10,-4.81E-10,-3.63E-10,-2.74E-10,-2.07E-10,-1.56E-10,-1.18E-10,-8.91E-11,-6.73E-11,-5.08E-11,-3.83E-11,-2.90E-11,-2.19E-11,-1.65E-11,-1.25E-11,-9.41E-12,-7.10E-12,-5.36E-12,-4.05E-12,-3.06E-12,-2.31E-12,-1.74E-12,-1.32E-12,-9.95E-13,-7.51E-13,-5.68E-13,-4.29E-13,-3.24E-13,-2.45E-13,-1.85E-13,-1.40E-13
IRF,Growth,NK_AFL15,Monetary Policy Shock,Output Gap,0,-0.648819354,-0.28551921,-0.119430445,-0.058141797,-0.054476234,-0.040017423,-0.026987633,-0.018600446,-0.013894079,-0.01047506,-0.007824087,-0.005835494,-0.004383091,-0.003304391,-0.002491885,-0.001878764,-0.001417182,-0.001069545,-0.000807344,-0.000609441,-0.000460069,-0.000347326,-0.000262221,-0.000197972,-0.000149467,-0.000112846,-8.51982E-05,-6.43244E-05,-4.85649E-05,-3.66664E-05,-2.76831E-05,-2.09008E-05,-1.57801E-05,-1.1914E-05,-8.99505E-06,-6.79127E-06,-5.12741E-06,-3.8712E-06,-2.92276E-06,-2.20668E-06,-1.66605E-06,-1.25787E-06,-9.50E-07,-7.17E-07,-5.41E-07,-4.09E-07,-3.09E-07,-2.33E-07,-1.76E-07,-1.33E-07,-1.00E-07,-7.57E-08,-5.72E-08,-4.32E-08,-3.26E-08,-2.46E-08,-1.86E-08,-1.40E-08,-1.06E-08,-7.99E-09,-6.03E-09,-4.56E-09,-3.44E-09,-2.60E-09,-1.96E-09,-1.48E-09,-1.12E-09,-8.44E-10,-6.37E-10,-4.81E-10,-3.63E-10,-2.74E-10,-2.07E-10,-1.56E-10,-1.18E-10,-8.91E-11,-6.73E-11,-5.08E-11,-3.83E-11,-2.89E-11,-2.19E-11,-1.65E-11,-1.25E-11,-9.41E-12,-7.10E-12,-5.36E-12,-4.05E-12,-3.06E-12,-2.31E-12,-1.74E-12,-1.32E-12,-9.93E-13,-7.50E-13,-5.66E-13,-4.28E-13,-3.23E-13,-2.44E-13,-1.84E-13,-1.39E-13
IRF,Growth,NK_AFL15,Monetary Policy Shock,inflationq,0,-0.664459066,-0.253684923,-0.0988377,-0.051870628,-0.039425818,-0.024080932,-0.014015933,-0.008919145,-0.006378402,-0.004614306,-0.003325251,-0.002425748,-0.00180181,-0.001348964,-0.001011844,-0.000760094,-0.000572153,-0.000431286,-0.000325296,-0.000245422,-0.000185206,-0.000139792,-0.000105526,-7.96636E-05,-6.01417E-05,-4.5405E-05,-3.42799E-05,-2.58809E-05,-1.95399E-05,-1.47525E-05,-1.11381E-05,-8.40925E-06,-6.34898E-06,-4.79348E-06,-3.61908E-06,-2.7324E-06,-2.06297E-06,-1.55754E-06,-1.17594E-06,-8.88E-07,-6.70E-07,-5.06E-07,-3.82E-07,-2.88E-07,-2.18E-07,-1.64E-07,-1.24E-07,-9.37E-08,-7.08E-08,-5.34E-08,-4.03E-08,-3.05E-08,-2.30E-08,-1.74E-08,-1.31E-08,-9.90E-09,-7.47E-09,-5.64E-09,-4.26E-09,-3.22E-09,-2.43E-09,-1.83E-09,-1.38E-09,-1.04E-09,-7.89E-10,-5.96E-10,-4.50E-10,-3.40E-10,-2.56E-10,-1.94E-10,-1.46E-10,-1.10E-10,-8.33E-11,-6.29E-11,-4.75E-11,-3.58E-11,-2.71E-11,-2.04E-11,-1.54E-11,-1.16E-11,-8.79E-12,-6.64E-12,-5.01E-12,-3.78E-12,-2.86E-12,-2.16E-12,-1.63E-12,-1.23E-12,-9.27E-13,-7.00E-13,-5.28E-13,-3.98E-13,-3.00E-13,-2.27E-13,-1.71E-13,-1.29E-13,-9.70E-14,-7.31E-14,-5.50E-14
IRF,Growth,NK_BGG99,Monetary Policy Shock,Inflation,0,-3.06E-17,-0.206895285,-0.312736088,-0.370525558,-0.406056084,-0.221145961,-0.129214359,-0.080654763,-0.051609179,-0.034335188,-0.023894233,-0.017208254,-0.01254485,-0.009065106,-0.006330775,-0.004093248,-0.002206689,-0.000585784,0.000821709,0.0020504,0.0031251,0.004064776,0.004884729,0.005597826,0.006215213,0.006746716,0.007201096,0.007586216,0.007909161,0.008176329,0.008393503,0.008565916,0.008698303,0.008794945,0.008859721,0.008896134,0.008907355,0.00889625,0.008865406,0.008817164,0.008753634,0.008676721,0.008588143,0.008489448,0.008382031,0.008267146,0.008145922,0.008019373,0.00788841,0.007753847,0.007616417,0.007476773,0.007335499,0.007193115,0.007050086,0.006906823,0.006763692,0.006621015,0.006479077,0.006338129,0.00619839,0.006060052,0.005923279,0.005788216,0.005654986,0.005523692,0.005394422,0.00526725,0.005142235,0.005019425,0.004898856,0.004780556,0.004664545,0.004550833,0.004439425,0.00433032,0.004223511,0.004118987,0.004016732,0.003916727,0.003818951,0.003723379,0.003629982,0.003538733,0.0034496,0.00336255,0.003277551,0.003194567,0.003113564,0.003034505,0.002957353,0.002882073,0.002808627,0.002736977,0.002667088,0.002598922,0.002532442,0.002467611,0.002404394
IRF,Growth,NK_BGG99,Monetary Policy Shock,Interest,0,0.825623006,0.442521809,0.156549542,-0.059234366,-0.052648245,-0.048758724,-0.04914237,-0.049461173,-0.044816981,-0.0387343,-0.032717571,-0.027130177,-0.021937882,-0.01717469,-0.012862294,-0.008990086,-0.005527919,-0.002442466,0.00029874,0.002726694,0.004870596,0.006757481,0.008412127,0.009857137,0.011113081,0.012198655,0.01313083,0.013925001,0.014595128,0.015153863,0.015612671,0.015981938,0.016271071,0.016488583,0.016642183,0.016738844,0.016784873,0.016785974,0.016747302,0.016673513,0.016568812,0.016436996,0.016281487,0.016105373,0.015911436,0.015702179,0.015479854,0.015246488,0.015003898,0.014753716,0.014497406,0.014236274,0.013971493,0.013704106,0.013435044,0.013165134,0.012895112,0.012625628,0.012357256,0.012090504,0.011825815,0.011563577,0.011304129,0.011047763,0.010794731,0.010545247,0.010299495,0.010057625,0.009819763,0.009586012,0.009356451,0.009131142,0.008910129,0.00869344,0.008481092,0.008273087,0.008069418,0.007870068,0.007675013,0.00748422,0.007297651,0.007115261,0.006937002,0.00676282,0.006592659,0.006426459,0.006264158,0.006105692,0.005950994,0.005799999,0.005652636,0.005508838,0.005368535,0.005231657,0.005098134,0.004967897,0.004840876,0.004717001,0.004596204
IRF,Growth,NK_BGG99,Monetary Policy Shock,Output,0,-1.395015951,-0.792877706,-0.464526253,-0.301595509,-0.242627464,-0.203620142,-0.177469798,-0.160466379,-0.149568736,-0.141587094,-0.135121866,-0.129577606,-0.124656185,-0.120162005,-0.115979754,-0.112044783,-0.108318958,-0.104776862,-0.101400168,-0.098174871,-0.095089657,-0.092134918,-0.089302222,-0.08658402,-0.083973468,-0.08146431,-0.079050799,-0.076727639,-0.074489937,-0.072333163,-0.070253118,-0.068245908,-0.06630791,-0.064435759,-0.062626316,-0.060876657,-0.059184053,-0.057545951,-0.055959966,-0.054423859,-0.052935535,-0.051493023,-0.050094472,-0.048738138,-0.04742238,-0.046145648,-0.044906477,-0.043703482,-0.042535353,-0.041400846,-0.040298782,-0.039228039,-0.038187551,-0.037176302,-0.036193326,-0.035237697,-0.034308535,-0.033404996,-0.032526272,-0.031671591,-0.030840211,-0.030031422,-0.02924454,-0.02847891,-0.0277339,-0.027008903,-0.026303334,-0.02561663,-0.024948246,-0.02429766,-0.023664364,-0.023047869,-0.022447703,-0.02186341,-0.021294547,-0.020740687,-0.020201415,-0.019676331,-0.019165047,-0.018667185,-0.018182382,-0.017710283,-0.017250546,-0.016802836,-0.016366831,-0.015942217,-0.015528689,-0.015125952,-0.014733718,-0.014351708,-0.013979651,-0.013617282,-0.013264347,-0.012920594,-0.012585783,-0.012259678,-0.011942049,-0.011632674,-0.011331337
IRF,Growth,NK_BGG99,Monetary Policy Shock,Output Gap,0,-1.395015951,-0.792877706,-0.464526253,-0.301595509,-0.242627464,-0.203620142,-0.177469798,-0.160466379,-0.149568736,-0.141587094,-0.135121866,-0.129577606,-0.124656185,-0.120162005,-0.115979754,-0.112044783,-0.108318958,-0.104776862,-0.101400168,-0.098174871,-0.095089657,-0.092134918,-0.089302222,-0.08658402,-0.083973468,-0.08146431,-0.079050799,-0.076727639,-0.074489937,-0.072333163,-0.070253118,-0.068245908,-0.06630791,-0.064435759,-0.062626316,-0.060876657,-0.059184053,-0.057545951,-0.055959966,-0.054423859,-0.052935535,-0.051493023,-0.050094472,-0.048738138,-0.04742238,-0.046145648,-0.044906477,-0.043703482,-0.042535353,-0.041400846,-0.040298782,-0.039228039,-0.038187551,-0.037176302,-0.036193326,-0.035237697,-0.034308535,-0.033404996,-0.032526272,-0.031671591,-0.030840211,-0.030031422,-0.02924454,-0.02847891,-0.0277339,-0.027008903,-0.026303334,-0.02561663,-0.024948246,-0.02429766,-0.023664364,-0.023047869,-0.022447703,-0.02186341,-0.021294547,-0.020740687,-0.020201415,-0.019676331,-0.019165047,-0.018667185,-0.018182382,-0.017710283,-0.017250546,-0.016802836,-0.016366831,-0.015942217,-0.015528689,-0.015125952,-0.014733718,-0.014351708,-0.013979651,-0.013617282,-0.013264347,-0.012920594,-0.012585783,-0.012259678,-0.011942049,-0.011632674,-0.011331337
IRF,Growth,NK_BGG99,Monetary Policy Shock,inflationq,0,-3.21E-16,-0.827581141,-0.423363212,-0.23115788,-0.1421221,-0.08794065,-0.055636805,-0.036919498,-0.025939764,-0.018844685,-0.013872986,-0.010175582,-0.007286146,-0.004925708,-0.002935663,-0.001225478,0.000260093,0.001557911,0.002694311,0.003689286,0.004558893,0.005316617,0.005974119,0.006541675,0.00702844,0.007442628,0.007791639,0.008082157,0.008320221,0.008511299,0.008660337,0.008771809,0.008849766,0.008897871,0.008919438,0.008917462,0.00889465,0.008853449,0.008796065,0.008724493,0.00864053,0.008545796,0.008441753,0.008329713,0.00821086,0.008086257,0.007956858,0.007823518,0.007687006,0.007548008,0.007407137,0.007264941,0.007121909,0.006978473,0.00683502,0.00669189,0.006549383,0.006407766,0.00626727,0.006128098,0.005990427,0.005854411,0.00572018,0.005587846,0.005457505,0.005329235,0.005203102,0.005079158,0.004957445,0.004837994,0.004720827,0.00460596,0.004493399,0.004383146,0.004275196,0.004169539,0.004066163,0.003965049,0.003866176,0.003769521,0.003675058,0.003582758,0.003492591,0.003404524,0.003318526,0.003234561,0.003152594,0.00307259,0.002994512,0.002918324,0.002843988,0.002771468,0.002700727,0.002631727,0.002564431,0.002498803,0.002434806,0.002372405,0.002311563
