resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Inertial_Taylor,NK_AFL15,Monetary Policy Shock,Inflation,0,-0.152043282,-0.1983151,-0.205744708,-0.203067134,-0.04836342,-0.000581886,0.007683728,0.005546383,0.003280196,0.002069171,0.001459085,0.001088436,0.000820931,0.00061684,0.000461528,0.000344663,0.000257285,0.000192077,0.000143415,0.000107088,7.99639E-05,5.97098E-05,4.45857E-05,3.32924E-05,2.48596E-05,1.85628E-05,1.38609E-05,1.035E-05,7.7284E-06,5.77083E-06,4.30911E-06,3.21763E-06,2.40262E-06,1.79405E-06,1.33963E-06,1.00031E-06,7.47E-07,5.58E-07,4.16E-07,3.11E-07,2.32E-07,1.73E-07,1.29E-07,9.67E-08,7.22E-08,5.39E-08,4.03E-08,3.01E-08,2.24E-08,1.68E-08,1.25E-08,9.34E-09,6.98E-09,5.21E-09,3.89E-09,2.90E-09,2.17E-09,1.62E-09,1.21E-09,9.03E-10,6.74E-10,5.04E-10,3.76E-10,2.81E-10,2.10E-10,1.57E-10,1.17E-10,8.73E-11,6.52E-11,4.87E-11,3.63E-11,2.71E-11,2.03E-11,1.51E-11,1.13E-11,8.43E-12,6.30E-12,4.70E-12,3.51E-12,2.62E-12,1.96E-12,1.46E-12,1.09E-12,8.15E-13,6.09E-13,4.54E-13,3.39E-13,2.53E-13,1.89E-13,1.41E-13,1.05E-13,7.87E-14,5.87E-14,4.38E-14,3.27E-14,2.44E-14,1.82E-14,1.36E-14,1.01E-14
IRF,Inertial_Taylor,NK_AFL15,Monetary Policy Shock,Interest,0,0.858701717,0.532857629,0.307996753,0.149523849,0.090929027,0.065578526,0.050130322,0.038178633,0.028734289,0.021483762,0.016031956,0.011963738,0.008931018,0.006668501,0.004979488,0.003718281,0.002776483,0.002073218,0.001548081,0.001155959,0.00086316,0.000644526,0.000481271,0.000359367,0.000268341,0.000200372,0.000149618,0.000111721,8.34225E-05,6.2292E-05,4.65137E-05,3.4732E-05,2.59346E-05,1.93655E-05,1.44603E-05,1.07976E-05,8.0626E-06,6.02038E-06,4.49545E-06,3.35678E-06,2.50652E-06,1.87163E-06,1.39756E-06,1.04356E-06,7.79E-07,5.82E-07,4.34E-07,3.24E-07,2.42E-07,1.81E-07,1.35E-07,1.01E-07,7.53E-08,5.62E-08,4.20E-08,3.14E-08,2.34E-08,1.75E-08,1.31E-08,9.75E-09,7.28E-09,5.44E-09,4.06E-09,3.03E-09,2.26E-09,1.69E-09,1.26E-09,9.42E-10,7.03E-10,5.25E-10,3.92E-10,2.93E-10,2.19E-10,1.63E-10,1.22E-10,9.11E-11,6.80E-11,5.08E-11,3.79E-11,2.83E-11,2.11E-11,1.58E-11,1.18E-11,8.80E-12,6.57E-12,4.91E-12,3.66E-12,2.74E-12,2.04E-12,1.53E-12,1.14E-12,8.50E-13,6.35E-13,4.74E-13,3.54E-13,2.64E-13,1.97E-13,1.47E-13,1.10E-13
IRF,Inertial_Taylor,NK_AFL15,Monetary Policy Shock,Output,0,-0.67425642,-0.294403967,-0.11593763,-0.042588328,-0.024620611,-0.019200297,-0.015479764,-0.011992022,-0.009038068,-0.006743155,-0.005024179,-0.003747134,-0.002797079,-0.002088618,-0.001559686,-0.001164671,-0.000869675,-0.000649391,-0.000484902,-0.000362079,-0.000270366,-0.000201883,-0.000150747,-0.000112564,-8.40519E-05,-6.2762E-05,-4.68647E-05,-3.49941E-05,-2.61303E-05,-1.95116E-05,-1.45694E-05,-1.0879E-05,-8.12343E-06,-6.06581E-06,-4.52937E-06,-3.3821E-06,-2.52543E-06,-1.88575E-06,-1.4081E-06,-1.05144E-06,-7.85E-07,-5.86E-07,-4.38E-07,-3.27E-07,-2.44E-07,-1.82E-07,-1.36E-07,-1.02E-07,-7.59E-08,-5.67E-08,-4.23E-08,-3.16E-08,-2.36E-08,-1.76E-08,-1.32E-08,-9.82E-09,-7.33E-09,-5.48E-09,-4.09E-09,-3.05E-09,-2.28E-09,-1.70E-09,-1.27E-09,-9.49E-10,-7.09E-10,-5.29E-10,-3.95E-10,-2.95E-10,-2.20E-10,-1.65E-10,-1.23E-10,-9.17E-11,-6.85E-11,-5.11E-11,-3.82E-11,-2.85E-11,-2.13E-11,-1.59E-11,-1.19E-11,-8.87E-12,-6.62E-12,-4.94E-12,-3.69E-12,-2.76E-12,-2.06E-12,-1.54E-12,-1.15E-12,-8.57E-13,-6.40E-13,-4.78E-13,-3.57E-13,-2.66E-13,-1.99E-13,-1.48E-13,-1.11E-13,-8.27E-14,-6.17E-14,-4.61E-14,-3.44E-14
IRF,Inertial_Taylor,NK_AFL15,Monetary Policy Shock,Output Gap,0,-0.67425642,-0.294403967,-0.11593763,-0.042588328,-0.024620611,-0.019200297,-0.015479764,-0.011992022,-0.009038068,-0.006743155,-0.005024179,-0.003747134,-0.002797079,-0.002088618,-0.001559686,-0.001164671,-0.000869675,-0.000649391,-0.000484902,-0.000362079,-0.000270366,-0.000201883,-0.000150747,-0.000112564,-8.40519E-05,-6.2762E-05,-4.68647E-05,-3.49941E-05,-2.61303E-05,-1.95116E-05,-1.45694E-05,-1.0879E-05,-8.12343E-06,-6.06581E-06,-4.52937E-06,-3.3821E-06,-2.52543E-06,-1.88575E-06,-1.4081E-06,-1.05144E-06,-7.85E-07,-5.86E-07,-4.38E-07,-3.27E-07,-2.44E-07,-1.82E-07,-1.36E-07,-1.02E-07,-7.59E-08,-5.67E-08,-4.23E-08,-3.16E-08,-2.36E-08,-1.76E-08,-1.32E-08,-9.82E-09,-7.33E-09,-5.48E-09,-4.09E-09,-3.05E-09,-2.28E-09,-1.70E-09,-1.27E-09,-9.49E-10,-7.09E-10,-5.29E-10,-3.95E-10,-2.95E-10,-2.20E-10,-1.65E-10,-1.23E-10,-9.17E-11,-6.85E-11,-5.12E-11,-3.82E-11,-2.85E-11,-2.13E-11,-1.59E-11,-1.19E-11,-8.87E-12,-6.62E-12,-4.94E-12,-3.69E-12,-2.76E-12,-2.06E-12,-1.54E-12,-1.15E-12,-8.57E-13,-6.40E-13,-4.78E-13,-3.57E-13,-2.66E-13,-1.99E-13,-1.49E-13,-1.11E-13,-8.28E-14,-6.18E-14,-4.62E-14,-3.45E-14
IRF,Inertial_Taylor,NK_AFL15,Monetary Policy Shock,inflationq,0,-0.608173129,-0.185087272,-0.029718431,0.010710297,0.010641724,0.006038866,0.003344025,0.002160917,0.001576975,0.001194765,0.000903682,0.000678321,0.000506958,0.000378398,0.000282437,0.00021086,0.000157445,0.000117566,8.77884E-05,6.55524E-05,4.89484E-05,3.655E-05,2.7292E-05,2.03791E-05,1.52172E-05,1.13627E-05,8.48461E-06,6.3355E-06,4.73075E-06,3.53247E-06,2.63772E-06,1.9696E-06,1.47071E-06,1.09818E-06,8.20E-07,6.12E-07,4.57E-07,3.41E-07,2.55E-07,1.90E-07,1.42E-07,1.06E-07,7.93E-08,5.92E-08,4.42E-08,3.30E-08,2.46E-08,1.84E-08,1.37E-08,1.03E-08,7.66E-09,5.72E-09,4.27E-09,3.19E-09,2.38E-09,1.78E-09,1.33E-09,9.91E-10,7.40E-10,5.53E-10,4.13E-10,3.08E-10,2.30E-10,1.72E-10,1.28E-10,9.58E-11,7.15E-11,5.34E-11,3.99E-11,2.98E-11,2.22E-11,1.66E-11,1.24E-11,9.26E-12,6.91E-12,5.16E-12,3.86E-12,2.88E-12,2.15E-12,1.60E-12,1.20E-12,8.95E-13,6.68E-13,4.99E-13,3.72E-13,2.78E-13,2.08E-13,1.55E-13,1.16E-13,8.64E-14,6.45E-14,4.81E-14,3.59E-14,2.68E-14,2.00E-14,1.49E-14,1.11E-14,8.27E-15,6.16E-15
IRF,Inertial_Taylor,NK_BGG99,Monetary Policy Shock,Inflation,0,9.96E-17,-0.10232801,-0.132557911,-0.130982861,-0.117789198,0.000500235,0.04703397,0.06163608,0.064466866,0.064391898,0.063832652,0.063242518,0.062629141,0.061960617,0.061225867,0.060427876,0.059574369,0.05867367,0.057733493,0.056760747,0.055761596,0.054741543,0.0537055,0.052657852,0.051602504,0.050542927,0.049482202,0.048423059,0.047367904,0.046318858,0.045277782,0.044246301,0.04322583,0.042217591,0.041222638,0.040241868,0.039276041,0.038325793,0.037391646,0.036474025,0.035573265,0.034689618,0.033823269,0.032974338,0.032142886,0.031328928,0.030532433,0.029753329,0.028991512,0.028246848,0.027519174,0.026808308,0.026114044,0.025436161,0.024774425,0.024128587,0.023498389,0.022883565,0.022283841,0.021698939,0.021128576,0.020572466,0.020030322,0.019501856,0.018986779,0.018484803,0.017995642,0.01751901,0.017054626,0.016602209,0.016161482,0.015732172,0.01531401,0.014906729,0.014510068,0.01412377,0.013747581,0.013381252,0.013024541,0.012677208,0.012339018,0.012009742,0.011689154,0.011377034,0.011073168,0.010777343,0.010489355,0.010209001,0.009936085,0.009670414,0.009411801,0.009160063,0.00891502,0.008676497,0.008444326,0.008218339,0.007998373,0.007784272,0.007575881
IRF,Inertial_Taylor,NK_BGG99,Monetary Policy Shock,Interest,0,0.871544838,0.544706085,0.319445219,0.167010862,0.064918541,0.035084884,0.031022706,0.033951584,0.03765372,0.040837205,0.043437631,0.045571275,0.047326589,0.048758417,0.049904864,0.050796836,0.051461543,0.051923549,0.052205121,0.052326418,0.052305671,0.052159354,0.051902344,0.051548067,0.051108637,0.050594974,0.050016917,0.049383327,0.048702174,0.047980623,0.047225111,0.046441413,0.045634705,0.044809622,0.043970305,0.043120455,0.042263369,0.041401979,0.040538892,0.039676414,0.038816586,0.037961205,0.037111849,0.0362699,0.035436561,0.034612876,0.033799743,0.032997932,0.032208096,0.031430781,0.030666444,0.029915452,0.0291781,0.028454615,0.027745165,0.027049861,0.026368769,0.025701913,0.025049278,0.024410817,0.023786452,0.023176082,0.022579581,0.021996806,0.021427595,0.020871773,0.020329151,0.019799532,0.019282706,0.01877846,0.018286572,0.017806817,0.017338967,0.016882789,0.01643805,0.016004515,0.015581949,0.015170119,0.01476879,0.014377731,0.01399671,0.013625499,0.013263872,0.012911605,0.012568479,0.012234276,0.011908782,0.011591786,0.011283081,0.010982465,0.010689736,0.0104047,0.010127164,0.00985694,0.009593844,0.009337696,0.009088318,0.008845539,0.008609188
IRF,Inertial_Taylor,NK_BGG99,Monetary Policy Shock,Output,0,-1.027641299,-0.564636321,-0.315001026,-0.187635836,-0.129349248,-0.110332881,-0.103429567,-0.099431804,-0.095880341,-0.092400377,-0.089020134,-0.085783139,-0.082702361,-0.079774049,-0.076989192,-0.074338125,-0.071811782,-0.069401871,-0.067100804,-0.064901623,-0.062797926,-0.060783821,-0.058853876,-0.057003083,-0.055226819,-0.053520811,-0.051881111,-0.050304064,-0.048786284,-0.047324632,-0.045916195,-0.044558265,-0.043248325,-0.041984032,-0.040763201,-0.039583793,-0.038443905,-0.037341756,-0.036275679,-0.035244113,-0.034245589,-0.033278732,-0.032342245,-0.031434908,-0.03055557,-0.029703146,-0.028876609,-0.028074988,-0.027297364,-0.026542865,-0.025810663,-0.025099971,-0.024410041,-0.023740161,-0.023089651,-0.022457863,-0.021844178,-0.021248005,-0.020668777,-0.020105952,-0.019559011,-0.019027456,-0.018510807,-0.018008606,-0.01752041,-0.017045796,-0.016584353,-0.016135687,-0.01569942,-0.015275184,-0.014862628,-0.014461409,-0.014071198,-0.013691678,-0.013322541,-0.012963489,-0.012614235,-0.0122745,-0.011944016,-0.01162252,-0.011309761,-0.011005494,-0.01070948,-0.01042149,-0.010141301,-0.009868696,-0.009603466,-0.009345406,-0.009094319,-0.008850014,-0.008612302,-0.008381005,-0.008155946,-0.007936954,-0.007723864,-0.007516515,-0.00731475,-0.007118417,-0.006927369
IRF,Inertial_Taylor,NK_BGG99,Monetary Policy Shock,Output Gap,0,-1.027641299,-0.564636321,-0.315001026,-0.187635836,-0.129349248,-0.110332881,-0.103429567,-0.099431804,-0.095880341,-0.092400377,-0.089020134,-0.085783139,-0.082702361,-0.079774049,-0.076989192,-0.074338125,-0.071811782,-0.069401871,-0.067100804,-0.064901623,-0.062797926,-0.060783821,-0.058853876,-0.057003083,-0.055226819,-0.053520811,-0.051881111,-0.050304064,-0.048786284,-0.047324632,-0.045916195,-0.044558265,-0.043248325,-0.041984032,-0.040763201,-0.039583793,-0.038443905,-0.037341756,-0.036275679,-0.035244113,-0.034245589,-0.033278732,-0.032342245,-0.031434908,-0.03055557,-0.029703146,-0.028876609,-0.028074988,-0.027297364,-0.026542865,-0.025810663,-0.025099971,-0.024410041,-0.023740161,-0.023089651,-0.022457863,-0.021844178,-0.021248005,-0.020668777,-0.020105952,-0.019559011,-0.019027456,-0.018510807,-0.018008606,-0.01752041,-0.017045796,-0.016584353,-0.016135687,-0.01569942,-0.015275184,-0.014862628,-0.014461409,-0.014071198,-0.013691678,-0.013322541,-0.012963489,-0.012614235,-0.0122745,-0.011944016,-0.01162252,-0.011309761,-0.011005494,-0.01070948,-0.01042149,-0.010141301,-0.009868696,-0.009603466,-0.009345406,-0.009094319,-0.008850014,-0.008612302,-0.008381005,-0.008155946,-0.007936954,-0.007723864,-0.007516515,-0.00731475,-0.007118417,-0.006927369
IRF,Inertial_Taylor,NK_BGG99,Monetary Policy Shock,inflationq,0,4.59E-16,-0.409312039,-0.120919604,0.006300199,0.052774653,0.063845693,0.065215335,0.064708641,0.064097794,0.063545823,0.062978348,0.062348108,0.061644284,0.060871726,0.06003935,0.059156145,0.058230254,0.057268931,0.056278641,0.055265161,0.05423365,0.053188718,0.052134472,0.051074569,0.050012256,0.04895041,0.047891575,0.046837994,0.045791636,0.044754228,0.043727271,0.04271207,0.04170975,0.040721273,0.039747458,0.038788991,0.037846443,0.036920279,0.036010872,0.035118508,0.0342434,0.033385694,0.032545476,0.031722781,0.030917594,0.030129862,0.029359494,0.028606366,0.027870328,0.027151204,0.0264488,0.025762899,0.025093272,0.024439675,0.023801855,0.023179547,0.02257248,0.021980378,0.021402959,0.020839938,0.020291027,0.019755939,0.019234384,0.018726073,0.018230719,0.017748036,0.017277739,0.016819547,0.016373181,0.015938367,0.015514832,0.015102308,0.014700532,0.014309244,0.013928188,0.013557114,0.013195776,0.012843931,0.012501344,0.012167781,0.011843016,0.011526826,0.011218993,0.010919303,0.01062755,0.010343528,0.010067038,0.009797888,0.009535885,0.009280845,0.009032587,0.008790934,0.008555713,0.008326757,0.0081039,0.007886984,0.007675852,0.007470352,0.007270335
