resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Taylor,NK_AFL15,Monetary Policy Shock,Inflation,0,-0.03116686,-0.018777262,-0.01427008,-0.013253682,0.017958129,0.006367705,0.002472509,0.001820074,0.002014679,0.001407184,0.00093878,0.00067734,0.000511518,0.000373916,0.000269914,0.000196192,0.000143413,0.00010461,7.61678E-05,5.54822E-05,4.04409E-05,2.94747E-05,2.14776E-05,1.56503E-05,1.14049E-05,8.3112E-06,6.05655E-06,4.41352E-06,3.21624E-06,2.34375E-06,1.70795E-06,1.24462E-06,9.07E-07,6.61E-07,4.82E-07,3.51E-07,2.56E-07,1.86E-07,1.36E-07,9.90E-08,7.21E-08,5.26E-08,3.83E-08,2.79E-08,2.03E-08,1.48E-08,1.08E-08,7.87E-09,5.74E-09,4.18E-09,3.05E-09,2.22E-09,1.62E-09,1.18E-09,8.59E-10,6.26E-10,4.56E-10,3.32E-10,2.42E-10,1.77E-10,1.29E-10,9.37E-11,6.83E-11,4.98E-11,3.63E-11,2.64E-11,1.93E-11,1.40E-11,1.02E-11,7.45E-12,5.43E-12,3.96E-12,2.88E-12,2.10E-12,1.53E-12,1.12E-12,8.13E-13,5.93E-13,4.32E-13,3.15E-13,2.29E-13,1.67E-13,1.22E-13,8.87E-14,6.47E-14,4.71E-14,3.43E-14,2.50E-14,1.82E-14,1.33E-14,9.67E-15,7.04E-15,5.13E-15,3.73E-15,2.72E-15,1.98E-15,1.44E-15,1.04E-15,7.58E-16
IRF,Taylor,NK_AFL15,Monetary Policy Shock,Interest,0,0.816358702,-0.010211864,-0.014026939,-0.019006483,0.023040967,0.008870579,0.003570608,0.002470247,0.002701217,0.001914697,0.001283719,0.000922281,0.00069495,0.000508636,0.000367444,0.000267002,0.000195119,0.000142336,0.000103647,7.54974E-05,5.50283E-05,4.01064E-05,2.9225E-05,2.12958E-05,1.55189E-05,1.13092E-05,8.24126E-06,6.00556E-06,4.37639E-06,3.18919E-06,2.32403E-06,1.69358E-06,1.23415E-06,8.99E-07,6.55E-07,4.78E-07,3.48E-07,2.54E-07,1.85E-07,1.35E-07,9.81E-08,7.15E-08,5.21E-08,3.80E-08,2.77E-08,2.02E-08,1.47E-08,1.07E-08,7.80E-09,5.69E-09,4.14E-09,3.02E-09,2.20E-09,1.60E-09,1.17E-09,8.52E-10,6.21E-10,4.52E-10,3.30E-10,2.40E-10,1.75E-10,1.28E-10,9.29E-11,6.77E-11,4.94E-11,3.60E-11,2.62E-11,1.91E-11,1.39E-11,1.01E-11,7.39E-12,5.39E-12,3.93E-12,2.86E-12,2.08E-12,1.52E-12,1.11E-12,8.07E-13,5.88E-13,4.28E-13,3.12E-13,2.27E-13,1.66E-13,1.21E-13,8.80E-14,6.41E-14,4.67E-14,3.40E-14,2.48E-14,1.81E-14,1.32E-14,9.58E-15,6.98E-15,5.08E-15,3.69E-15,2.69E-15,1.95E-15,1.42E-15,1.03E-15
IRF,Taylor,NK_AFL15,Monetary Policy Shock,Output,0,-0.273782014,0.035908057,0.014756361,0.00174808,-0.007792452,-0.001361958,-0.00027631,-0.000519728,-0.000641603,-0.000392159,-0.000248903,-0.000187459,-0.000144655,-0.000104477,-7.48532E-05,-5.45707E-05,-4.00018E-05,-2.9157E-05,-2.12097E-05,-1.54517E-05,-1.12663E-05,-8.21113E-06,-5.98267E-06,-4.35945E-06,-3.17698E-06,-2.31519E-06,-1.68711E-06,-1.22943E-06,-8.96E-07,-6.53E-07,-4.76E-07,-3.47E-07,-2.53E-07,-1.84E-07,-1.34E-07,-9.78E-08,-7.12E-08,-5.19E-08,-3.78E-08,-2.76E-08,-2.01E-08,-1.46E-08,-1.07E-08,-7.78E-09,-5.67E-09,-4.13E-09,-3.01E-09,-2.19E-09,-1.60E-09,-1.16E-09,-8.48E-10,-6.18E-10,-4.51E-10,-3.28E-10,-2.39E-10,-1.74E-10,-1.27E-10,-9.26E-11,-6.75E-11,-4.92E-11,-3.58E-11,-2.61E-11,-1.90E-11,-1.39E-11,-1.01E-11,-7.36E-12,-5.37E-12,-3.91E-12,-2.85E-12,-2.08E-12,-1.51E-12,-1.10E-12,-8.04E-13,-5.86E-13,-4.27E-13,-3.11E-13,-2.27E-13,-1.65E-13,-1.20E-13,-8.77E-14,-6.39E-14,-4.65E-14,-3.39E-14,-2.47E-14,-1.80E-14,-1.31E-14,-9.55E-15,-6.95E-15,-5.06E-15,-3.68E-15,-2.68E-15,-1.95E-15,-1.42E-15,-1.03E-15,-7.46E-16,-5.40E-16,-3.90E-16,-2.81E-16,-2.02E-16
IRF,Taylor,NK_AFL15,Monetary Policy Shock,Output Gap,0,-0.273782014,0.035908057,0.014756361,0.00174808,-0.007792452,-0.001361958,-0.00027631,-0.000519728,-0.000641603,-0.000392159,-0.000248903,-0.000187459,-0.000144655,-0.000104477,-7.48532E-05,-5.45707E-05,-4.00018E-05,-2.9157E-05,-2.12097E-05,-1.54517E-05,-1.12663E-05,-8.21113E-06,-5.98267E-06,-4.35945E-06,-3.17698E-06,-2.31519E-06,-1.68711E-06,-1.22943E-06,-8.96E-07,-6.53E-07,-4.76E-07,-3.47E-07,-2.53E-07,-1.84E-07,-1.34E-07,-9.78E-08,-7.12E-08,-5.19E-08,-3.78E-08,-2.76E-08,-2.01E-08,-1.46E-08,-1.07E-08,-7.78E-09,-5.67E-09,-4.13E-09,-3.01E-09,-2.19E-09,-1.60E-09,-1.16E-09,-8.48E-10,-6.18E-10,-4.51E-10,-3.28E-10,-2.39E-10,-1.74E-10,-1.27E-10,-9.26E-11,-6.75E-11,-4.92E-11,-3.58E-11,-2.61E-11,-1.90E-11,-1.39E-11,-1.01E-11,-7.36E-12,-5.37E-12,-3.91E-12,-2.85E-12,-2.08E-12,-1.51E-12,-1.10E-12,-8.04E-13,-5.86E-13,-4.27E-13,-3.11E-13,-2.27E-13,-1.65E-13,-1.20E-13,-8.77E-14,-6.39E-14,-4.66E-14,-3.39E-14,-2.47E-14,-1.80E-14,-1.31E-14,-9.57E-15,-6.97E-15,-5.08E-15,-3.70E-15,-2.70E-15,-1.96E-15,-1.43E-15,-1.04E-15,-7.59E-16,-5.53E-16,-4.02E-16,-2.93E-16,-2.13E-16
IRF,Taylor,NK_AFL15,Monetary Policy Shock,inflationq,0,-0.124667441,0.049558394,0.018028729,0.004065592,0.0001798,0.003196701,0.002447943,0.001455853,0.000958218,0.000766723,0.000574328,0.000410093,0.000294929,0.000216315,0.000158318,0.000115204,8.38168E-05,6.11008E-05,4.45491E-05,3.24622E-05,2.36517E-05,1.72356E-05,1.25607E-05,9.15332E-06,6.67012E-06,4.86066E-06,3.54209E-06,2.58121E-06,1.88098E-06,1.37072E-06,9.99E-07,7.28E-07,5.30E-07,3.87E-07,2.82E-07,2.05E-07,1.50E-07,1.09E-07,7.94E-08,5.79E-08,4.22E-08,3.07E-08,2.24E-08,1.63E-08,1.19E-08,8.67E-09,6.32E-09,4.60E-09,3.35E-09,2.44E-09,1.78E-09,1.30E-09,9.46E-10,6.89E-10,5.02E-10,3.66E-10,2.67E-10,1.94E-10,1.42E-10,1.03E-10,7.52E-11,5.48E-11,3.99E-11,2.91E-11,2.12E-11,1.55E-11,1.13E-11,8.21E-12,5.98E-12,4.36E-12,3.18E-12,2.32E-12,1.69E-12,1.23E-12,8.96E-13,6.53E-13,4.76E-13,3.47E-13,2.53E-13,1.84E-13,1.34E-13,9.77E-14,7.12E-14,5.19E-14,3.78E-14,2.75E-14,2.01E-14,1.46E-14,1.06E-14,7.76E-15,5.65E-15,4.11E-15,2.99E-15,2.18E-15,1.58E-15,1.15E-15,8.35E-16,6.06E-16,4.39E-16
IRF,Taylor,NK_BGG99,Monetary Policy Shock,Inflation,0,-1.08E-17,0.002300026,0.004601271,0.007045126,0.00971721,0.010339725,0.011143318,0.01195269,0.012659399,0.013219992,0.013681562,0.014059351,0.014359769,0.014589436,0.014756376,0.014867667,0.01492946,0.014947294,0.014926217,0.014870794,0.014785139,0.014672964,0.014537618,0.014382117,0.014209179,0.01402125,0.01382053,0.013608994,0.013388417,0.01316039,0.012926337,0.012687533,0.012445117,0.012200105,0.011953401,0.011705809,0.011458043,0.011210733,0.010964436,0.010719641,0.010476779,0.010236223,0.0099983,0.009763291,0.009531437,0.009302946,0.009077989,0.008856713,0.008639237,0.008425656,0.008216045,0.008010462,0.007808947,0.007611525,0.007418209,0.007228999,0.007043887,0.006862854,0.006685873,0.006512912,0.006343931,0.006178887,0.006017728,0.005860404,0.005706857,0.005557029,0.005410857,0.00526828,0.005129231,0.004993645,0.004861455,0.004732594,0.004606993,0.004484584,0.0043653,0.004249073,0.004135835,0.004025518,0.003918057,0.003813385,0.003711438,0.003612151,0.003515461,0.003421305,0.003329622,0.003240351,0.003153433,0.00306881,0.002986425,0.002906221,0.002828143,0.002752138,0.002678153,0.002606136,0.002536037,0.002467806,0.002401396,0.002336758,0.002273848
IRF,Taylor,NK_BGG99,Monetary Policy Shock,Interest,0,0.844400714,-0.013607005,-0.009881209,-0.005813487,-0.001248772,0.000480979,0.002345769,0.004155406,0.005778272,0.00715553,0.008352867,0.00939528,0.010295285,0.011064963,0.011717989,0.012266567,0.012721425,0.01309224,0.013387831,0.01361619,0.013784543,0.013899423,0.01396674,0.013991837,0.013979542,0.013934217,0.013859798,0.013759838,0.013637543,0.0134958,0.013337211,0.013164119,0.012978629,0.012782635,0.012577836,0.012365756,0.012147763,0.011925078,0.011698793,0.011469883,0.011239216,0.011007564,0.010775612,0.010543967,0.010313164,0.010083674,0.009855911,0.009630236,0.009406963,0.009186366,0.008968676,0.008754095,0.008542791,0.008334905,0.008130554,0.007929832,0.007732813,0.007539555,0.007350097,0.007164467,0.006982679,0.006804735,0.00663063,0.006460347,0.006293864,0.006131151,0.005972173,0.005816888,0.005665251,0.005517214,0.005372725,0.005231729,0.005094168,0.004959985,0.004829118,0.004701506,0.004577086,0.004455796,0.004337572,0.00422235,0.004110066,0.004000657,0.00389406,0.003790211,0.003689048,0.00359051,0.003494536,0.003401064,0.003310036,0.003221392,0.003135076,0.00305103,0.002969199,0.002889527,0.002811961,0.002736448,0.002662937,0.002591377,0.002521718
IRF,Taylor,NK_BGG99,Monetary Policy Shock,Output,0,-0.311198572,-0.034114089,-0.03356623,-0.03276235,-0.031649175,-0.030057218,-0.028738417,-0.027547257,-0.026421654,-0.025348916,-0.024338952,-0.023387494,-0.022488736,-0.02163838,-0.020833149,-0.020069865,-0.01934553,-0.018657404,-0.01800299,-0.01738,-0.01678633,-0.016220046,-0.015679373,-0.015162676,-0.014668453,-0.014195318,-0.013741995,-0.013307307,-0.012890167,-0.01248957,-0.012104588,-0.011734361,-0.011378093,-0.011035045,-0.010704531,-0.010385914,-0.010078602,-0.009782043,-0.009495722,-0.009219159,-0.008951906,-0.008693543,-0.008443677,-0.008201939,-0.007967985,-0.007741489,-0.007522146,-0.007309668,-0.007103783,-0.006904236,-0.006710783,-0.006523197,-0.00634126,-0.006164765,-0.005993518,-0.005827333,-0.005666034,-0.005509451,-0.005357425,-0.005209802,-0.005066437,-0.004927189,-0.004791925,-0.004660517,-0.004532843,-0.004408783,-0.004288226,-0.004171064,-0.00405719,-0.003946506,-0.003838915,-0.003734323,-0.003632642,-0.003533783,-0.003437666,-0.003344208,-0.003253331,-0.003164962,-0.003079028,-0.002995457,-0.002914183,-0.00283514,-0.002758264,-0.002683493,-0.002610769,-0.002540033,-0.002471229,-0.002404303,-0.002339203,-0.002275878,-0.002214278,-0.002154354,-0.002096062,-0.002039355,-0.001984189,-0.001930522,-0.001878313,-0.001827522,-0.001778108
IRF,Taylor,NK_BGG99,Monetary Policy Shock,Output Gap,0,-0.311198572,-0.034114089,-0.03356623,-0.03276235,-0.031649175,-0.030057218,-0.028738417,-0.027547257,-0.026421654,-0.025348916,-0.024338952,-0.023387494,-0.022488736,-0.02163838,-0.020833149,-0.020069865,-0.01934553,-0.018657404,-0.01800299,-0.01738,-0.01678633,-0.016220046,-0.015679373,-0.015162676,-0.014668453,-0.014195318,-0.013741995,-0.013307307,-0.012890167,-0.01248957,-0.012104588,-0.011734361,-0.011378093,-0.011035045,-0.010704531,-0.010385914,-0.010078602,-0.009782043,-0.009495722,-0.009219159,-0.008951906,-0.008693543,-0.008443677,-0.008201939,-0.007967985,-0.007741489,-0.007522146,-0.007309668,-0.007103783,-0.006904236,-0.006710783,-0.006523197,-0.00634126,-0.006164765,-0.005993518,-0.005827333,-0.005666034,-0.005509451,-0.005357425,-0.005209802,-0.005066437,-0.004927189,-0.004791925,-0.004660517,-0.004532843,-0.004408783,-0.004288226,-0.004171064,-0.00405719,-0.003946506,-0.003838915,-0.003734323,-0.003632642,-0.003533783,-0.003437666,-0.003344208,-0.003253331,-0.003164962,-0.003079028,-0.002995457,-0.002914183,-0.00283514,-0.002758264,-0.002683493,-0.002610769,-0.002540033,-0.002471229,-0.002404303,-0.002339203,-0.002275878,-0.002214278,-0.002154354,-0.002096062,-0.002039355,-0.001984189,-0.001930522,-0.001878313,-0.001827522,-0.001778108
IRF,Taylor,NK_BGG99,Monetary Policy Shock,inflationq,0,-1.17E-17,0.009200106,0.009204977,0.009775419,0.010688339,0.011690165,0.01241935,0.013012905,0.013515177,0.013932534,0.01426563,0.014524064,0.014716847,0.014851201,0.01493339,0.014969229,0.014964021,0.014922538,0.014849081,0.014747534,0.014621401,0.014473839,0.014307696,0.014125531,0.01392965,0.013722125,0.013504814,0.013279388,0.013047342,0.012810015,0.012568602,0.012324173,0.012077678,0.011829966,0.011581786,0.011333806,0.011086613,0.010840726,0.010596598,0.010354629,0.010115164,0.009878503,0.009644905,0.009414592,0.00918775,0.008964536,0.00874508,0.008529488,0.008317844,0.008110211,0.007906639,0.007707156,0.007511783,0.007320523,0.007133373,0.006950318,0.006771333,0.00659639,0.006425451,0.006258474,0.006095411,0.005936211,0.005780819,0.005629176,0.005481223,0.005336897,0.005196133,0.005058865,0.004925028,0.004794553,0.004667373,0.00454342,0.004422625,0.00430492,0.004190237,0.00407851,0.003969671,0.003863654,0.003760393,0.003659824,0.003561882,0.003466506,0.003373632,0.0032832,0.00319515,0.003109423,0.003025961,0.002944708,0.002865608,0.002788607,0.002713651,0.002640688,0.002569667,0.002500539,0.002433254,0.002367765,0.002304025,0.002241989,0.002181613
