resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Growth,US_ACELm,Monetary Policy Shock,Inflation,0,1.66E-18,-0.002703923,-0.011766864,-0.027710902,-0.049317447,-0.071773108,-0.08919187,-0.099087254,-0.101148945,-0.096437965,-0.086592263,-0.073376723,-0.058435129,-0.043161827,-0.028647183,-0.015669048,-0.004713081,0.003989606,0.01041574,0.014700206,0.017087785,0.017889391,0.017444694,0.016092103,0.01414632,0.011883092,0.009530394,0.007265043,0.005213602,0.003456451,0.002033956,0.000953783,0.000198598,-0.000266484,-0.000487131,-0.000513994,-0.000398024,-0.000186949,7.72E-05,0.000359275,0.000632099,0.000875899,0.001077976,0.001231761,0.001335714,0.001392172,0.001406215,0.001384631,0.00133503,0.001265118,0.001182149,0.001092544,0.001001667,0.000913718,0.000831741,0.000757703,0.000692632,0.000636772,0.000589769,0.000550834,0.000518908,0.000492794,0.000471276,0.000453194,0.000437516,0.000423365,0.000410043,0.000397025,0.000383954,0.000370618,0.000356928,0.000342887,0.000328569,0.000314092,0.000299598,0.000285235,0.000271143,0.000257446,0.000244247,0.000231622,0.000219621,0.000208271,0.000197578,0.00018753,0.000178101,0.000169255,0.000160951,0.000153145,0.000145791,0.000138847,0.000132274,0.000126036,0.000120103,0.000114448,0.00010905,0.000103891,9.90E-05,9.42E-05,8.97E-05
IRF,Growth,US_ACELm,Monetary Policy Shock,Interest,0,1.003846798,0.730710937,0.510534169,0.335680068,0.193702537,0.107691846,0.053808913,0.019096474,-0.003303024,-0.017219862,-0.024927177,-0.02798508,-0.027609874,-0.024818996,-0.020478744,-0.015314758,-0.009912782,-0.004720983,-5.74E-05,0.003877429,0.006983682,0.009243469,0.010701245,0.011445068,0.011589653,0.011261891,0.010589194,0.009690734,0.008671437,0.007618458,0.006599731,0.005664194,0.004843236,0.004152971,0.003596973,0.003169177,0.002856701,0.002642418,0.002507181,0.002431612,0.002397472,0.002388597,0.002391468,0.002395457,0.00239281,0.002378449,0.002349633,0.002305553,0.002246892,0.0021754,0.002093497,0.002003938,0.001909529,0.001812923,0.001716465,0.001622108,0.00153137,0.001445331,0.001364666,0.00128969,0.001220424,0.001156659,0.00109802,0.001044028,0.000994152,0.000947854,0.000904617,0.000863974,0.000825518,0.000788913,0.000753891,0.000720248,0.000687841,0.000656573,0.000626389,0.000597259,0.000569177,0.000542144,0.00051617,0.000491262,0.000467423,0.000444651,0.000422934,0.000402254,0.000382585,0.000363895,0.000346144,0.000329292,0.000313295,0.000298107,0.000283683,0.00026998,0.000256955,0.00024457,0.000232787,0.000221572,0.000210893,0.000200723,0.000191034
IRF,Growth,US_ACELm,Monetary Policy Shock,Output,0,0.030774383,-0.169281519,-0.264691682,-0.294631761,-0.285733388,-0.254642653,-0.212795843,-0.167451683,-0.123289586,-0.083269515,-0.049117301,-0.021639087,-0.000952719,0.013323246,0.021908269,0.025722458,0.025772813,0.023063257,0.01852785,0.012985594,0.007114339,0.001440745,-0.003657087,-0.007937638,-0.011277805,-0.013651321,-0.015106064,-0.015742064,-0.015691513,-0.015101633,-0.014120829,-0.012888246,-0.011526585,-0.010137833,-0.008801475,-0.007574683,-0.006493972,-0.005577844,-0.004829988,-0.004242693,-0.00380017,-0.003481599,-0.003263753,-0.00312313,-0.003037569,-0.002987382,-0.002956025,-0.002930399,-0.002900841,-0.002860891,-0.002806891,-0.002737514,-0.002653237,-0.002555838,-0.002447929,-0.002332547,-0.002212822,-0.002091727,-0.001971899,-0.001855523,-0.001744289,-0.001639384,-0.001541521,-0.001451003,-0.001367786,-0.001291564,-0.001221837,-0.001157988,-0.001099343,-0.001045221,-0.000994973,-0.000948008,-0.000903812,-0.000861957,-0.000822097,-0.00078397,-0.000747382,-0.000712202,-0.000678344,-0.000645761,-0.000614431,-0.000584348,-0.000555511,-0.000527921,-0.000501576,-0.000476468,-0.000452579,-0.000429882,-0.000408345,-0.000387926,-0.000368578,-0.00035025,-0.00033289,-0.000316442,-0.000300853,-0.000286071,-0.000272046,-0.000258732,-0.000246085
IRF,Growth,US_ACELm,Monetary Policy Shock,Output Gap,0,0.030774383,-0.169281519,-0.264691682,-0.294631761,-0.285733388,-0.254642653,-0.212795843,-0.167451683,-0.123289586,-0.083269515,-0.049117301,-0.021639087,-0.000952719,0.013323246,0.021908269,0.025722458,0.025772813,0.023063257,0.01852785,0.012985594,0.007114339,0.001440745,-0.003657087,-0.007937638,-0.011277805,-0.013651321,-0.015106064,-0.015742064,-0.015691513,-0.015101633,-0.014120829,-0.012888246,-0.011526585,-0.010137833,-0.008801475,-0.007574683,-0.006493972,-0.005577844,-0.004829988,-0.004242693,-0.00380017,-0.003481599,-0.003263753,-0.00312313,-0.003037569,-0.002987382,-0.002956025,-0.002930399,-0.002900841,-0.002860891,-0.002806891,-0.002737514,-0.002653237,-0.002555838,-0.002447929,-0.002332547,-0.002212822,-0.002091727,-0.001971899,-0.001855523,-0.001744289,-0.001639384,-0.001541521,-0.001451003,-0.001367786,-0.001291564,-0.001221837,-0.001157988,-0.001099343,-0.001045221,-0.000994973,-0.000948008,-0.000903812,-0.000861957,-0.000822097,-0.00078397,-0.000747382,-0.000712202,-0.000678344,-0.000645761,-0.000614431,-0.000584348,-0.000555511,-0.000527921,-0.000501576,-0.000476468,-0.000452579,-0.000429882,-0.000408345,-0.000387926,-0.000368578,-0.00035025,-0.00033289,-0.000316442,-0.000300853,-0.000286071,-0.000272046,-0.000258732,-0.000246085
IRF,Growth,US_ACELm,Monetary Policy Shock,inflationq,0,8.72E-17,-0.010815692,-0.036251766,-0.06377615,-0.086426179,-0.100638339,-0.10592681,-0.103357686,-0.094672946,-0.081794416,-0.066544004,-0.050495525,-0.03490657,-0.02070121,-0.008485428,0.001417016,0.008917299,0.014109536,0.017219109,0.018554878,0.018467617,0.017315962,0.015440319,0.013144513,0.010684487,0.00826305,0.006029528,0.004083108,0.002478721,0.001234448,0.000339546,-0.000237583,-0.000542018,-0.000625881,-0.000543043,-0.000345033,-7.81E-05,0.000218418,0.000513354,0.000783465,0.001013161,0.001193615,0.001321664,0.001398602,0.001428974,0.001419448,0.001377835,0.001312268,0.00123057,0.001139799,0.001045957,0.000953852,0.000867061,0.000788002,0.000718048,0.000657703,0.000606775,0.000564564,0.000530034,0.000501963,0.000479069,0.000460111,0.000443959,0.000429638,0.000416356,0.000403509,0.000390667,0.000377566,0.000364073,0.000350167,0.000335905,0.000321402,0.000306802,0.00029226,0.00027793,0.000263949,0.000250434,0.000237474,0.000225132,0.000213447,0.00020243,0.000192075,0.000182361,0.000173254,0.000164713,0.000156692,0.000149146,0.000142028,0.000135298,0.000128918,0.000122853,0.000117076,0.000111564,0.000106297,0.00010126,9.64E-05,9.18E-05,8.74E-05,8.32E-05
IRF,Growth,US_ACELswt,Monetary Policy Shock,Inflation,0,-0.014427535,-0.040708108,-0.074998938,-0.113325618,-0.13776097,-0.148132797,-0.146361283,-0.1352745,-0.117891351,-0.097005287,-0.074970282,-0.0536151,-0.034238021,-0.01765063,-0.004249168,0.005901737,0.012983563,0.017343823,0.019425962,0.019711613,0.018676003,0.016756083,0.014330174,0.011707385,0.009124874,0.006750976,0.004692353,0.003003549,0.001697591,0.000756617,0.000141738,-0.000198328,-0.000320152,-0.000280071,-0.00013023,8.40E-05,0.000325311,0.000565024,0.000782612,0.000964969,0.00110527,0.001201717,0.001256272,0.001273469,0.001259377,0.001220738,0.001164294,0.001096307,0.001022236,0.000946573,0.000872781,0.000803335,0.000739811,0.000683021,0.000633163,0.000589976,0.000552879,0.0005211,0.000493781,0.000470058,0.000449124,0.000430264,0.000412883,0.000396506,0.000380781,0.000365464,0.000350407,0.000335536,0.000320836,0.000306333,0.000292078,0.000278133,0.000264566,0.000251437,0.000238798,0.000226688,0.000215132,0.000204143,0.000193722,0.000183858,0.000174533,0.000165724,0.000157404,0.000149541,0.000142107,0.00013507,0.000128403,0.00012208,0.000116077,0.000110372,0.000104946,9.98E-05,9.49E-05,9.02E-05,8.57E-05,8.15E-05,7.74E-05,7.36E-05,6.99E-05
IRF,Growth,US_ACELswt,Monetary Policy Shock,Interest,0,0.969053537,0.672554511,0.434367357,0.24429308,0.124047115,0.050455877,0.005909824,-0.019916817,-0.033340385,-0.038387849,-0.037823908,-0.033668505,-0.027445096,-0.020303779,-0.01309018,-0.006393499,-0.000587799,0.004128689,0.007695594,0.010154639,0.011617315,0.012236953,0.012185799,0.011637226,0.010752885,0.009674297,0.008518258,0.007375297,0.006310454,0.005365669,0.00456317,0.003909328,0.003398581,0.003017123,0.002746161,0.002564625,0.002451289,0.00238632,0.002352292,0.002334754,0.002322422,0.002307097,0.002283386,0.002248293,0.002200763,0.002141206,0.002071054,0.001992363,0.001907486,0.00181881,0.001728572,0.001638728,0.001550883,0.001466268,0.001385744,0.001309836,0.001238783,0.001172589,0.001111084,0.001053973,0.001000888,0.000951427,0.000905186,0.000861779,0.000820858,0.00078212,0.000745312,0.000710226,0.0006767,0.000644611,0.000613866,0.000584399,0.00055616,0.000529114,0.000503232,0.00047849,0.000454864,0.000432328,0.000410854,0.000390412,0.000370967,0.000352483,0.000334921,0.00031824,0.000302399,0.000287357,0.000273073,0.000259507,0.000246623,0.000234382,0.000222751,0.000211697,0.00020119,0.000191202,0.000181706,0.000172677,0.000164093,0.00015593,0.000148169
IRF,Growth,US_ACELswt,Monetary Policy Shock,Output,0,-0.204289104,-0.31176081,-0.335391395,-0.311882647,-0.264387758,-0.20799809,-0.151764221,-0.100852628,-0.057935881,-0.024042709,0.000882457,0.017588074,0.027228446,0.031149528,0.030731196,0.027275949,0.021936357,0.015674369,0.009245924,0.00320466,-0.002080967,-0.006402146,-0.009679925,-0.011934477,-0.01325587,-0.013778008,-0.013656702,-0.013052292,-0.012116796,-0.01098523,-0.009770571,-0.008561703,-0.00742366,-0.006399517,-0.00551333,-0.004773624,-0.00417703,-0.003711763,-0.003360749,-0.003104254,-0.002921989,-0.002794668,-0.002705064,-0.002638634,-0.002583775,-0.002531807,-0.002476749,-0.002414972,-0.002344778,-0.002265958,-0.002179378,-0.002086589,-0.001989512,-0.001890175,-0.001790525,-0.001692289,-0.0015969,-0.001505459,-0.001418733,-0.001337184,-0.001261003,-0.001190161,-0.001124461,-0.001063588,-0.001007155,-0.000954738,-0.000905909,-0.00086026,-0.000817417,-0.000777051,-0.000738879,-0.000702668,-0.000668228,-0.00063541,-0.000604098,-0.000574203,-0.000545655,-0.000518401,-0.000492397,-0.000467605,-0.000443988,-0.000421512,-0.000400141,-0.000379835,-0.000360556,-0.000342262,-0.000324909,-0.000308454,-0.000292851,-0.000278058,-0.000264032,-0.00025073,-0.000238113,-0.000226142,-0.000214783,-0.000204,-0.000193764,-0.000184043,-0.000174812
IRF,Growth,US_ACELswt,Monetary Policy Shock,Output Gap,0,-0.204289104,-0.31176081,-0.335391395,-0.311882647,-0.264387758,-0.20799809,-0.151764221,-0.100852628,-0.057935881,-0.024042709,0.000882457,0.017588074,0.027228446,0.031149528,0.030731196,0.027275949,0.021936357,0.015674369,0.009245924,0.00320466,-0.002080967,-0.006402146,-0.009679925,-0.011934477,-0.01325587,-0.013778008,-0.013656702,-0.013052292,-0.012116796,-0.01098523,-0.009770571,-0.008561703,-0.00742366,-0.006399517,-0.00551333,-0.004773624,-0.00417703,-0.003711763,-0.003360749,-0.003104254,-0.002921989,-0.002794668,-0.002705064,-0.002638634,-0.002583775,-0.002531807,-0.002476749,-0.002414972,-0.002344778,-0.002265958,-0.002179378,-0.002086589,-0.001989512,-0.001890175,-0.001790525,-0.001692289,-0.0015969,-0.001505459,-0.001418733,-0.001337184,-0.001261003,-0.001190161,-0.001124461,-0.001063588,-0.001007155,-0.000954738,-0.000905909,-0.00086026,-0.000817417,-0.000777051,-0.000738879,-0.000702668,-0.000668228,-0.00063541,-0.000604098,-0.000574203,-0.000545655,-0.000518401,-0.000492397,-0.000467605,-0.000443988,-0.000421512,-0.000400141,-0.000379835,-0.000360556,-0.000342262,-0.000324909,-0.000308454,-0.000292851,-0.000278058,-0.000264032,-0.00025073,-0.000238113,-0.000226142,-0.000214783,-0.000204,-0.000193764,-0.000184043,-0.000174812
IRF,Growth,US_ACELswt,Monetary Policy Shock,inflationq,0,-0.057710138,-0.105122293,-0.137163319,-0.153306723,-0.155451545,-0.146609602,-0.130077261,-0.10895959,-0.08591895,-0.063065347,-0.04193724,-0.023538865,-0.008410631,0.003284214,0.011668608,0.017064757,0.019916672,0.020725255,0.019997164,0.018207362,0.015774229,0.013045576,0.010293529,0.007716205,0.005444184,0.003549984,0.00205904,0.000960986,0.000220354,-0.000213913,-0.000400473,-0.00039928,-0.000266941,-5.36E-05,0.00019889,0.000457576,0.000698367,0.000905261,0.001069245,0.001187004,0.001259571,0.00129105,0.001287463,0.001255791,0.001203204,0.001136493,0.001061689,0.000983841,0.000906921,0.000833839,0.000766524,0.000706057,0.000652824,0.000606678,0.000567094,0.000533308,0.000504436,0.000479562,0.000457817,0.000438417,0.000420698,0.000404125,0.000388291,0.00037291,0.000357798,0.000342858,0.000328062,0.000313426,0.000298999,0.000284846,0.00027104,0.000257648,0.00024473,0.000232331,0.000220484,0.000209208,0.000198507,0.000188375,0.000178798,0.000169751,0.000161209,0.00015314,0.000145515,0.000138301,0.00013147,0.000124994,0.000118848,0.000113009,0.000107457,0.000102174,9.71E-05,9.24E-05,8.78E-05,8.35E-05,7.93E-05,7.54E-05,7.16E-05,6.81E-05,6.47E-05
