resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Inertial_Taylor,US_ACELm,Monetary Policy Shock,Inflation,0,-4.89E-20,0.002362805,0.002988075,0.000556976,-0.004762969,-0.014498257,-0.023521977,-0.029560096,-0.032021094,-0.031219186,-0.027887678,-0.022883429,-0.017017416,-0.010967939,-0.00524692,-0.000198984,0.00398069,0.007219268,0.009536283,0.011014801,0.011776063,0.011958756,0.011703214,0.011140313,0.010384493,0.009530182,0.008650843,0.007799911,0.007012956,0.006310528,0.005701251,0.005184868,0.004754991,0.004401476,0.004112326,0.003875152,0.003678197,0.003511,0.003364751,0.003232411,0.003108666,0.002989756,0.002873249,0.002757784,0.002642815,0.00252837,0.002414851,0.002302863,0.002193084,0.002086174,0.001982711,0.001883156,0.001787839,0.001696959,0.001610597,0.001528732,0.001451262,0.001378023,0.001308811,0.0012434,0.001181552,0.001123031,0.001067609,0.001015075,0.000965232,0.000917903,0.000872929,0.000830168,0.000789493,0.00075079,0.000713958,0.000678903,0.00064554,0.00061379,0.000583578,0.000554835,0.000527492,0.000501486,0.000476755,0.000453239,0.000430882,0.000409626,0.00038942,0.000370212,0.000351954,0.000334597,0.000318099,0.000302415,0.000287506,0.000273333,0.000259859,0.00024705,0.000234872,0.000223295,0.000212288,0.000201823,0.000191874,0.000182415,0.000173422
IRF,Inertial_Taylor,US_ACELm,Monetary Policy Shock,Interest,0,1.003846798,0.736903646,0.527915485,0.368317964,0.248678586,0.159338116,0.093691995,0.046854988,0.014941471,-0.005292715,-0.01661464,-0.021383294,-0.021578671,-0.018820131,-0.01438763,-0.009250466,-0.004103404,0.000592168,0.004565055,0.007691947,0.009958248,0.011423651,0.012193333,0.012395019,0.012161736,0.0116197,0.010880617,0.010037559,0.0091636,0.008312423,0.007520238,0.00680844,0.006186569,0.005655254,0.005208912,0.00483808,0.004531312,0.004276639,0.004062602,0.003878935,0.003716938,0.003569618,0.003431655,0.003299257,0.003169937,0.003042273,0.002915655,0.002790053,0.002665816,0.002543508,0.002423772,0.002307242,0.002194477,0.002085927,0.001981912,0.001882627,0.001788151,0.001698458,0.001613446,0.001532948,0.001456759,0.001384646,0.001316367,0.001251681,0.001190354,0.001132165,0.001076911,0.001024407,0.000974485,0.000926994,0.0008818,0.000838779,0.000797822,0.000758827,0.000721702,0.00068636,0.000652718,0.000620701,0.000590234,0.000561247,0.000533671,0.000507442,0.000482496,0.000458772,0.000436213,0.000414761,0.000394363,0.000374968,0.000356526,0.000338991,0.000322318,0.000306464,0.000291389,0.000277055,0.000263425,0.000250464,0.00023814,0.00022642,0.000215277
IRF,Inertial_Taylor,US_ACELm,Monetary Policy Shock,Output,0,0.030774383,-0.134940038,-0.207062218,-0.222620127,-0.206190193,-0.173871812,-0.135926804,-0.098631777,-0.065534883,-0.03833299,-0.017497789,-0.002728224,0.006722639,0.011814795,0.01356051,0.012919001,0.010733497,0.007699959,0.004358589,0.001100843,-0.001813894,-0.004236546,-0.006104885,-0.007420782,-0.008229705,-0.008603359,-0.008625794,-0.008382961,-0.007955425,-0.007413801,-0.006816388,-0.006208511,-0.005623057,-0.005081809,-0.00459721,-0.004174293,-0.00381257,-0.003507763,-0.003253272,-0.003041368,-0.002864104,-0.002713951,-0.002584209,-0.00246923,-0.002364489,-0.002266547,-0.002172954,-0.002082095,-0.001993037,-0.001905359,-0.001819007,-0.001734165,-0.00165115,-0.001570328,-0.001492057,-0.001416649,-0.001344344,-0.001275305,-0.001209617,-0.00114729,-0.001088276,-0.001032479,-0.000979765,-0.000929979,-0.000882952,-0.000838511,-0.000796486,-0.000756713,-0.00071904,-0.000683326,-0.000649443,-0.000617276,-0.000586721,-0.000557684,-0.000530083,-0.00050384,-0.000478887,-0.00045516,-0.000432598,-0.000411148,-0.000390755,-0.00037137,-0.000352945,-0.000335434,-0.000318794,-0.000302981,-0.000287957,-0.00027368,-0.000260116,-0.000247227,-0.000234981,-0.000223345,-0.000212287,-0.00020178,-0.000191795,-0.000182306,-0.000173288,-0.000164718,-0.000156572
IRF,Inertial_Taylor,US_ACELm,Monetary Policy Shock,Output Gap,0,0.030774383,-0.134940038,-0.207062218,-0.222620127,-0.206190193,-0.173871812,-0.135926804,-0.098631777,-0.065534883,-0.03833299,-0.017497789,-0.002728224,0.006722639,0.011814795,0.01356051,0.012919001,0.010733497,0.007699959,0.004358589,0.001100843,-0.001813894,-0.004236546,-0.006104885,-0.007420782,-0.008229705,-0.008603359,-0.008625794,-0.008382961,-0.007955425,-0.007413801,-0.006816388,-0.006208511,-0.005623057,-0.005081809,-0.00459721,-0.004174293,-0.00381257,-0.003507763,-0.003253272,-0.003041368,-0.002864104,-0.002713951,-0.002584209,-0.00246923,-0.002364489,-0.002266547,-0.002172954,-0.002082095,-0.001993037,-0.001905359,-0.001819007,-0.001734165,-0.00165115,-0.001570328,-0.001492057,-0.001416649,-0.001344344,-0.001275305,-0.001209617,-0.00114729,-0.001088276,-0.001032479,-0.000979765,-0.000929979,-0.000882952,-0.000838511,-0.000796486,-0.000756713,-0.00071904,-0.000683326,-0.000649443,-0.000617276,-0.000586721,-0.000557684,-0.000530083,-0.00050384,-0.000478887,-0.00045516,-0.000432598,-0.000411148,-0.000390755,-0.00037137,-0.000352945,-0.000335434,-0.000318794,-0.000302981,-0.000287957,-0.00027368,-0.000260116,-0.000247227,-0.000234981,-0.000223345,-0.000212287,-0.00020178,-0.000191795,-0.000182306,-0.000173288,-0.000164718,-0.000156572
IRF,Inertial_Taylor,US_ACELm,Monetary Policy Shock,inflationq,0,-3.89E-17,0.009451221,0.002501079,-0.009724395,-0.021279782,-0.029489932,-0.033593799,-0.033876873,-0.031123771,-0.026282301,-0.020267769,-0.013859877,-0.007659717,-0.002084391,0.002616304,0.006331869,0.009058978,0.010869919,0.011884367,0.012245942,0.012104026,0.01160069,0.010862198,0.009994338,0.009080746,0.008183444,0.007344843,0.006590611,0.005932927,0.005373729,0.004907738,0.004525076,0.00421342,0.003959668,0.003751141,0.00357638,0.0034256,0.003290879,0.003166144,0.003047023,0.002930619,0.002815237,0.002700116,0.002585165,0.002470741,0.002357458,0.00224604,0.002137212,0.002031626,0.001929819,0.001832188,0.001738991,0.001650357,0.0015663,0.001486741,0.001411531,0.001340475,0.001273343,0.001209895,0.001149887,0.001093082,0.001039258,0.000988209,0.000939749,0.00089371,0.000849942,0.000808314,0.000768705,0.00073101,0.000695133,0.000660985,0.000628485,0.000597558,0.000568132,0.000540138,0.000513511,0.000488188,0.000464108,0.000441214,0.000419448,0.000398756,0.000379087,0.00036039,0.000342616,0.000325722,0.000309662,0.000294395,0.000279882,0.000266086,0.000252969,0.0002405,0.000228645,0.000217375,0.000206659,0.000196472,0.000186786,0.000177578,0.000168823,0.0001605
IRF,Inertial_Taylor,US_ACELswt,Monetary Policy Shock,Inflation,0,-0.009790775,-0.027272351,-0.049401203,-0.073182899,-0.086376786,-0.089358115,-0.084164029,-0.073394612,-0.059570048,-0.044798246,-0.030646433,-0.018138809,-0.007824516,0.000122497,0.005796878,0.009463736,0.011476863,0.012216235,0.012044422,0.011279628,0.010182197,0.008951179,0.007727746,0.00660275,0.005626258,0.004817462,0.004173929,0.003679549,0.003310917,0.003042099,0.002847935,0.002706078,0.002598035,0.002509482,0.00243007,0.002352932,0.00227404,0.002191531,0.002105072,0.002015313,0.001923445,0.001830867,0.001738957,0.001648928,0.001561752,0.001478133,0.001398523,0.001323151,0.001252064,0.001185172,0.001122296,0.001063195,0.001007606,0.000955257,0.000905889,0.000859263,0.000815163,0.0007734,0.000733809,0.000696249,0.000660596,0.000626743,0.000594594,0.000564064,0.000535074,0.00050755,0.000481424,0.00045663,0.000433103,0.000410784,0.000389612,0.00036953,0.000350485,0.000332423,0.000315293,0.000299048,0.000283642,0.000269031,0.000255174,0.000242032,0.000229566,0.000217744,0.00020653,0.000195893,0.000185804,0.000176235,0.000167158,0.000158549,0.000150383,0.000142637,0.00013529,0.000128322,0.000121712,0.000115443,0.000109497,0.000103857,9.85E-05,9.34E-05,8.86E-05
IRF,Inertial_Taylor,US_ACELswt,Monetary Policy Shock,Interest,0,0.975551761,0.690535242,0.467645548,0.295664035,0.167927495,0.077539811,0.017569764,-0.01862952,-0.037121188,-0.043169542,-0.041126881,-0.034414151,-0.025574974,-0.016378997,-0.007951879,-0.000913194,0.004491547,0.008273772,0.010604417,0.011737707,0.011955327,0.011528643,0.010695872,0.009650854,0.00854023,0.007466219,0.006492668,0.005652614,0.004956075,0.004397239,0.003960589,0.003625756,0.0033711,0.00317613,0.00302296,0.002896997,0.002787082,0.002685258,0.00258633,0.002487317,0.002386904,0.002284935,0.002181976,0.00207898,0.001977026,0.00187715,0.001780241,0.001686984,0.001597854,0.001513122,0.001432888,0.001357114,0.001285662,0.001218325,0.001154861,0.001095009,0.001038511,0.000985121,0.000934611,0.000886777,0.000841437,0.00079843,0.000757615,0.000718866,0.000682073,0.000647133,0.000613955,0.000582452,0.000552545,0.000524157,0.000497214,0.000471648,0.00044739,0.000424376,0.000402544,0.000381835,0.000362191,0.000343558,0.000325884,0.00030912,0.000293218,0.000278134,0.000263826,0.000250253,0.000237379,0.000225166,0.000213581,0.000202591,0.000192167,0.000182278,0.000172897,0.000163999,0.000155559,0.000147552,0.000139957,0.000132753,0.000125919,0.000119437,0.000113289
IRF,Inertial_Taylor,US_ACELswt,Monetary Policy Shock,Output,0,-0.166213585,-0.24721158,-0.253843458,-0.221012309,-0.171433895,-0.119172138,-0.07218867,-0.034270905,-0.006482241,0.011765528,0.021941504,0.02586451,0.025358661,0.022050372,0.017268318,0.012014512,0.006980953,0.002592192,-0.000940566,-0.003563731,-0.005330219,-0.006356354,-0.006788116,-0.006776652,-0.006462056,-0.005964017,-0.005377757,-0.004773741,-0.004199836,-0.003684837,-0.00324253,-0.002875717,-0.002579841,-0.002346003,-0.002163313,-0.002020582,-0.001907449,-0.001815014,-0.001736124,-0.001665383,-0.001599001,-0.001534549,-0.00147067,-0.001406804,-0.001342928,-0.001279352,-0.001216545,-0.001155023,-0.001095264,-0.001037665,-0.000982516,-0.000930001,-0.000880207,-0.000833137,-0.000788731,-0.000746882,-0.000707455,-0.000670301,-0.000635266,-0.000602198,-0.000570956,-0.000541411,-0.000513444,-0.00048695,-0.000461838,-0.000438023,-0.000415432,-0.000393999,-0.000373663,-0.000354368,-0.000336062,-0.000318695,-0.000302222,-0.000286598,-0.000271782,-0.000257731,-0.000244409,-0.000231776,-0.000219799,-0.000208443,-0.000197675,-0.000187466,-0.000177786,-0.000168607,-0.000159903,-0.00015165,-0.000143824,-0.000136402,-0.000129363,-0.000122689,-0.000116359,-0.000110356,-0.000104663,-9.93E-05,-9.41E-05,-8.93E-05,-8.47E-05,-8.03E-05,-7.62E-05
IRF,Inertial_Taylor,US_ACELswt,Monetary Policy Shock,Output Gap,0,-0.166213585,-0.24721158,-0.253843458,-0.221012309,-0.171433895,-0.119172138,-0.07218867,-0.034270905,-0.006482241,0.011765528,0.021941504,0.02586451,0.025358661,0.022050372,0.017268318,0.012014512,0.006980953,0.002592192,-0.000940566,-0.003563731,-0.005330219,-0.006356354,-0.006788116,-0.006776652,-0.006462056,-0.005964017,-0.005377757,-0.004773741,-0.004199836,-0.003684837,-0.00324253,-0.002875717,-0.002579841,-0.002346003,-0.002163313,-0.002020582,-0.001907449,-0.001815014,-0.001736124,-0.001665383,-0.001599001,-0.001534549,-0.00147067,-0.001406804,-0.001342928,-0.001279352,-0.001216545,-0.001155023,-0.001095264,-0.001037665,-0.000982516,-0.000930001,-0.000880207,-0.000833137,-0.000788731,-0.000746882,-0.000707455,-0.000670301,-0.000635266,-0.000602198,-0.000570956,-0.000541411,-0.000513444,-0.00048695,-0.000461838,-0.000438023,-0.000415432,-0.000393999,-0.000373663,-0.000354368,-0.000336062,-0.000318695,-0.000302222,-0.000286598,-0.000271782,-0.000257731,-0.000244409,-0.000231776,-0.000219799,-0.000208443,-0.000197675,-0.000187466,-0.000177786,-0.000168607,-0.000159903,-0.00015165,-0.000143824,-0.000136402,-0.000129363,-0.000122689,-0.000116359,-0.000110356,-0.000104663,-9.93E-05,-9.41E-05,-8.93E-05,-8.47E-05,-8.03E-05,-7.62E-05
IRF,Inertial_Taylor,US_ACELswt,Monetary Policy Shock,inflationq,0,-0.039163101,-0.069926302,-0.08851541,-0.095126784,-0.091938647,-0.081851618,-0.067739066,-0.052049117,-0.036640392,-0.022764407,-0.011131816,-0.002018621,0.004616782,0.009023643,0.01156571,0.012648809,0.012669288,0.011981135,0.010878458,0.00958963,0.008279567,0.007057062,0.005984724,0.005089649,0.004373598,0.003821878,0.003410591,0.003112131,0.002899067,0.002746607,0.002633937,0.0025447,0.002466895,0.002392396,0.00231629,0.002236147,0.002151326,0.002062359,0.001970454,0.001877112,0.001783853,0.001692047,0.001602816,0.001516997,0.001435146,0.001357572,0.001284378,0.001215508,0.001150796,0.001090007,0.001032871,0.000979106,0.000928438,0.000880612,0.000835401,0.000792601,0.000752038,0.00071356,0.000677039,0.00064236,0.000609426,0.000578147,0.000548443,0.000520239,0.000493465,0.000468053,0.000443939,0.000421061,0.000399359,0.000378775,0.000359252,0.000340736,0.000323178,0.000306526,0.000290734,0.000275757,0.000261553,0.000248082,0.000235305,0.000223187,0.000211692,0.00020079,0.000190449,0.000180641,0.000171337,0.000162513,0.000154143,0.000146203,0.000138673,0.00013153,0.000124755,0.000118329,0.000112234,0.000106453,0.00010097,9.58E-05,9.08E-05,8.62E-05,8.17E-05
