resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Taylor,US_ACELm,Monetary Policy Shock,Inflation,0,8.29E-18,-5.44E-17,-1.56E-16,-1.88E-16,-2.99E-16,-2.56E-16,-2.34E-16,-2.15E-16,-1.97E-16,-1.82E-16,-1.68E-16,-1.57E-16,-1.47E-16,-1.38E-16,-1.31E-16,-1.25E-16,-1.19E-16,-1.14E-16,-1.09E-16,-1.04E-16,-1.00E-16,-9.59E-17,-9.17E-17,-8.77E-17,-8.38E-17,-7.99E-17,-7.61E-17,-7.25E-17,-6.89E-17,-6.55E-17,-6.22E-17,-5.90E-17,-5.60E-17,-5.31E-17,-5.03E-17,-4.76E-17,-4.51E-17,-4.27E-17,-4.04E-17,-3.83E-17,-3.62E-17,-3.43E-17,-3.24E-17,-3.07E-17,-2.91E-17,-2.75E-17,-2.60E-17,-2.46E-17,-2.33E-17,-2.20E-17,-2.08E-17,-1.97E-17,-1.86E-17,-1.76E-17,-1.66E-17,-1.57E-17,-1.48E-17,-1.40E-17,-1.32E-17,-1.25E-17,-1.18E-17,-1.11E-17,-1.05E-17,-9.86E-18,-9.29E-18,-8.75E-18,-8.24E-18,-7.76E-18,-7.30E-18,-6.87E-18,-6.45E-18,-6.06E-18,-5.70E-18,-5.35E-18,-5.02E-18,-4.70E-18,-4.41E-18,-4.13E-18,-3.86E-18,-3.61E-18,-3.37E-18,-3.15E-18,-2.94E-18,-2.74E-18,-2.55E-18,-2.37E-18,-2.20E-18,-2.04E-18,-1.89E-18,-1.75E-18,-1.61E-18,-1.49E-18,-1.37E-18,-1.26E-18,-1.15E-18,-1.05E-18,-9.56E-19,-8.67E-19,-7.84E-19
IRF,Taylor,US_ACELm,Monetary Policy Shock,Interest,0,1.015566839,-1.89E-16,2.64E-16,-6.21E-17,-3.14E-16,-2.66E-16,-2.40E-16,-2.17E-16,-1.95E-16,-1.78E-16,-1.63E-16,-1.51E-16,-1.42E-16,-1.34E-16,-1.27E-16,-1.21E-16,-1.16E-16,-1.12E-16,-1.07E-16,-1.03E-16,-9.92E-17,-9.52E-17,-9.12E-17,-8.72E-17,-8.33E-17,-7.94E-17,-7.56E-17,-7.19E-17,-6.83E-17,-6.48E-17,-6.14E-17,-5.81E-17,-5.50E-17,-5.20E-17,-4.91E-17,-4.64E-17,-4.38E-17,-4.14E-17,-3.90E-17,-3.68E-17,-3.47E-17,-3.27E-17,-3.09E-17,-2.91E-17,-2.74E-17,-2.58E-17,-2.43E-17,-2.29E-17,-2.15E-17,-2.02E-17,-1.90E-17,-1.79E-17,-1.68E-17,-1.58E-17,-1.48E-17,-1.39E-17,-1.30E-17,-1.22E-17,-1.14E-17,-1.07E-17,-9.96E-18,-9.30E-18,-8.67E-18,-8.08E-18,-7.52E-18,-6.99E-18,-6.49E-18,-6.02E-18,-5.58E-18,-5.16E-18,-4.76E-18,-4.39E-18,-4.04E-18,-3.70E-18,-3.39E-18,-3.10E-18,-2.82E-18,-2.56E-18,-2.31E-18,-2.08E-18,-1.86E-18,-1.66E-18,-1.47E-18,-1.29E-18,-1.12E-18,-9.64E-19,-8.16E-19,-6.78E-19,-5.48E-19,-4.28E-19,-3.15E-19,-2.09E-19,-1.11E-19,-2.00E-20,6.50E-20,1.44E-19,2.17E-19,2.85E-19,3.48E-19
IRF,Taylor,US_ACELm,Monetary Policy Shock,Output,0,0.031133678,-1.77E-16,2.54E-17,7.95E-17,9.83E-17,1.09E-16,1.09E-16,1.02E-16,9.26E-17,8.12E-17,6.98E-17,5.88E-17,4.89E-17,4.00E-17,3.23E-17,2.56E-17,1.99E-17,1.49E-17,1.07E-17,7.00E-18,3.76E-18,8.99E-19,-1.67E-18,-3.99E-18,-6.10E-18,-8.05E-18,-9.84E-18,-1.15E-17,-1.30E-17,-1.45E-17,-1.58E-17,-1.70E-17,-1.81E-17,-1.91E-17,-2.00E-17,-2.08E-17,-2.16E-17,-2.22E-17,-2.28E-17,-2.33E-17,-2.37E-17,-2.41E-17,-2.44E-17,-2.46E-17,-2.48E-17,-2.49E-17,-2.50E-17,-2.51E-17,-2.51E-17,-2.51E-17,-2.50E-17,-2.49E-17,-2.48E-17,-2.47E-17,-2.45E-17,-2.44E-17,-2.42E-17,-2.40E-17,-2.37E-17,-2.35E-17,-2.32E-17,-2.30E-17,-2.27E-17,-2.24E-17,-2.21E-17,-2.19E-17,-2.16E-17,-2.13E-17,-2.10E-17,-2.07E-17,-2.03E-17,-2.00E-17,-1.97E-17,-1.94E-17,-1.91E-17,-1.88E-17,-1.85E-17,-1.82E-17,-1.78E-17,-1.75E-17,-1.72E-17,-1.69E-17,-1.66E-17,-1.63E-17,-1.60E-17,-1.57E-17,-1.54E-17,-1.51E-17,-1.49E-17,-1.46E-17,-1.43E-17,-1.40E-17,-1.37E-17,-1.35E-17,-1.32E-17,-1.30E-17,-1.27E-17,-1.24E-17,-1.22E-17
IRF,Taylor,US_ACELm,Monetary Policy Shock,Output Gap,0,0.031133678,7.40E-16,3.45E-16,3.66E-16,2.65E-16,2.34E-16,2.20E-16,2.11E-16,2.01E-16,1.90E-16,1.79E-16,1.68E-16,1.57E-16,1.48E-16,1.39E-16,1.32E-16,1.24E-16,1.18E-16,1.12E-16,1.07E-16,1.02E-16,9.72E-17,9.28E-17,8.86E-17,8.47E-17,8.08E-17,7.72E-17,7.36E-17,7.03E-17,6.70E-17,6.39E-17,6.09E-17,5.80E-17,5.52E-17,5.26E-17,5.01E-17,4.77E-17,4.54E-17,4.33E-17,4.12E-17,3.92E-17,3.74E-17,3.56E-17,3.39E-17,3.23E-17,3.08E-17,2.94E-17,2.80E-17,2.67E-17,2.55E-17,2.43E-17,2.32E-17,2.22E-17,2.12E-17,2.02E-17,1.93E-17,1.84E-17,1.76E-17,1.68E-17,1.61E-17,1.54E-17,1.47E-17,1.40E-17,1.34E-17,1.28E-17,1.23E-17,1.17E-17,1.12E-17,1.07E-17,1.03E-17,9.84E-18,9.42E-18,9.02E-18,8.63E-18,8.27E-18,7.92E-18,7.58E-18,7.26E-18,6.96E-18,6.67E-18,6.39E-18,6.13E-18,5.87E-18,5.63E-18,5.40E-18,5.18E-18,4.97E-18,4.77E-18,4.57E-18,4.39E-18,4.21E-18,4.04E-18,3.88E-18,3.73E-18,3.58E-18,3.44E-18,3.30E-18,3.17E-18,3.05E-18
IRF,Taylor,US_ACELm,Monetary Policy Shock,inflationq,0,9.30E-17,-1.85E-16,-2.92E-16,-2.64E-16,-2.43E-16,-2.23E-16,-2.04E-16,-1.88E-16,-1.73E-16,-1.61E-16,-1.51E-16,-1.42E-16,-1.34E-16,-1.27E-16,-1.22E-16,-1.16E-16,-1.11E-16,-1.07E-16,-1.02E-16,-9.79E-17,-9.37E-17,-8.97E-17,-8.57E-17,-8.18E-17,-7.79E-17,-7.42E-17,-7.06E-17,-6.71E-17,-6.38E-17,-6.05E-17,-5.74E-17,-5.44E-17,-5.16E-17,-4.89E-17,-4.63E-17,-4.38E-17,-4.15E-17,-3.93E-17,-3.72E-17,-3.52E-17,-3.33E-17,-3.15E-17,-2.98E-17,-2.82E-17,-2.67E-17,-2.52E-17,-2.39E-17,-2.26E-17,-2.14E-17,-2.02E-17,-1.91E-17,-1.80E-17,-1.70E-17,-1.61E-17,-1.52E-17,-1.44E-17,-1.36E-17,-1.28E-17,-1.21E-17,-1.14E-17,-1.07E-17,-1.01E-17,-9.55E-18,-9.00E-18,-8.48E-18,-7.98E-18,-7.51E-18,-7.06E-18,-6.64E-18,-6.24E-18,-5.87E-18,-5.51E-18,-5.17E-18,-4.85E-18,-4.54E-18,-4.26E-18,-3.98E-18,-3.73E-18,-3.48E-18,-3.25E-18,-3.03E-18,-2.83E-18,-2.63E-18,-2.45E-18,-2.28E-18,-2.11E-18,-1.96E-18,-1.81E-18,-1.67E-18,-1.54E-18,-1.42E-18,-1.31E-18,-1.20E-18,-1.10E-18,-9.99E-19,-9.08E-19,-8.22E-19,-7.42E-19,-6.66E-19
IRF,Taylor,US_ACELswt,Monetary Policy Shock,Inflation,0,-0.000345906,-0.001050781,-0.001887203,-0.002726436,-0.003156493,-0.003136745,-0.002889547,-0.002550623,-0.002198535,-0.001874882,-0.001598115,-0.001372906,-0.001196313,-0.001061733,-0.00096131,-0.00088732,-0.000832888,-0.000792288,-0.000760984,-0.000735541,-0.000713474,-0.000693068,-0.00067321,-0.00065324,-0.000632821,-0.000611841,-0.000590329,-0.000568402,-0.000546222,-0.000523962,-0.000501793,-0.000479873,-0.000458335,-0.00043729,-0.000416827,-0.000397011,-0.000377888,-0.000359489,-0.00034183,-0.000324915,-0.00030874,-0.000293293,-0.000278559,-0.000264517,-0.000251144,-0.000238417,-0.000226309,-0.000214796,-0.000203851,-0.000193449,-0.000183566,-0.000174177,-0.000165258,-0.000156788,-0.000148744,-0.000141107,-0.000133856,-0.000126972,-0.000120437,-0.000114234,-0.000108347,-0.000102759,-9.75E-05,-9.24E-05,-8.76E-05,-8.31E-05,-7.88E-05,-7.47E-05,-7.09E-05,-6.72E-05,-6.37E-05,-6.04E-05,-5.73E-05,-5.43E-05,-5.15E-05,-4.88E-05,-4.63E-05,-4.39E-05,-4.16E-05,-3.94E-05,-3.74E-05,-3.54E-05,-3.36E-05,-3.19E-05,-3.02E-05,-2.86E-05,-2.71E-05,-2.57E-05,-2.44E-05,-2.31E-05,-2.19E-05,-2.08E-05,-1.97E-05,-1.87E-05,-1.77E-05,-1.68E-05,-1.59E-05,-1.51E-05,-1.43E-05
IRF,Taylor,US_ACELswt,Monetary Policy Shock,Interest,0,0.999565728,-0.011141239,-0.008456176,-0.007123895,-0.006099275,-0.005027515,-0.004037679,-0.003188775,-0.002498116,-0.001959512,-0.001554872,-0.001261462,-0.001056201,-0.000917992,-0.000828792,-0.000773912,-0.000741872,-0.000724033,-0.000714136,-0.000707833,-0.000702255,-0.000695643,-0.000687037,-0.000676034,-0.000662597,-0.000646915,-0.000629308,-0.000610146,-0.000589813,-0.00056867,-0.000547044,-0.000525217,-0.000503424,-0.000481858,-0.000460671,-0.000439977,-0.000419863,-0.000400389,-0.000381594,-0.000363503,-0.000346126,-0.000329463,-0.000313506,-0.000298244,-0.00028366,-0.000269734,-0.000256444,-0.000243769,-0.000231686,-0.00022017,-0.0002092,-0.000198752,-0.000188805,-0.000179336,-0.000170324,-0.000161749,-0.000153592,-0.000145833,-0.000138455,-0.000131439,-0.000124769,-0.000118429,-0.000112403,-0.000106677,-0.000101236,-9.61E-05,-9.12E-05,-8.65E-05,-8.21E-05,-7.79E-05,-7.39E-05,-7.01E-05,-6.65E-05,-6.30E-05,-5.98E-05,-5.67E-05,-5.38E-05,-5.10E-05,-4.84E-05,-4.59E-05,-4.35E-05,-4.13E-05,-3.91E-05,-3.71E-05,-3.52E-05,-3.34E-05,-3.16E-05,-3.00E-05,-2.84E-05,-2.70E-05,-2.56E-05,-2.42E-05,-2.30E-05,-2.18E-05,-2.07E-05,-1.96E-05,-1.86E-05,-1.76E-05,-1.67E-05
IRF,Taylor,US_ACELswt,Monetary Policy Shock,Output,0,0.000169173,-0.019130136,-0.011250744,-0.006068483,-0.002729071,-0.000644794,0.000593281,0.001274318,0.001599375,0.001705622,0.001684603,0.001595794,0.001476537,0.001349215,0.001226345,0.001114135,0.001014921,0.000928798,0.000854679,0.000790958,0.000735912,0.000687917,0.000645555,0.000607651,0.000573271,0.000541691,0.000512371,0.000484915,0.00045904,0.000434545,0.000411293,0.000389186,0.000368156,0.000348154,0.00032914,0.000311079,0.00029394,0.000277691,0.000262301,0.000247738,0.000233967,0.000220953,0.000208663,0.000197061,0.000186113,0.000175783,0.00016604,0.00015685,0.000148182,0.000140008,0.000132298,0.000125025,0.000118165,0.000111693,0.000105586,9.98E-05,9.44E-05,8.92E-05,8.44E-05,7.98E-05,7.55E-05,7.14E-05,6.76E-05,6.39E-05,6.05E-05,5.72E-05,5.41E-05,5.12E-05,4.85E-05,4.59E-05,4.34E-05,4.11E-05,3.89E-05,3.68E-05,3.49E-05,3.30E-05,3.13E-05,2.96E-05,2.80E-05,2.65E-05,2.51E-05,2.38E-05,2.25E-05,2.13E-05,2.02E-05,1.91E-05,1.81E-05,1.72E-05,1.63E-05,1.54E-05,1.46E-05,1.38E-05,1.31E-05,1.24E-05,1.18E-05,1.11E-05,1.05E-05,9.99E-06,9.46E-06
IRF,Taylor,US_ACELswt,Monetary Policy Shock,Output Gap,0,0.000169173,-0.019130136,-0.011250744,-0.006068483,-0.002729071,-0.000644794,0.000593281,0.001274318,0.001599375,0.001705622,0.001684603,0.001595794,0.001476537,0.001349215,0.001226345,0.001114135,0.001014921,0.000928798,0.000854679,0.000790958,0.000735912,0.000687917,0.000645555,0.000607651,0.000573271,0.000541691,0.000512371,0.000484915,0.00045904,0.000434545,0.000411293,0.000389186,0.000368156,0.000348154,0.00032914,0.000311079,0.00029394,0.000277691,0.000262301,0.000247738,0.000233967,0.000220953,0.000208663,0.000197061,0.000186113,0.000175783,0.00016604,0.00015685,0.000148182,0.000140008,0.000132298,0.000125025,0.000118165,0.000111693,0.000105586,9.98E-05,9.44E-05,8.92E-05,8.44E-05,7.98E-05,7.55E-05,7.14E-05,6.76E-05,6.39E-05,6.05E-05,5.72E-05,5.41E-05,5.12E-05,4.85E-05,4.59E-05,4.34E-05,4.11E-05,3.89E-05,3.68E-05,3.49E-05,3.30E-05,3.13E-05,2.96E-05,2.80E-05,2.65E-05,2.51E-05,2.38E-05,2.25E-05,2.13E-05,2.02E-05,1.91E-05,1.81E-05,1.72E-05,1.63E-05,1.54E-05,1.46E-05,1.38E-05,1.31E-05,1.24E-05,1.18E-05,1.11E-05,1.05E-05,9.99E-06,9.46E-06
IRF,Taylor,US_ACELswt,Monetary Policy Shock,inflationq,0,-0.001383624,-0.002819498,-0.003345689,-0.003356933,-0.003103852,-0.002740509,-0.002356893,-0.002001237,-0.001695503,-0.001445894,-0.001249828,-0.001100399,-0.000989132,-0.000907574,-0.000848134,-0.000804438,-0.000771408,-0.000745175,-0.000722916,-0.000702667,-0.000683139,-0.000663549,-0.000643485,-0.000622787,-0.000601464,-0.000579627,-0.000557438,-0.000535081,-0.000512741,-0.000490586,-0.000468765,-0.000447399,-0.000426589,-0.000406408,-0.000386911,-0.000368135,-0.000350099,-0.000332812,-0.000316274,-0.000300474,-0.000285398,-0.000271026,-0.000257337,-0.000244306,-0.000231908,-0.000220117,-0.000208907,-0.000198253,-0.000188128,-0.00017851,-0.000169373,-0.000160695,-0.000152454,-0.000144629,-0.000137199,-0.000130145,-0.000123449,-0.000117093,-0.00011106,-0.000105334,-9.99E-05,-9.47E-05,-8.98E-05,-8.52E-05,-8.08E-05,-7.66E-05,-7.27E-05,-6.89E-05,-6.53E-05,-6.19E-05,-5.87E-05,-5.57E-05,-5.28E-05,-5.01E-05,-4.75E-05,-4.50E-05,-4.27E-05,-4.04E-05,-3.83E-05,-3.63E-05,-3.44E-05,-3.27E-05,-3.10E-05,-2.93E-05,-2.78E-05,-2.64E-05,-2.50E-05,-2.37E-05,-2.25E-05,-2.13E-05,-2.02E-05,-1.91E-05,-1.81E-05,-1.72E-05,-1.63E-05,-1.54E-05,-1.46E-05,-1.39E-05,-1.31E-05
