resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,growth,G2_SIGMA08pitarg,Inflation Target shock,Inflation,0,-0.309971169,-0.869577177,-1.598289546,-2.421082949,-2.970932934,-3.272045101,-3.387192089,-3.386994973,-3.332002903,-3.265079311,-3.210638209,-3.177798531,-3.165197364,-3.165884075,-3.17134178,-3.174211066,-3.169691596,-3.155854915,-3.133222448,-3.103972312,-3.071074475,-3.037554909,-3.005987908,-2.978232959,-2.955378033,-2.93782519,-2.925451257,-2.917787706,-2.914181936,-2.913920467,-2.916309459,-2.920717758,-2.926592448,-2.933457728,-2.940906254,-2.94858928,-2.956209,-2.963514159,-2.970298419,-2.976400247,-2.981702966,-2.986133911,-2.989662088,-2.99229421,-2.994069332,-2.995052556,-2.995328334,-2.994993866,-2.994153008,-2.99291096,-2.991369871,-2.98962542,-2.987764318,-2.98586264,-2.9839849,-2.98218372,-2.9805,-2.978963475,-2.977593572,-2.976400477,-2.975386352,-2.974546619,-2.973871276,-2.973346182,-2.972954274,-2.972676685,-2.972493741,-2.972385813,-2.972334029,-2.972320824,-2.972330361,-2.972348802,-2.972364468,-2.972367885,-2.972351741,-2.972310775,-2.972241603,-2.972142509,-2.972013214,-2.971854622,-2.97166858,-2.971457634,-2.971224808,-2.970973402,-2.970706818,-2.970428409,-2.970141359,-2.96984859,-2.969552696,-2.969255899,-2.96896003,-2.968666526,-2.968376443,-2.968090481,-2.967809019,-2.967532159,-2.967259763,-2.966991507,-2.966726919
IRF,growth,G2_SIGMA08pitarg,Inflation Target shock,Interest,0,0.12295096,-0.07037997,-0.521700494,-1.174040418,-1.722731184,-2.15187324,-2.460325079,-2.661650266,-2.778723553,-2.837863338,-2.863370884,-2.874047808,-2.881961042,-2.89298102,-2.908339359,-2.926495954,-2.944808797,-2.96074017,-2.972536126,-2.979451132,-2.981654842,-2.97996805,-2.975550614,-2.969624589,-2.963275454,-2.957341588,-2.952380595,-2.948690435,-2.946361324,-2.945337876,-2.945477147,-2.946594707,-2.948496264,-2.950996095,-2.95392542,-2.957134403,-2.960490991,-2.963878919,-2.967196183,-2.970354455,-2.973279346,-2.975911098,-2.978205253,-2.980132926,-2.981680434,-2.982848257,-2.983649381,-2.984107208,-2.984253214,-2.984124568,-2.983761851,-2.983207009,-2.982501607,-2.981685402,-2.980795252,-2.979864326,-2.978921597,-2.977991568,-2.977094203,-2.97624502,-2.975455321,-2.974732527,-2.974080575,-2.973500385,-2.972990335,-2.972546751,-2.97216439,-2.971836885,-2.971557165,-2.971317823,-2.971111428,-2.970930794,-2.970769184,-2.970620466,-2.970479219,-2.970340796,-2.970201342,-2.970057792,-2.969907823,-2.969749809,-2.969582737,-2.969406134,-2.969219975,-2.969024599,-2.968820622,-2.968608858,-2.968390245,-2.968165786,-2.967936488,-2.967703324,-2.967467194,-2.967228902,-2.966989138,-2.966748468,-2.966507336,-2.966266061,-2.96602485,-2.965783803,-2.965542935
IRF,growth,G2_SIGMA08pitarg,Inflation Target shock,Output,0,-1.086478816,-1.715242772,-2.015388999,-2.098256587,-2.05104248,-1.931460264,-1.776069284,-1.60657612,-1.434510112,-1.264849973,-1.098950883,-0.936803462,-0.778552967,-0.625266166,-0.479052241,-0.342738711,-0.219335597,-0.111492229,-0.021084784,0.051003108,0.104908103,0.141665545,0.162997872,0.171070604,0.168260455,0.156962993,0.139451204,0.117784291,0.093758743,0.068890811,0.04441969,0.021322703,0.000336387,-0.018020149,-0.033421336,-0.045711279,-0.054879923,-0.061039166,-0.064398975,-0.065243823,-0.063909963,-0.060764145,-0.056184401,-0.050543387,-0.044194643,-0.037461902,-0.030631422,-0.023947161,-0.017608493,-0.011770097,-0.006543627,-0.002000754,0.001822784,0.004922477,0.00731998,0.009057947,0.010194964,0.010800769,0.010951867,0.010727636,0.010206993,0.009465633,0.008573857,0.007594958,0.006584146,0.005587943,0.004644,0.003781276,0.003020497,0.002374841,0.001850784,0.001449037,0.001165544,0.000992471,0.000919168,0.000933066,0.001020485,0.001167345,0.001359766,0.001584553,0.001829575,0.002084035,0.002338638,0.002585686,0.00281908,0.003034278,0.003228187,0.003399032,0.00354619,0.003670011,0.003771639,0.003852829,0.003915773,0.003962941,0.003996944,0.004020404,0.004035861,0.004045683,0.004052016
IRF,growth,G2_SIGMA08pitarg,Inflation Target shock,Output Gap,0,-1.086478816,-1.691713985,-1.955855525,-1.997971627,-1.910087153,-1.7526778,-1.563840901,-1.366138993,-1.171566113,-0.985306333,-0.808714665,-0.641602214,-0.483777486,-0.335838354,-0.19932081,-0.076403645,0.03059905,0.119753734,0.189893962,0.240815859,0.273284834,0.288896817,0.289854154,0.278714126,0.258154556,0.230783411,0.199002953,0.164926808,0.130341054,0.096697582,0.065128366,0.036471375,0.011301662,-0.010036233,-0.027396475,-0.040801317,-0.050411727,-0.05649912,-0.059418227,-0.059581323,-0.057434239,-0.05343466,-0.048033199,-0.041657633,-0.034700501,-0.027510098,-0.020384708,-0.013569791,-0.007257732,-0.001589703,0.003340817,0.007483313,0.010824703,0.013383371,0.015203062,0.016346908,0.016891766,0.016923039,0.016530065,0.015802167,0.014825371,0.013679819,0.012437833,0.01116261,0.00990747,0.008715602,0.007620231,0.006645123,0.005805353,0.005108262,0.004554541,0.004139367,0.003853549,0.00368464,0.003617971,0.003637594,0.003727101,0.003870328,0.004051913,0.004257739,0.004475247,0.004693638,0.004903972,0.005099184,0.005274022,0.00542493,0.005549889,0.005648227,0.005720409,0.005767824,0.005792573,0.005797268,0.005784844,0.005758394,0.005721023,0.005675735,0.005625332,0.005572345,0.005518989
IRF,growth,G2_SIGMA08pitarg,Inflation Target shock,inflationq,0,-1.239884674,-2.238424033,-2.914849478,-3.291173611,-3.439284615,-3.442872701,-3.375437429,-3.290385147,-3.219316334,-3.175178334,-3.157673021,-3.159026433,-3.168911669,-3.177925176,-3.179503841,-3.170503577,-3.150833789,-3.122578452,-3.088973974,-3.053503032,-3.019242442,-2.988500187,-2.962705971,-2.942483239,-2.927822735,-2.918288817,-2.913210236,-2.911829034,-2.913399655,-2.917242942,-2.922766205,-2.929462231,-2.936898416,-2.944704061,-2.952560311,-2.960194333,-2.967377296,-2.973924697,-2.979697351,-2.984601645,-2.988588171,-2.991648476,-2.993810063,-2.995130132,-2.995688658,-2.995581373,-2.994913174,-2.99379226,-2.992325227,-2.990613178,-2.988748818,-2.986814459,-2.984880816,-2.983006467,-2.981237859,-2.979609739,-2.978145935,-2.976860367,-2.975758245,-2.974837361,-2.974089433,-2.973501435,-2.973056874,-2.972736986,-2.9725218,-2.972391079,-2.972325097,-2.972305276,-2.972314662,-2.97233826,-2.972363244,-2.972379042,-2.972377327,-2.972351927,-2.972298669,-2.972215176,-2.972100637,-2.971955554,-2.971781488,-2.971580811,-2.971356469,-2.971111768,-2.970850181,-2.970575187,-2.970290133,-2.969998132,-2.969701982,-2.969404112,-2.969106557,-2.968810945,-2.968518507,-2.968230096,-2.967946224,-2.967667096,-2.967392661,-2.967122653,-2.966856641,-2.966594071,-2.966334313
IRF,growth,G3_CW03pitarg,Inflation Target shock,Inflation,0,-0.001298236,-0.003414056,-0.006319597,-0.010108973,-0.013345283,-0.016444106,-0.019361299,-0.021913333,-0.024155962,-0.026075055,-0.027668636,-0.028959956,-0.029974035,-0.030740616,-0.031292488,-0.031662348,-0.031881639,-0.031979579,-0.031982481,-0.031913465,-0.031792398,-0.031635988,-0.031457992,-0.031269494,-0.031079197,-0.030893738,-0.03071798,-0.030555298,-0.030407829,-0.030276711,-0.030162282,-0.030064261,-0.029981907,-0.029914147,-0.029859688,-0.029817112,-0.029784948,-0.029761732,-0.029746053,-0.029736582,-0.029732102,-0.029731516,-0.029733854,-0.02973828,-0.029744082,-0.02975067,-0.029757564,-0.029764386,-0.029770848,-0.029776737,-0.029781912,-0.029786282,-0.029789807,-0.029792479,-0.029794322,-0.029795377,-0.029795703,-0.029795367,-0.029794442,-0.029793002,-0.029791119,-0.029788863,-0.029786301,-0.029783491,-0.029780487,-0.029777336,-0.029774079,-0.029770751,-0.029767379,-0.029763987,-0.029760594,-0.029757214,-0.029753857,-0.02975053,-0.029747237,-0.029743982,-0.029740764,-0.029737584,-0.029734438,-0.029731324,-0.029728241,-0.029725183,-0.029722149,-0.029719134,-0.029716136,-0.029713152,-0.029710179,-0.029707214,-0.029704256,-0.029701302,-0.029698352,-0.029695403,-0.029692456,-0.029689508,-0.02968656,-0.02968361,-0.02968066,-0.029677708,-0.029674754
IRF,growth,G3_CW03pitarg,Inflation Target shock,Interest,0,0.003052284,0.004124887,0.003368292,0.000932993,-0.002257399,-0.005638402,-0.008926926,-0.011923679,-0.014578734,-0.016897718,-0.018913095,-0.02066924,-0.022208187,-0.023564054,-0.024762123,-0.025819696,-0.026748173,-0.02755535,-0.028247373,-0.02883018,-0.029310386,-0.029695664,-0.029994759,-0.030217252,-0.030373199,-0.030472736,-0.030525701,-0.030541337,-0.03052806,-0.030493324,-0.030443555,-0.030384147,-0.03031951,-0.030253146,-0.030187746,-0.030125293,-0.030067175,-0.030014279,-0.029967094,-0.029925786,-0.029890284,-0.02986033,-0.029835545,-0.029815462,-0.029799571,-0.029787339,-0.02977824,-0.029771766,-0.02976744,-0.029764826,-0.029763533,-0.029763214,-0.029763573,-0.029764358,-0.029765361,-0.029766414,-0.029767385,-0.029768175,-0.029768713,-0.02976895,-0.02976886,-0.029768432,-0.029767666,-0.029766575,-0.029765177,-0.029763496,-0.02976156,-0.029759396,-0.029757034,-0.029754503,-0.029751828,-0.029749036,-0.029746148,-0.029743186,-0.029740166,-0.029737106,-0.029734017,-0.029730911,-0.029727797,-0.029724681,-0.029721569,-0.029718464,-0.02971537,-0.029712288,-0.02970922,-0.029706165,-0.029703123,-0.029700094,-0.029697076,-0.029694069,-0.029691072,-0.029688083,-0.029685101,-0.029682125,-0.029679154,-0.029676187,-0.029673223,-0.029670262,-0.029667303
IRF,growth,G3_CW03pitarg,Inflation Target shock,Output,0,-0.001687019,-0.005069445,-0.008838195,-0.012409887,-0.01529632,-0.017284955,-0.018321294,-0.018476771,-0.017892239,-0.01674214,-0.015203856,-0.013439267,-0.011584212,-0.009744623,-0.007997084,-0.006392081,-0.004958543,-0.003708688,-0.002642564,-0.001751938,-0.001023412,-0.000440787,1.32551E-05,0.000356007,0.000604013,0.000772647,0.000875902,0.000926305,0.000934927,0.000911425,0.000864124,0.000800106,0.000725302,0.000644598,0.000561931,0.00048039,0.000402318,0.000329411,0.000262807,0.000203185,0.000150841,0.000105771,6.77355E-05,3.63254E-05,1.10123E-05,-8.80634E-06,-2.37702E-05,-3.45267E-05,-4.17084E-05,-4.59153E-05,-4.77035E-05,-4.75773E-05,-4.59848E-05,-4.33168E-05,-3.99075E-05,-3.60368E-05,-3.19343E-05,-2.77835E-05,-2.37269E-05,-1.98706E-05,-1.62897E-05,-1.30333E-05,-1.01285E-05,-7.58502E-06,-5.39897E-06,-3.55593E-06,-2.03402E-06,-8.06E-07,1.57E-07,8.88E-07,1.41776E-06,1.77642E-06,1.99298E-06,2.094E-06,2.10349E-06,2.04273E-06,1.93027E-06,1.78193E-06,1.61099E-06,1.42829E-06,1.24254E-06,1.06046E-06,8.87E-07,7.26E-07,5.80E-07,4.49E-07,3.35E-07,2.37E-07,1.55E-07,8.72E-08,3.30E-08,-9.19E-09,-4.08E-08,-6.33E-08,-7.81E-08,-8.65E-08,-8.97E-08,-8.89E-08,-8.49E-08
IRF,growth,G3_CW03pitarg,Inflation Target shock,Output Gap,0,-0.001687019,-0.005069445,-0.008838195,-0.012409887,-0.01529632,-0.017284955,-0.018321294,-0.018476771,-0.017892239,-0.01674214,-0.015203856,-0.013439267,-0.011584212,-0.009744623,-0.007997084,-0.006392081,-0.004958543,-0.003708688,-0.002642564,-0.001751938,-0.001023412,-0.000440787,1.32551E-05,0.000356007,0.000604013,0.000772647,0.000875902,0.000926305,0.000934927,0.000911425,0.000864124,0.000800106,0.000725302,0.000644598,0.000561931,0.00048039,0.000402318,0.000329411,0.000262807,0.000203185,0.000150841,0.000105771,6.77355E-05,3.63254E-05,1.10123E-05,-8.80634E-06,-2.37702E-05,-3.45267E-05,-4.17084E-05,-4.59153E-05,-4.77035E-05,-4.75773E-05,-4.59848E-05,-4.33168E-05,-3.99075E-05,-3.60368E-05,-3.19343E-05,-2.77835E-05,-2.37269E-05,-1.98706E-05,-1.62897E-05,-1.30333E-05,-1.01285E-05,-7.58502E-06,-5.39897E-06,-3.55593E-06,-2.03402E-06,-8.06E-07,1.57E-07,8.88E-07,1.41776E-06,1.77642E-06,1.99298E-06,2.094E-06,2.10349E-06,2.04273E-06,1.93027E-06,1.78193E-06,1.61099E-06,1.42829E-06,1.24254E-06,1.06046E-06,8.87E-07,7.26E-07,5.80E-07,4.49E-07,3.35E-07,2.37E-07,1.55E-07,8.72E-08,3.30E-08,-9.19E-09,-4.08E-08,-6.33E-08,-7.81E-08,-8.65E-08,-8.97E-08,-8.89E-08,-8.49E-08
IRF,growth,G3_CW03pitarg,Inflation Target shock,inflationq,0,-0.005192944,-0.008463279,-0.011622163,-0.015157506,-0.018138183,-0.020858572,-0.023290935,-0.025365643,-0.027108699,-0.028534944,-0.029665258,-0.030530922,-0.031165017,-0.031601267,-0.031872744,-0.032010363,-0.032042182,-0.031993027,-0.031884351,-0.031734301,-0.031557914,-0.031367384,-0.031172369,-0.030980307,-0.030796728,-0.030625547,-0.030469339,-0.030329577,-0.030206854,-0.030101075,-0.030011621,-0.029937495,-0.029877438,-0.029830033,-0.029793786,-0.029767191,-0.029748783,-0.02973717,-0.029731067,-0.02972931,-0.029730862,-0.029734823,-0.029740421,-0.029747013,-0.029754071,-0.029761174,-0.029767998,-0.029774302,-0.029779916,-0.029784734,-0.029788695,-0.029791784,-0.029794014,-0.029795423,-0.029796065,-0.029796006,-0.029795319,-0.02979408,-0.029792364,-0.029790244,-0.029787787,-0.029785059,-0.029782114,-0.029779004,-0.029775772,-0.029772455,-0.029769086,-0.029765689,-0.029762285,-0.029758889,-0.029755514,-0.029752168,-0.029748856,-0.029745581,-0.029742345,-0.029739147,-0.029735985,-0.029732858,-0.029729761,-0.029726693,-0.02972365,-0.029720628,-0.029717624,-0.029714635,-0.029711658,-0.029708691,-0.029705731,-0.029702776,-0.029699825,-0.029696877,-0.029693929,-0.029690982,-0.029688034,-0.029685086,-0.029682136,-0.029679185,-0.029676232,-0.029673278,-0.029670321
