resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,inertial,G2_SIGMA08pitarg,Inflation Target shock,Inflation,0,-0.250149154,-0.701824388,-1.290400794,-1.95616533,-2.404337946,-2.656389495,-2.764973587,-2.788579062,-2.776605449,-2.762976015,-2.765688176,-2.78978696,-2.83172497,-2.883685407,-2.937040987,-2.984617248,-3.021785449,-3.046623187,-3.059467794,-3.062180472,-3.057374253,-3.047769946,-3.035757161,-3.023168243,-3.011228468,-3.000625384,-2.99163882,-2.984283836,-2.978434955,-2.973916248,-2.970554794,-2.968203447,-2.966742667,-2.966071457,-2.96609553,-2.966717884,-2.967834164,-2.969332923,-2.971099538,-2.973022022,-2.974997014,-2.97693471,-2.978762035,-2.980423909,-2.981882837,-2.983117244,-2.984119078,-2.984891109,-2.985444289,-2.985795354,-2.985964813,-2.985975297,-2.985850278,-2.985613072,-2.985286093,-2.984890286,-2.984444727,-2.983966349,-2.983469778,-2.982967282,-2.982468794,-2.981982021,-2.981512612,-2.981064368,-2.980639483,-2.980238801,-2.979862069,-2.97950818,-2.979175407,-2.978861595,-2.978564342,-2.978281144,-2.978009513,-2.977747068,-2.977491604,-2.977241136,-2.97699393,-2.976748512,-2.976503666,-2.976258429,-2.976012064,-2.975764046,-2.975514029,-2.975261822,-2.975007358,-2.97475067,-2.974491863,-2.974231097,-2.97396856,-2.97370446,-2.973439004,-2.973172393,-2.97290481,-2.972636421,-2.972367363,-2.972097752,-2.971827675,-2.971557196,-2.971286358
IRF,inertial,G2_SIGMA08pitarg,Inflation Target shock,Interest,0,0.172039523,0.071844756,-0.248739102,-0.740630352,-1.266055522,-1.736518837,-2.109740033,-2.378402432,-2.556680843,-2.668240361,-2.737464908,-2.784279597,-2.822078822,-2.857874765,-2.893715423,-2.928561612,-2.960050058,-2.985822395,-3.00431461,-3.015052473,-3.018581499,-3.0161851,-3.009529162,-3.000333907,-2.990130421,-2.980120698,-2.9711323,-2.963643322,-2.957848581,-2.953740894,-2.951188244,-2.949995795,-2.94994887,-2.950838132,-2.952471059,-2.954674647,-2.957293809,-2.960188697,-2.963232783,-2.966312353,-2.969327252,-2.972192279,-2.974838573,-2.977214451,-2.979285392,-2.981033106,-2.982453812,-2.98355596,-2.984357675,-2.984884167,-2.985165308,-2.985233514,-2.98512197,-2.98486324,-2.984488216,-2.984025377,-2.9835003,-2.982935384,-2.982349739,-2.981759214,-2.981176513,-2.98061141,-2.980071002,-2.979560019,-2.979081143,-2.97863534,-2.978222192,-2.977840202,-2.977487082,-2.977160011,-2.976855853,-2.976571346,-2.976303247,-2.976048456,-2.975804093,-2.975567562,-2.975336585,-2.975109211,-2.974883821,-2.974659107,-2.974434055,-2.974207911,-2.97398015,-2.973750439,-2.973518603,-2.973284595,-2.97304846,-2.972810311,-2.972570303,-2.972328616,-2.972085436,-2.971840941,-2.971595295,-2.971348642,-2.971101097,-2.970852751,-2.970603666,-2.970353879,-2.970103406
IRF,inertial,G2_SIGMA08pitarg,Inflation Target shock,Output,0,-0.873236351,-1.37045421,-1.596345208,-1.642124994,-1.580511977,-1.463601442,-1.325096856,-1.184226373,-1.049959999,-0.924844974,-0.808125353,-0.698003348,-0.593037174,-0.492780678,-0.397847058,-0.309612322,-0.229763739,-0.159855433,-0.100974197,-0.053559584,-0.01737489,0.008404686,0.025033508,0.034012567,0.036918425,0.035266796,0.030420185,0.023538445,0.015564432,0.007234034,-0.000900027,-0.008439203,-0.015110776,-0.020743199,-0.025246059,-0.028594197,-0.030814894,-0.031976983,-0.032181029,-0.031550105,-0.030221077,-0.028336554,-0.026037768,-0.02345866,-0.020721323,-0.017932872,-0.015183652,-0.012546625,-0.010077722,-0.007816907,-0.005789737,-0.004009204,-0.002477719,-0.00118909,-0.000130426,0.000716101,0.001371665,0.001859403,0.002203222,0.002426823,0.002552922,0.002602658,0.002595176,0.00254736,0.002473713,0.002386334,0.002295,0.00220731,0.002128881,0.00206358,0.002013766,0.001980543,0.001964001,0.001963445,0.001977607,0.002004824,0.002043206,0.002090762,0.00214551,0.002205559,0.00226917,0.002334796,0.002401108,0.002467001,0.002531596,0.002594225,0.002654415,0.002711868,0.002766434,0.002818087,0.002866899,0.002913017,0.002956642,0.002998005,0.003037357,0.003074952,0.003111032,0.003145828,0.003179543
IRF,inertial,G2_SIGMA08pitarg,Inflation Target shock,Output Gap,0,-0.873236351,-1.351705926,-1.549179001,-1.563212305,-1.470448408,-1.325149375,-1.162086935,-1.0009427,-0.850816649,-0.714210865,-0.590213914,-0.476788104,-0.372180062,-0.275571302,-0.187154565,-0.107851763,-0.03887804,0.01868667,0.064216284,0.097704166,0.119779908,0.131611737,0.134741861,0.130900861,0.121837203,0.109184105,0.094372502,0.078588215,0.062764818,0.047600906,0.033590755,0.02105951,0.010196948,0.001086707,-0.006269902,-0.011934997,-0.016018977,-0.018667913,-0.02005253,-0.020358265,-0.019776226,-0.018495156,-0.016694602,-0.014539495,-0.012176259,-0.00973042,-0.00730563,-0.004983864,-0.002826563,-0.000876442,0.000840282,0.002311443,0.003536444,0.004523847,0.005289131,0.005852666,0.006237928,0.006469985,0.006574223,0.006575339,0.006496559,0.006359072,0.006181659,0.005980492,0.005769069,0.005558269,0.005356498,0.005169895,0.005002586,0.004856965,0.004733978,0.004633406,0.004554133,0.004494389,0.004451968,0.004424419,0.004409197,0.004403795,0.004405839,0.00441316,0.004423838,0.004436233,0.004448991,0.004461043,0.004471586,0.004480064,0.004486137,0.004489652,0.004490608,0.004489128,0.004485427,0.004479781,0.004472509,0.004463948,0.004454435,0.004444296,0.004433831,0.00442331,0.004412969
IRF,inertial,G2_SIGMA08pitarg,Inflation Target shock,inflationq,0,-1.000596617,-1.806700934,-2.354305626,-2.663058144,-2.793287078,-2.814907132,-2.788641993,-2.757480045,-2.745392626,-2.760389395,-2.79949064,-2.85387518,-2.913144668,-2.968231139,-3.012912961,-3.044180222,-3.061817475,-3.067582091,-3.064291388,-3.055030937,-3.042592596,-3.029164865,-3.016240246,-3.004675264,-2.994833498,-2.986752528,-2.980293991,-2.975255328,-2.971437975,-2.968677698,-2.966848174,-2.965849941,-2.965594853,-2.965992861,-2.966944465,-2.968339356,-2.970059975,-2.971987896,-2.974010925,-2.976029291,-2.977959945,-2.97973868,-2.981320223,-2.982676789,-2.983795657,-2.984676308,-2.985327556,-2.985764916,-2.986008374,-2.986080572,-2.98600539,-2.985806852,-2.985508296,-2.985131751,-2.984697473,-2.984223624,-2.983726061,-2.983218236,-2.982711191,-2.982213639,-2.981732108,-2.981271145,-2.980833556,-2.980420663,-2.980032569,-2.979668417,-2.979326625,-2.979005111,-2.978701476,-2.978413168,-2.978137614,-2.977872319,-2.977614951,-2.977363388,-2.977115756,-2.976870449,-2.976626128,-2.976381714,-2.976136374,-2.975889498,-2.975640669,-2.975389642,-2.975136308,-2.974880669,-2.974622813,-2.974362889,-2.974101082,-2.973837603,-2.973572668,-2.973306487,-2.973039258,-2.972771158,-2.972502339,-2.972232929,-2.971963028,-2.971692711,-2.97142203,-2.971151015,-2.970879677
IRF,inertial,G3_CW03pitarg,Inflation Target shock,Inflation,0,-0.001083529,-0.00284951,-0.005274357,-0.008436121,-0.011135093,-0.013717968,-0.016148958,-0.018277275,-0.020153227,-0.021769976,-0.023131526,-0.024263026,-0.025190532,-0.025942873,-0.026549793,-0.027039064,-0.027435446,-0.027760012,-0.028029874,-0.028258343,-0.028455336,-0.028627922,-0.02878092,-0.028917483,-0.029039614,-0.029148595,-0.029245312,-0.029330483,-0.029404811,-0.02946905,-0.029524037,-0.029570682,-0.029609935,-0.02964275,-0.029670052,-0.029692699,-0.029711465,-0.029727025,-0.029739952,-0.029750715,-0.029759696,-0.029767194,-0.029773443,-0.029778621,-0.029782869,-0.029786297,-0.029788992,-0.029791029,-0.029792473,-0.029793382,-0.029793812,-0.029793812,-0.029793433,-0.029792717,-0.029791708,-0.029790443,-0.029788957,-0.029787279,-0.029785437,-0.029783453,-0.029781347,-0.029779136,-0.029776833,-0.02977445,-0.029771998,-0.029769484,-0.029766917,-0.029764301,-0.029761643,-0.029758948,-0.029756219,-0.029753461,-0.029750677,-0.02974787,-0.029745043,-0.029742198,-0.029739338,-0.029736464,-0.029733578,-0.029730682,-0.029727777,-0.029724864,-0.029721944,-0.029719019,-0.029716088,-0.029713152,-0.029710213,-0.02970727,-0.029704324,-0.029701375,-0.029698424,-0.029695471,-0.029692517,-0.029689561,-0.029686603,-0.029683645,-0.029680685,-0.029677725,-0.029674764
IRF,inertial,G3_CW03pitarg,Inflation Target shock,Interest,0,0.003170123,0.004524325,0.004230337,0.002448723,-0.000194757,-0.003336625,-0.00668501,-0.009973994,-0.013041467,-0.015786282,-0.018157569,-0.020147917,-0.021778972,-0.023090616,-0.024132115,-0.024954896,-0.025607493,-0.026132411,-0.026564543,-0.026930827,-0.02725077,-0.027537503,-0.027799089,-0.028039872,-0.028261717,-0.028465051,-0.028649662,-0.028815266,-0.028961847,-0.029089827,-0.029200097,-0.029293959,-0.02937302,-0.029439061,-0.029493915,-0.029539357,-0.029577024,-0.029608362,-0.029634601,-0.02965675,-0.029675608,-0.029691793,-0.029705765,-0.029717866,-0.029728342,-0.029737378,-0.029745112,-0.029751659,-0.029757116,-0.029761576,-0.029765126,-0.029767854,-0.029769847,-0.029771187,-0.029771954,-0.029772224,-0.029772063,-0.029771533,-0.029770688,-0.029769572,-0.029768226,-0.029766683,-0.029764969,-0.029763106,-0.029761115,-0.02975901,-0.029756805,-0.02975451,-0.029752137,-0.029749693,-0.029747185,-0.029744623,-0.02974201,-0.029739354,-0.029736659,-0.02973393,-0.029731171,-0.029728387,-0.02972558,-0.029722753,-0.029719908,-0.029717049,-0.029714176,-0.029711292,-0.029708398,-0.029705496,-0.029702585,-0.029699668,-0.029696744,-0.029693816,-0.029690883,-0.029687946,-0.029685005,-0.029682061,-0.029679115,-0.029676166,-0.029673215,-0.029670263,-0.029667309
IRF,inertial,G3_CW03pitarg,Inflation Target shock,Output,0,-0.001388426,-0.004274608,-0.007474182,-0.010474881,-0.012833116,-0.014355553,-0.014995459,-0.014829071,-0.014004105,-0.012704533,-0.0111183,-0.009415856,-0.007736701,-0.006183495,-0.004821878,-0.003684316,-0.002776268,-0.002083334,-0.001578299,-0.00122738,-0.000995249,-0.000848703,-0.000759003,-0.00070307,-0.000663745,-0.000629406,-0.000593154,-0.000551811,-0.000504864,-0.000453508,-0.000399831,-0.000346183,-0.00029475,-0.000247279,-0.000204967,-0.000168446,-0.000137841,-0.000112876,-9.29929E-05,-7.74676E-05,-6.5512E-05,-5.63541E-05,-4.92947E-05,-4.37406E-05,-3.92189E-05,-3.53762E-05,-3.19669E-05,-2.88355E-05,-2.58967E-05,-2.31147E-05,-2.0486E-05,-1.8024E-05,-1.57479E-05,-1.36754E-05,-1.18179E-05,-1.01786E-05,-8.75242E-06,-7.5271E-06,-6.48501E-06,-5.60522E-06,-4.86539E-06,-4.24345E-06,-3.71882E-06,-3.27325E-06,-2.89123E-06,-2.5601E-06,-2.2699E-06,-2.01304E-06,-1.78393E-06,-1.57853E-06,-1.39395E-06,-1.22811E-06,-1.07942E-06,-9.47E-07,-8.28E-07,-7.24E-07,-6.32E-07,-5.51E-07,-4.81E-07,-4.19E-07,-3.66E-07,-3.19E-07,-2.79E-07,-2.43E-07,-2.13E-07,-1.86E-07,-1.62E-07,-1.41E-07,-1.23E-07,-1.06E-07,-9.19E-08,-7.92E-08,-6.79E-08,-5.78E-08,-4.90E-08,-4.12E-08,-3.43E-08,-2.82E-08,-2.29E-08
IRF,inertial,G3_CW03pitarg,Inflation Target shock,Output Gap,0,-0.001388426,-0.004274608,-0.007474182,-0.010474881,-0.012833116,-0.014355553,-0.014995459,-0.014829071,-0.014004105,-0.012704533,-0.0111183,-0.009415856,-0.007736701,-0.006183495,-0.004821878,-0.003684316,-0.002776268,-0.002083334,-0.001578299,-0.00122738,-0.000995249,-0.000848703,-0.000759003,-0.00070307,-0.000663745,-0.000629406,-0.000593154,-0.000551811,-0.000504864,-0.000453508,-0.000399831,-0.000346183,-0.00029475,-0.000247279,-0.000204967,-0.000168446,-0.000137841,-0.000112876,-9.29929E-05,-7.74676E-05,-6.5512E-05,-5.63541E-05,-4.92947E-05,-4.37406E-05,-3.92189E-05,-3.53762E-05,-3.19669E-05,-2.88355E-05,-2.58967E-05,-2.31147E-05,-2.0486E-05,-1.8024E-05,-1.57479E-05,-1.36754E-05,-1.18179E-05,-1.01786E-05,-8.75242E-06,-7.5271E-06,-6.48501E-06,-5.60522E-06,-4.86539E-06,-4.24345E-06,-3.71882E-06,-3.27325E-06,-2.89123E-06,-2.5601E-06,-2.2699E-06,-2.01304E-06,-1.78393E-06,-1.57853E-06,-1.39395E-06,-1.22811E-06,-1.07942E-06,-9.47E-07,-8.28E-07,-7.24E-07,-6.32E-07,-5.51E-07,-4.81E-07,-4.19E-07,-3.66E-07,-3.19E-07,-2.79E-07,-2.43E-07,-2.13E-07,-1.86E-07,-1.62E-07,-1.41E-07,-1.23E-07,-1.06E-07,-9.19E-08,-7.92E-08,-6.79E-08,-5.78E-08,-4.90E-08,-4.12E-08,-3.43E-08,-2.82E-08,-2.29E-08
IRF,inertial,G3_CW03pitarg,Inflation Target shock,inflationq,0,-0.004334115,-0.007063926,-0.009699387,-0.012647054,-0.015130006,-0.017395425,-0.019423347,-0.021160324,-0.022633812,-0.023862421,-0.024869549,-0.025686324,-0.026343835,-0.026871783,-0.027297231,-0.027643407,-0.027929361,-0.028170048,-0.02837668,-0.028557283,-0.028717334,-0.028860391,-0.028988671,-0.029103535,-0.02920586,-0.029296315,-0.029375536,-0.029444222,-0.029503169,-0.029553271,-0.029595488,-0.029630801,-0.029660179,-0.029684533,-0.029704693,-0.029721389,-0.029735244,-0.029746775,-0.029756398,-0.029764444,-0.029771168,-0.029776767,-0.029781391,-0.029785158,-0.029788161,-0.029790476,-0.029792171,-0.029793306,-0.029793936,-0.029794114,-0.02979389,-0.029793309,-0.029792417,-0.029791253,-0.029789853,-0.02978825,-0.029786472,-0.029784543,-0.029782485,-0.029780315,-0.029778048,-0.029775697,-0.029773273,-0.029770784,-0.029768238,-0.029765642,-0.029763002,-0.029760322,-0.029757607,-0.029754861,-0.029752087,-0.029749289,-0.02974647,-0.029743633,-0.029740779,-0.02973791,-0.029735029,-0.029732137,-0.029729236,-0.029726326,-0.029723409,-0.029720486,-0.029717557,-0.029714623,-0.029711685,-0.029708744,-0.029705799,-0.029702851,-0.029699901,-0.029696949,-0.029693995,-0.02969104,-0.029688083,-0.029685125,-0.029682166,-0.029679206,-0.029676245,-0.029673284,-0.029670322
