resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,growth,NK_AFL15pitarg,Inflation Target shock,Inflation,0,-0.389311851,-0.748922191,-1.083464936,-1.404074636,-1.330204372,-1.282924338,-1.258347107,-1.246013079,-1.237736198,-1.231793874,-1.227637424,-1.224731198,-1.222602092,-1.220993539,-1.219764256,-1.218816798,-1.218076822,-1.217490311,-1.217018524,-1.216632997,-1.216312392,-1.216040669,-1.215805792,-1.215598713,-1.215412613,-1.21524235,-1.215084043,-1.214934765,-1.214792306,-1.214654998,-1.214521582,-1.214391108,-1.214262856,-1.214136287,-1.21401099,-1.213886658,-1.213763056,-1.213640008,-1.213517382,-1.213395078,-1.213273019,-1.213151149,-1.213029424,-1.212907811,-1.212786287,-1.212664832,-1.212543432,-1.212422077,-1.212300759,-1.212179472,-1.212058211,-1.211936972,-1.211815754,-1.211694553,-1.21157337,-1.211452202,-1.211331049,-1.21120991,-1.211088784,-1.210967672,-1.210846572,-1.210725486,-1.210604412,-1.21048335,-1.210362301,-1.210241264,-1.210120239,-1.209999227,-1.209878227,-1.209757239,-1.209636263,-1.209515299,-1.209394348,-1.209273408,-1.209152481,-1.209031565,-1.208910662,-1.208789771,-1.208668892,-1.208548025,-1.20842717,-1.208306328,-1.208185497,-1.208064679,-1.207943872,-1.207823078,-1.207702295,-1.207581525,-1.207460767,-1.207340021,-1.207219287,-1.207098565,-1.206977855,-1.206857157,-1.206736472,-1.206615798,-1.206495136,-1.206374487,-1.206253849
IRF,growth,NK_AFL15pitarg,Inflation Target shock,Interest,0,0.216860454,0.25201841,0.16493441,-0.010717487,-0.098374975,-0.151171455,-0.191514309,-0.225442522,-0.25089989,-0.269597984,-0.283570495,-0.294179206,-0.3022017,-0.308241177,-0.31278583,-0.316208979,-0.318786224,-0.320724024,-0.322178841,-0.323269159,-0.324084354,-0.32469183,-0.325142468,-0.325474697,-0.325717531,-0.325892871,-0.326017256,-0.32610317,-0.326160039,-0.326194979,-0.326213365,-0.326219253,-0.326215705,-0.326205035,-0.326188988,-0.326168882,-0.326145712,-0.32612023,-0.326093003,-0.326064459,-0.326034923,-0.326004637,-0.325973786,-0.32594251,-0.325910913,-0.325879075,-0.325847055,-0.3258149,-0.325782643,-0.325750309,-0.325717919,-0.325685486,-0.325653023,-0.325620537,-0.325588035,-0.325555522,-0.325523001,-0.325490474,-0.325457945,-0.325425413,-0.325392882,-0.325360351,-0.325327821,-0.325295293,-0.325262768,-0.325230244,-0.325197723,-0.325165205,-0.325132689,-0.325100177,-0.325067668,-0.325035161,-0.325002658,-0.324970158,-0.324937662,-0.324905168,-0.324872678,-0.32484019,-0.324807706,-0.324775226,-0.324742748,-0.324710274,-0.324677803,-0.324645335,-0.324612871,-0.324580409,-0.324547951,-0.324515497,-0.324483045,-0.324450597,-0.324418152,-0.32438571,-0.324353271,-0.324320836,-0.324288404,-0.324255975,-0.324223549,-0.324191127,-0.324158708
IRF,growth,NK_AFL15pitarg,Inflation Target shock,Output,0,-0.097180816,-0.037948866,0.058359598,0.137777457,0.171937241,0.193202064,0.210114726,0.22346174,0.233001007,0.239898078,0.245049587,0.248943007,0.251866943,0.254057138,0.255700046,0.256933398,0.257857895,0.258549147,0.259064444,0.25944704,0.259729492,0.259936346,0.260086128,0.260192826,0.260266998,0.260316616,0.260347695,0.260364779,0.260371297,0.260369839,0.260362359,0.260350333,0.260334876,0.260316828,0.260296826,0.260275349,0.260252759,0.260229328,0.260205265,0.260180723,0.260155822,0.26013065,0.260105273,0.260079743,0.260054098,0.260028367,0.260002571,0.259976727,0.259950847,0.259924941,0.259899016,0.259873076,0.259847127,0.259821172,0.259795211,0.259769248,0.259743284,0.259717319,0.259691354,0.259665391,0.259639428,0.259613467,0.259587508,0.259561551,0.259535596,0.259509644,0.259483694,0.259457746,0.2594318,0.259405857,0.259379917,0.259353979,0.259328044,0.259302111,0.259276181,0.259250254,0.259224329,0.259198406,0.259172487,0.259146569,0.259120655,0.259094743,0.259068833,0.259042926,0.259017022,0.25899112,0.258965221,0.258939325,0.258913431,0.258887539,0.258861651,0.258835764,0.258809881,0.258784,0.258758121,0.258732246,0.258706372,0.258680502,0.258654634
IRF,growth,NK_AFL15pitarg,Inflation Target shock,Output Gap,0,-0.097180816,-0.037948866,0.058359598,0.137777457,0.171937241,0.193202064,0.210114726,0.22346174,0.233001007,0.239898078,0.245049587,0.248943007,0.251866943,0.254057138,0.255700046,0.256933398,0.257857895,0.258549147,0.259064444,0.25944704,0.259729492,0.259936346,0.260086128,0.260192825,0.260266998,0.260316616,0.260347695,0.260364779,0.260371297,0.260369839,0.260362359,0.260350333,0.260334876,0.260316828,0.260296826,0.260275349,0.260252759,0.260229328,0.260205265,0.260180723,0.260155822,0.26013065,0.260105273,0.260079743,0.260054098,0.260028367,0.260002571,0.259976727,0.259950847,0.259924941,0.259899016,0.259873076,0.259847127,0.259821172,0.259795211,0.259769248,0.259743284,0.259717319,0.259691354,0.259665391,0.259639428,0.259613467,0.259587508,0.259561551,0.259535596,0.259509644,0.259483693,0.259457746,0.2594318,0.259405857,0.259379917,0.259353979,0.259328044,0.259302111,0.259276181,0.259250254,0.259224329,0.259198406,0.259172486,0.259146569,0.259120655,0.259094743,0.259068833,0.259042926,0.259017022,0.25899112,0.258965221,0.258939325,0.258913431,0.258887539,0.258861651,0.258835764,0.258809881,0.258784,0.258758121,0.258732246,0.258706372,0.258680502,0.258654634
IRF,growth,NK_AFL15pitarg,Inflation Target shock,inflationq,0,-1.557247406,-1.438441358,-1.338170982,-1.282438796,-1.261766352,-1.249321221,-1.239862061,-1.233102682,-1.228658827,-1.225551925,-1.223236261,-1.221477779,-1.220142402,-1.219117713,-1.21831913,-1.217687947,-1.217182499,-1.216771669,-1.21643198,-1.216145841,-1.215900076,-1.215684778,-1.215492474,-1.215317524,-1.215155678,-1.215003726,-1.214859246,-1.214720412,-1.214585842,-1.214454494,-1.214325582,-1.214198513,-1.214072837,-1.213948216,-1.213824396,-1.213701182,-1.213578429,-1.213456027,-1.213333893,-1.213211964,-1.213090194,-1.212968545,-1.212846992,-1.212725514,-1.212604096,-1.212482725,-1.212361394,-1.212240095,-1.212118823,-1.211997576,-1.211876349,-1.211755141,-1.21163395,-1.211512775,-1.211391615,-1.211270469,-1.211149337,-1.211028218,-1.210907112,-1.21078602,-1.210664939,-1.210543872,-1.210422816,-1.210301773,-1.210180743,-1.210059724,-1.209938718,-1.209817724,-1.209696742,-1.209575772,-1.209454814,-1.209333869,-1.209212935,-1.209092014,-1.208971105,-1.208850208,-1.208729323,-1.20860845,-1.208487589,-1.20836674,-1.208245903,-1.208125079,-1.208004266,-1.207883466,-1.207762677,-1.207641901,-1.207521137,-1.207400385,-1.207279645,-1.207158917,-1.207038201,-1.206917497,-1.206796805,-1.206676126,-1.206555458,-1.206434803,-1.206314159,-1.206193528,-1.206072908
IRF,growth,NK_BGG99pitarg,Inflation Target shock,Inflation,0,1.01E-16,-1.911378612,-3.278069615,-4.361990278,-5.308496049,-4.266668489,-3.724934474,-3.439947207,-3.276983589,-3.181207905,-3.123324432,-3.086543206,-3.061332834,-3.042781998,-3.028318002,-3.016525622,-3.006592705,-2.998045192,-2.990595137,-2.984055547,-2.97829529,-2.973215821,-2.968738652,-2.964798381,-2.961338734,-2.958310294,-2.955669101,-2.95337576,-2.9513948,-2.949694205,-2.948245037,-2.947021116,-2.945998756,-2.945156522,-2.944475019,-2.943936702,-2.943525703,-2.943227675,-2.943029651,-2.942919919,-2.942887901,-2.942924051,-2.943019755,-2.943167252,-2.943359545,-2.943590337,-2.943853963,-2.944145329,-2.944459863,-2.944793461,-2.945142445,-2.945503524,-2.945873757,-2.946250517,-2.946631464,-2.947014518,-2.947397831,-2.947779767,-2.948158883,-2.948533906,-2.94890372,-2.949267349,-2.949623945,-2.949972771,-2.950313196,-2.950644681,-2.950966769,-2.951279078,-2.951581293,-2.95187316,-2.952154476,-2.952425091,-2.952684892,-2.952933809,-2.953171803,-2.953398868,-2.953615022,-2.953820308,-2.95401479,-2.954198549,-2.954371683,-2.954534305,-2.954686538,-2.954828517,-2.954960384,-2.955082291,-2.955194394,-2.955296855,-2.955389842,-2.955473523,-2.955548071,-2.95561366,-2.955670465,-2.955718664,-2.955758431,-2.955789943,-2.955813376,-2.955828903,-2.955836699
IRF,growth,NK_BGG99pitarg,Inflation Target shock,Interest,0,-0.491813778,-1.244140627,-2.1182164,-3.066114881,-3.215616671,-3.242333753,-3.244506871,-3.242190691,-3.221644225,-3.193226132,-3.163597315,-3.135432191,-3.109162486,-3.085002376,-3.06304581,-3.043255316,-3.025501475,-3.009626915,-2.995472291,-2.982884087,-2.971717408,-2.961837751,-2.953121578,-2.945456064,-2.938738458,-2.932875354,-2.927781934,-2.923381243,-2.91960349,-2.916385407,-2.91366966,-2.911404304,-2.909542291,-2.908041019,-2.906861923,-2.905970106,-2.905333996,-2.904925041,-2.904717431,-2.904687844,-2.904815211,-2.905080516,-2.905466595,-2.905957973,-2.9065407,-2.907202213,-2.907931205,-2.908717508,-2.909551984,-2.910426432,-2.911333497,-2.912266593,-2.913219827,-2.914187935,-2.915166222,-2.91615051,-2.917137083,-2.91812265,-2.919104297,-2.920079457,-2.921045869,-2.922001557,-2.922944792,-2.923874078,-2.924788121,-2.925685812,-2.926566207,-2.927428514,-2.928272071,-2.929096341,-2.92990089,-2.930685382,-2.931449568,-2.932193274,-2.932916396,-2.933618889,-2.934300763,-2.934962076,-2.935602927,-2.936223452,-2.93682382,-2.937404228,-2.937964898,-2.938506073,-2.939028014,-2.939530998,-2.940015315,-2.940481265,-2.940929158,-2.94135931,-2.941772044,-2.942167688,-2.942546569,-2.94290902,-2.943255373,-2.943585959,-2.943901112,-2.944201159,-2.944486429
IRF,growth,NK_BGG99pitarg,Inflation Target shock,Output,0,-6.934510222,-4.267806511,-2.646078629,-1.732749903,-1.336066338,-1.11127134,-0.971528111,-0.881293208,-0.822726065,-0.780892411,-0.747977896,-0.720238879,-0.695836283,-0.673692851,-0.653178839,-0.633932831,-0.615741664,-0.598467827,-0.582014854,-0.566310264,-0.551296236,-0.536924219,-0.523151944,-0.509941748,-0.497259588,-0.485074412,-0.473357735,-0.462083329,-0.451226977,-0.440766284,-0.430680503,-0.420950391,-0.411558076,-0.402486945,-0.393721531,-0.385247423,-0.377051176,-0.369120232,-0.361442847,-0.354008029,-0.346805471,-0.339825505,-0.333059042,-0.326497538,-0.320132939,-0.313957657,-0.307964522,-0.302146761,-0.296497963,-0.291012052,-0.285683268,-0.280506138,-0.275475462,-0.270586288,-0.2658339,-0.2612138,-0.256721694,-0.252353478,-0.248105227,-0.243973183,-0.239953745,-0.236043459,-0.23223901,-0.228537214,-0.224935009,-0.22142945,-0.218017702,-0.214697033,-0.21146481,-0.208318493,-0.205255631,-0.202273858,-0.199370887,-0.196544506,-0.19379258,-0.191113039,-0.188503882,-0.185963172,-0.18348903,-0.181079639,-0.178733234,-0.176448106,-0.174222597,-0.172055099,-0.169944051,-0.167887938,-0.165885288,-0.163934675,-0.162034709,-0.160184044,-0.15838137,-0.156625416,-0.154914943,-0.15324875,-0.151625668,-0.150044561,-0.148504323,-0.147003881,-0.145542187
IRF,growth,NK_BGG99pitarg,Inflation Target shock,Output Gap,0,-6.934510222,-4.267806511,-2.646078629,-1.732749903,-1.336066338,-1.11127134,-0.971528111,-0.881293208,-0.822726065,-0.780892411,-0.747977896,-0.720238879,-0.695836283,-0.673692851,-0.653178839,-0.633932831,-0.615741664,-0.598467827,-0.582014854,-0.566310264,-0.551296236,-0.536924219,-0.523151944,-0.509941748,-0.497259588,-0.485074412,-0.473357735,-0.462083329,-0.451226977,-0.440766284,-0.430680503,-0.420950391,-0.411558076,-0.402486945,-0.393721531,-0.385247423,-0.377051176,-0.369120232,-0.361442847,-0.354008029,-0.346805471,-0.339825505,-0.333059042,-0.326497538,-0.320132939,-0.313957657,-0.307964522,-0.302146761,-0.296497963,-0.291012052,-0.285683268,-0.280506138,-0.275475462,-0.270586288,-0.2658339,-0.2612138,-0.256721694,-0.252353478,-0.248105227,-0.243973183,-0.239953745,-0.236043459,-0.23223901,-0.228537214,-0.224935009,-0.22142945,-0.218017702,-0.214697033,-0.21146481,-0.208318493,-0.205255631,-0.202273858,-0.199370887,-0.196544506,-0.19379258,-0.191113039,-0.188503882,-0.185963172,-0.18348903,-0.181079639,-0.178733234,-0.176448106,-0.174222597,-0.172055099,-0.169944051,-0.167887938,-0.165885288,-0.163934675,-0.162034709,-0.160184044,-0.15838137,-0.156625416,-0.154914943,-0.15324875,-0.151625668,-0.150044561,-0.148504323,-0.147003881,-0.145542187
IRF,growth,NK_BGG99pitarg,Inflation Target shock,inflationq,0,2.89E-16,-7.64551445,-5.466764009,-4.335682652,-3.786023086,-3.478204208,-3.29982795,-3.195733584,-3.134168614,-3.095101469,-3.06829406,-3.048608679,-3.033327128,-3.020898125,-3.010438076,-3.00143916,-2.99359546,-2.986708072,-2.980637855,-2.9752808,-2.970554434,-2.966390195,-2.962729181,-2.959519712,-2.956715849,-2.954276432,-2.952164412,-2.950346347,-2.948792009,-2.947474054,-2.946367737,-2.945450664,-2.944702569,-2.944105118,-2.943641726,-2.943297396,-2.943058572,-2.942913005,-2.942849633,-2.942858468,-2.9429305,-2.943057602,-2.943232452,-2.943448453,-2.943699672,-2.943980771,-2.944286955,-2.94461392,-2.944957807,-2.945315161,-2.945682891,-2.946058237,-2.946438737,-2.946822201,-2.947206681,-2.947590452,-2.947971989,-2.948349947,-2.948723144,-2.949090544,-2.949451245,-2.949804464,-2.950149525,-2.95048585,-2.950812947,-2.951130404,-2.951437876,-2.951735085,-2.952021807,-2.952297869,-2.952563143,-2.952817542,-2.953061013,-2.953293537,-2.953515122,-2.953725801,-2.953925629,-2.954114681,-2.954293048,-2.954460837,-2.954618167,-2.954765169,-2.954901981,-2.955028752,-2.955145637,-2.955252795,-2.955350393,-2.955438598,-2.955517582,-2.955587519,-2.955648584,-2.955700954,-2.955744805,-2.955780312,-2.955807653,-2.955827003,-2.955838535,-2.955842422,-2.955838835
