resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,inertial,NK_AFL15pitarg,Inflation Target shock,Inflation,0,-0.392630751,-0.756888813,-1.098665591,-1.429845453,-1.366978063,-1.33327265,-1.322889163,-1.323644111,-1.326151096,-1.328090982,-1.329344708,-1.330164472,-1.330721171,-1.331101566,-1.331353338,-1.331508425,-1.331590722,-1.33161846,-1.331605428,-1.33156196,-1.331495776,-1.331412634,-1.331316834,-1.331211585,-1.331099285,-1.330981721,-1.330860232,-1.330735814,-1.330609213,-1.330480986,-1.330351546,-1.330221206,-1.330090196,-1.32995869,-1.329826816,-1.329694671,-1.329562327,-1.329429838,-1.329297244,-1.329164574,-1.329031853,-1.328899095,-1.328766313,-1.328633517,-1.328500715,-1.32836791,-1.328235107,-1.328102308,-1.327969517,-1.327836734,-1.327703961,-1.327571198,-1.327438447,-1.327305707,-1.32717298,-1.327040265,-1.326907563,-1.326774874,-1.326642197,-1.326509534,-1.326376883,-1.326244246,-1.326111622,-1.325979011,-1.325846413,-1.325713829,-1.325581257,-1.325448699,-1.325316154,-1.325183623,-1.325051105,-1.324918599,-1.324786108,-1.324653629,-1.324521164,-1.324388712,-1.324256273,-1.324123847,-1.323991435,-1.323859036,-1.32372665,-1.323594277,-1.323461918,-1.323329571,-1.323197238,-1.323064919,-1.322932612,-1.322800319,-1.322668039,-1.322535772,-1.322403519,-1.322271278,-1.322139051,-1.322006837,-1.321874636,-1.321742449,-1.321610275,-1.321478114,-1.321345966
IRF,inertial,NK_AFL15pitarg,Inflation Target shock,Interest,0,0.216858261,0.251706004,0.162811082,-0.017289618,-0.123965458,-0.18888788,-0.232128891,-0.263684981,-0.287410581,-0.305272211,-0.318653375,-0.328644708,-0.336094816,-0.341647272,-0.345783703,-0.348863231,-0.351153673,-0.352854907,-0.354116167,-0.355048894,-0.355736303,-0.356240532,-0.356607981,-0.356873297,-0.357062351,-0.35719446,-0.357284049,-0.357341889,-0.357376023,-0.357392456,-0.357395673,-0.357389022,-0.357375004,-0.357355485,-0.35733186,-0.35730517,-0.357276193,-0.357245507,-0.357213548,-0.357180638,-0.357147019,-0.357112872,-0.357078331,-0.357043497,-0.357008445,-0.356973232,-0.356937898,-0.356902476,-0.356866989,-0.356831454,-0.356795884,-0.356760288,-0.356724676,-0.35668905,-0.356653416,-0.356617777,-0.356582135,-0.356546492,-0.356510848,-0.356475205,-0.356439564,-0.356403924,-0.356368287,-0.356332653,-0.356297021,-0.356261393,-0.356225768,-0.356190146,-0.356154528,-0.356118913,-0.356083301,-0.356047693,-0.356012089,-0.355976488,-0.35594089,-0.355905296,-0.355869706,-0.355834119,-0.355798535,-0.355762955,-0.355727379,-0.355691806,-0.355656237,-0.355620672,-0.35558511,-0.355549551,-0.355513996,-0.355478445,-0.355442897,-0.355407353,-0.355371812,-0.355336275,-0.355300741,-0.355265211,-0.355229684,-0.355194161,-0.355158642,-0.355123126,-0.355087614
IRF,inertial,NK_AFL15pitarg,Inflation Target shock,Output,0,-0.087241662,-0.016535092,0.088849374,0.175252835,0.214148052,0.234007361,0.246763188,0.256325201,0.263677688,0.269257663,0.273439041,0.276554356,0.278871254,0.280593074,0.281871292,0.282818498,0.283518566,0.284034087,0.284411799,0.284686606,0.284884574,0.285025167,0.285122918,0.28518868,0.285230556,0.285254598,0.285265322,0.285266104,0.285259462,0.285247277,0.285230955,0.285211543,0.285189825,0.285166387,0.285141663,0.285115982,0.285089585,0.285062656,0.285035329,0.285007706,0.284979863,0.284951856,0.284923727,0.284895508,0.284867223,0.284838889,0.284810519,0.284782123,0.284753709,0.284725281,0.284696844,0.2846684,0.284639953,0.284611504,0.284583054,0.284554604,0.284526155,0.284497707,0.28446926,0.284440816,0.284412374,0.284383934,0.284355497,0.284327062,0.28429863,0.2842702,0.284241774,0.28421335,0.284184928,0.28415651,0.284128095,0.284099682,0.284071272,0.284042865,0.284014461,0.283986059,0.283957661,0.283929265,0.283900872,0.283872482,0.283844095,0.28381571,0.283787329,0.28375895,0.283730574,0.283702201,0.283673831,0.283645463,0.283617099,0.283588737,0.283560378,0.283532022,0.283503669,0.283475319,0.283446971,0.283418626,0.283390285,0.283361946,0.283333609
IRF,inertial,NK_AFL15pitarg,Inflation Target shock,Output Gap,0,-0.087241662,-0.016535092,0.088849374,0.175252835,0.214148052,0.234007361,0.246763188,0.256325201,0.263677688,0.269257663,0.273439041,0.276554356,0.278871254,0.280593074,0.281871292,0.282818498,0.283518566,0.284034087,0.284411799,0.284686606,0.284884574,0.285025167,0.285122918,0.28518868,0.285230556,0.285254598,0.285265322,0.285266104,0.285259462,0.285247277,0.285230955,0.285211543,0.285189825,0.285166387,0.285141663,0.285115982,0.285089585,0.285062656,0.285035329,0.285007706,0.284979863,0.284951856,0.284923727,0.284895508,0.284867223,0.284838889,0.284810519,0.284782123,0.284753709,0.284725281,0.284696844,0.2846684,0.284639953,0.284611504,0.284583054,0.284554604,0.284526155,0.284497707,0.28446926,0.284440816,0.284412374,0.284383934,0.284355497,0.284327062,0.28429863,0.2842702,0.284241774,0.28421335,0.284184929,0.28415651,0.284128095,0.284099682,0.284071272,0.284042865,0.284014461,0.283986059,0.283957661,0.283929265,0.283900872,0.283872482,0.283844095,0.28381571,0.283787329,0.28375895,0.283730574,0.283702201,0.283673831,0.283645463,0.283617099,0.283588737,0.283560378,0.283532022,0.283503669,0.283475319,0.283446971,0.283418626,0.283390285,0.283361946,0.283333609
IRF,inertial,NK_AFL15pitarg,Inflation Target shock,inflationq,0,-1.570523002,-1.457032249,-1.367107115,-1.324719448,-1.319053442,-1.322210594,-1.325573168,-1.327739241,-1.329081382,-1.329970136,-1.330588073,-1.331018298,-1.331308177,-1.331491714,-1.331595161,-1.331638648,-1.331637364,-1.331602667,-1.331543031,-1.331464778,-1.331372627,-1.331270101,-1.331159831,-1.331043783,-1.330923423,-1.330799848,-1.330673874,-1.330546112,-1.33041702,-1.330286937,-1.330156117,-1.330024751,-1.32989298,-1.329760911,-1.329628621,-1.329496171,-1.329363605,-1.329230954,-1.329098245,-1.328965494,-1.328832717,-1.328699922,-1.328567119,-1.328434312,-1.328301505,-1.328168703,-1.328035906,-1.327903118,-1.327770339,-1.327637571,-1.327504814,-1.327372068,-1.327239334,-1.327106613,-1.326973904,-1.326841209,-1.326708526,-1.326575856,-1.326443199,-1.326310555,-1.326177924,-1.326045306,-1.325912702,-1.325780111,-1.325647533,-1.325514968,-1.325382417,-1.325249879,-1.325117354,-1.324984842,-1.324852344,-1.324719858,-1.324587386,-1.324454928,-1.324322482,-1.32419005,-1.324057631,-1.323925225,-1.323792833,-1.323660453,-1.323528087,-1.323395735,-1.323263395,-1.323131069,-1.322998756,-1.322866456,-1.322734169,-1.322601896,-1.322469635,-1.322337388,-1.322205155,-1.322072934,-1.321940727,-1.321808533,-1.321676352,-1.321544184,-1.32141203,-1.321279889,-1.321147761
IRF,inertial,NK_BGG99pitarg,Inflation Target shock,Inflation,0,6.31E-17,-1.347382813,-2.30495327,-3.065802057,-3.744442868,-3.053687234,-2.748846277,-2.640889082,-2.615734819,-2.613110726,-2.61488863,-2.617071614,-2.619314212,-2.621780553,-2.624558769,-2.627651091,-2.631025208,-2.634641578,-2.638462503,-2.642454016,-2.646585798,-2.650830777,-2.655164764,-2.659566158,-2.664015691,-2.668496205,-2.67299245,-2.6774909,-2.681979589,-2.686447957,-2.690886716,-2.695287724,-2.699643871,-2.703948983,-2.70819772,-2.712385501,-2.716508422,-2.720563189,-2.724547058,-2.728457773,-2.732293519,-2.736052875,-2.739734769,-2.743338446,-2.746863427,-2.750309482,-2.753676601,-2.756964967,-2.760174936,-2.763307014,-2.76636184,-2.769340167,-2.772242849,-2.775070826,-2.777825113,-2.780506786,-2.783116976,-2.785656858,-2.788127644,-2.790530572,-2.792866907,-2.795137927,-2.797344925,-2.799489199,-2.801572053,-2.803594787,-2.805558702,-2.807465088,-2.809315232,-2.811110404,-2.812851867,-2.814540866,-2.816178632,-2.817766378,-2.819305301,-2.820796577,-2.822241365,-2.823640801,-2.824996003,-2.826308067,-2.827578068,-2.82880706,-2.829996076,-2.831146125,-2.832258198,-2.833333262,-2.834372264,-2.83537613,-2.836345764,-2.83728205,-2.83818585,-2.839058009,-2.83989935,-2.840710674,-2.841492767,-2.842246393,-2.842972299,-2.843671211,-2.844343841
IRF,inertial,NK_BGG99pitarg,Inflation Target shock,Interest,0,-0.245360166,-0.695118933,-1.242124934,-1.848002914,-2.508570125,-2.728719507,-2.774083096,-2.765070767,-2.746834612,-2.730189278,-2.716433115,-2.705072262,-2.695620172,-2.68777365,-2.681333644,-2.676146024,-2.672077616,-2.669008706,-2.666830797,-2.665445588,-2.664764134,-2.66470603,-2.66519864,-2.666176379,-2.667580055,-2.669356283,-2.671456936,-2.673838658,-2.676462419,-2.679293109,-2.682299172,-2.685452271,-2.688726985,-2.692100537,-2.695552539,-2.699064769,-2.702620967,-2.706206642,-2.709808908,-2.71341633,-2.71701878,-2.720607314,-2.724174056,-2.727712096,-2.731215391,-2.734678681,-2.738097416,-2.741467677,-2.744786119,-2.748049911,-2.75125668,-2.754404471,-2.757491697,-2.760517103,-2.763479731,-2.766378887,-2.769214113,-2.77198516,-2.774691964,-2.777334629,-2.779913399,-2.78242865,-2.784880869,-2.787270641,-2.789598635,-2.791865596,-2.79407233,-2.7962197,-2.798308611,-2.800340009,-2.802314871,-2.804234199,-2.806099015,-2.807910357,-2.809669273,-2.811376819,-2.813034053,-2.814642037,-2.816201827,-2.817714478,-2.819181037,-2.820602542,-2.821980023,-2.823314497,-2.824606971,-2.825858435,-2.827069869,-2.828242235,-2.829376479,-2.830473533,-2.831534312,-2.832559711,-2.833550613,-2.834507879,-2.835432356,-2.836324871,-2.837186235,-2.838017241,-2.838818666
IRF,inertial,NK_BGG99pitarg,Inflation Target shock,Output,0,-4.962881328,-3.046342026,-1.850826095,-1.132967624,-0.746015095,-0.615773905,-0.572009342,-0.551300945,-0.534648674,-0.518475455,-0.502664714,-0.487466212,-0.472987145,-0.459228846,-0.446153678,-0.433716202,-0.421872759,-0.410583294,-0.399811218,-0.389523003,-0.379687846,-0.370277404,-0.361265574,-0.352628296,-0.344343372,-0.336390312,-0.328750181,-0.32140547,-0.314339968,-0.307538658,-0.300987612,-0.294673901,-0.288585509,-0.282711258,-0.27704074,-0.27156425,-0.266272731,-0.261157722,-0.256211308,-0.251426074,-0.246795071,-0.242311775,-0.237970056,-0.233764144,-0.229688607,-0.225738318,-0.221908441,-0.218194402,-0.214591872,-0.211096751,-0.207705149,-0.204413374,-0.201217916,-0.198115434,-0.195102749,-0.192176825,-0.18933477,-0.186573817,-0.183891323,-0.181284757,-0.178751697,-0.176289819,-0.173896895,-0.171570785,-0.169309433,-0.167110864,-0.164973175,-0.162894535,-0.160873183,-0.158907417,-0.156995598,-0.155136146,-0.153327533,-0.151568284,-0.149856975,-0.148192227,-0.14657271,-0.144997133,-0.14346425,-0.141972853,-0.140521774,-0.139109878,-0.137736068,-0.136399281,-0.135098485,-0.133832679,-0.132600893,-0.131402186,-0.130235645,-0.129100383,-0.127995539,-0.126920278,-0.12587379,-0.124855285,-0.123863999,-0.122899188,-0.121960131,-0.121046126,-0.12015649
IRF,inertial,NK_BGG99pitarg,Inflation Target shock,Output Gap,0,-4.962881328,-3.046342026,-1.850826095,-1.132967624,-0.746015095,-0.615773905,-0.572009342,-0.551300945,-0.534648674,-0.518475455,-0.502664714,-0.487466212,-0.472987145,-0.459228846,-0.446153678,-0.433716202,-0.421872759,-0.410583294,-0.399811218,-0.389523003,-0.379687846,-0.370277404,-0.361265574,-0.352628296,-0.344343372,-0.336390312,-0.328750181,-0.32140547,-0.314339968,-0.307538658,-0.300987612,-0.294673901,-0.288585509,-0.282711258,-0.27704074,-0.27156425,-0.266272731,-0.261157722,-0.256211308,-0.251426074,-0.246795071,-0.242311775,-0.237970056,-0.233764144,-0.229688607,-0.225738318,-0.221908441,-0.218194402,-0.214591872,-0.211096751,-0.207705149,-0.204413374,-0.201217916,-0.198115434,-0.195102749,-0.192176825,-0.18933477,-0.186573817,-0.183891323,-0.181284757,-0.178751697,-0.176289819,-0.173896895,-0.171570785,-0.169309433,-0.167110864,-0.164973175,-0.162894535,-0.160873183,-0.158907417,-0.156995598,-0.155136146,-0.153327533,-0.151568284,-0.149856975,-0.148192227,-0.14657271,-0.144997133,-0.14346425,-0.141972853,-0.140521774,-0.139109878,-0.137736068,-0.136399281,-0.135098485,-0.133832679,-0.132600893,-0.131402186,-0.130235645,-0.129100383,-0.127995539,-0.126920278,-0.12587379,-0.124855285,-0.123863999,-0.122899188,-0.121960131,-0.121046126,-0.12015649
IRF,inertial,NK_BGG99pitarg,Inflation Target shock,inflationq,0,5.87E-16,-5.389531252,-3.83028183,-3.043395146,-2.714563246,-2.626508713,-2.610918002,-2.611566368,-2.613946194,-2.616012338,-2.61802962,-2.620298303,-2.622916588,-2.625877703,-2.62914248,-2.632667594,-2.636413056,-2.640343182,-2.644426179,-2.648633645,-2.652940184,-2.657323098,-2.661762129,-2.666239222,-2.670738316,-2.675245154,-2.679747108,-2.684233022,-2.688693071,-2.693118627,-2.697502144,-2.701837053,-2.706117662,-2.710339072,-2.714497093,-2.718588176,-2.722609346,-2.726558143,-2.730432568,-2.734231036,-2.73795233,-2.741595565,-2.745160147,-2.748645743,-2.752052254,-2.755379785,-2.758628621,-2.761799208,-2.764892131,-2.767908098,-2.770847924,-2.773712516,-2.776502859,-2.779220006,-2.78186507,-2.784439208,-2.78694362,-2.789379536,-2.791748211,-2.794050922,-2.796288958,-2.798463617,-2.800576203,-2.80262802,-2.804620372,-2.806554555,-2.80843186,-2.810253567,-2.812020944,-2.813735246,-2.815397711,-2.817009563,-2.818572008,-2.820086231,-2.821553402,-2.822974668,-2.824351157,-2.825683976,-2.82697421,-2.828222925,-2.829431162,-2.830599944,-2.831730271,-2.832823122,-2.833879453,-2.834900201,-2.83588628,-2.836838585,-2.837757989,-2.838645344,-2.839501484,-2.840327221,-2.841123349,-2.841890642,-2.842629855,-2.843341726,-2.844026971,-2.844686293,-2.845320374
