resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Model,NK_AFL15pitarg,Inflation Target shock,Inflation,0,-0.2520452983,-0.5274457666,-0.8194964761,-1.123414641,-1.18374329,-1.226738922,-1.257370501,-1.27918251,-1.294703311,-1.305736448,-1.313568429,-1.319116953,-1.323036637,-1.325794433,-1.327723431,-1.329061231,-1.32997732,-1.330592595,-1.330993297,-1.331240942,-1.331379413,-1.331440009,-1.331445061,-1.331410495,-1.331347672,-1.331264697,-1.33116735,-1.331059756,-1.330944856,-1.330824749,-1.33070093,-1.330574468,-1.330446124,-1.330316442,-1.330185809,-1.330054501,-1.329922716,-1.329790594,-1.329658236,-1.329525714,-1.329393077,-1.329260363,-1.329127598,-1.3289948,-1.328861982,-1.328729154,-1.328596323,-1.328463493,-1.328330668,-1.32819785,-1.328065041,-1.327932242,-1.327799454,-1.327666678,-1.327533914,-1.327401163,-1.327268424,-1.327135698,-1.327002986,-1.326870286,-1.326737599,-1.326604926,-1.326472265,-1.326339618,-1.326206984,-1.326074364,-1.325941756,-1.325809162,-1.325676581,-1.325544014,-1.325411459,-1.325278918,-1.32514639,-1.325013876,-1.324881374,-1.324748886,-1.324616411,-1.32448395,-1.324351501,-1.324219066,-1.324086644,-1.323954235,-1.32382184,-1.323689458,-1.323557089,-1.323424733,-1.323292391,-1.323160062,-1.323027746,-1.322895443,-1.322763153,-1.322630877,-1.322498614,-1.322366364,-1.322234127,-1.322101904,-1.321969694,-1.321837497,-1.321705313
IRF,Model,NK_AFL15pitarg,Inflation Target shock,Interest,0,0.1052782294,-0.02769226313,-0.1225330222,-0.1901749299,-0.2384152464,-0.2728159439,-0.2973445108,-0.3148310514,-0.3272943469,-0.3361744425,-0.3424985566,-0.346999429,-0.3501997404,-0.3524723315,-0.3540831586,-0.3552219345,-0.356023986,-0.356585845,-0.35697637,-0.3572446793,-0.3574258103,-0.3575447558,-0.3576193441,-0.3576622924,-0.357682672,-0.3576869539,-0.3576797539,-0.3576643647,-0.3576431349,-0.35761774,-0.3575893749,-0.3575588922,-0.3575269,-0.357493832,-0.3574599977,-0.3574256178,-0.3573908497,-0.3573558057,-0.3573205659,-0.3572851876,-0.3572497114,-0.3572141663,-0.3571785733,-0.357142947,-0.357107298,-0.3570716339,-0.35703596,-0.3570002801,-0.356964597,-0.3569289126,-0.3568932283,-0.3568575451,-0.3568218637,-0.3567861847,-0.3567505083,-0.3567148348,-0.3566791645,-0.3566434974,-0.3566078336,-0.3565721732,-0.3565365163,-0.3565008629,-0.3564652129,-0.3564295665,-0.3563939236,-0.3563582843,-0.3563226485,-0.3562870163,-0.3562513876,-0.3562157625,-0.3561801409,-0.3561445229,-0.3561089084,-0.3560732975,-0.3560376902,-0.3560020865,-0.3559664862,-0.3559308896,-0.3558952965,-0.355859707,-0.355824121,-0.3557885386,-0.3557529597,-0.3557173845,-0.3556818127,-0.3556462445,-0.3556106799,-0.3555751188,-0.3555395613,-0.3555040074,-0.355468457,-0.3554329101,-0.3553973668,-0.3553618271,-0.3553262909,-0.3552907583,-0.3552552292,-0.3552197037,-0.3551841817
IRF,Model,NK_AFL15pitarg,Inflation Target shock,Output,0,0.2351000389,0.2497210928,0.260142439,0.2675680339,0.2728566884,0.276621013,0.2792979973,0.2811993566,0.2825474448,0.2835008723,0.2841727797,0.2846438728,0.2849717212,0.2851973904,0.2853501737,0.2854509664,0.2855146739,0.2855519285,0.2855703143,0.2855752414,0.2855705689,0.2855590496,0.2855426471,0.2855227622,0.285500394,0.2854762552,0.2854508542,0.2854245537,0.2853976123,0.2853702147,0.2853424923,0.2853145392,0.2852864223,0.2852581894,0.2852298745,0.285201502,0.2851730891,0.2851446484,0.2851161885,0.2850877159,0.2850592349,0.2850307488,0.2850022599,0.2849737697,0.2849452795,0.2849167901,0.2848883021,0.2848598159,0.2848313318,0.28480285,0.2847743706,0.2847458939,0.2847174198,0.2846889484,0.2846604797,0.2846320139,0.2846035508,0.2845750905,0.2845466331,0.2845181784,0.2844897267,0.2844612777,0.2844328316,0.2844043883,0.2843759479,0.2843475103,0.2843190756,0.2842906437,0.2842622146,0.2842337884,0.284205365,0.2841769445,0.2841485268,0.2841201119,0.2840916999,0.2840632907,0.2840348844,0.2840064809,0.2839780803,0.2839496825,0.2839212875,0.2838928954,0.2838645061,0.2838361196,0.283807736,0.2837793552,0.2837509773,0.2837226022,0.2836942299,0.2836658605,0.2836374939,0.2836091302,0.2835807693,0.2835524112,0.283524056,0.2834957036,0.283467354,0.2834390072,0.2834106633
IRF,Model,NK_AFL15pitarg,Inflation Target shock,Output Gap,0,0.2351000389,0.2497210928,0.260142439,0.2675680339,0.2728566884,0.276621013,0.2792979973,0.2811993566,0.2825474448,0.2835008723,0.2841727797,0.2846438728,0.2849717212,0.2851973904,0.2853501737,0.2854509664,0.2855146739,0.2855519285,0.2855703143,0.2855752414,0.2855705689,0.2855590496,0.2855426471,0.2855227622,0.285500394,0.2854762552,0.2854508542,0.2854245537,0.2853976123,0.2853702147,0.2853424923,0.2853145392,0.2852864223,0.2852581894,0.2852298745,0.285201502,0.2851730891,0.2851446484,0.2851161885,0.2850877159,0.2850592349,0.2850307488,0.2850022599,0.2849737697,0.2849452795,0.2849167901,0.2848883021,0.2848598159,0.2848313318,0.28480285,0.2847743706,0.2847458939,0.2847174198,0.2846889484,0.2846604797,0.2846320139,0.2846035508,0.2845750905,0.2845466331,0.2845181784,0.2844897267,0.2844612777,0.2844328316,0.2844043883,0.2843759479,0.2843475103,0.2843190756,0.2842906437,0.2842622146,0.2842337884,0.284205365,0.2841769445,0.2841485268,0.2841201119,0.2840916999,0.2840632907,0.2840348844,0.2840064809,0.2839780803,0.2839496825,0.2839212875,0.2838928954,0.2838645061,0.2838361196,0.283807736,0.2837793552,0.2837509773,0.2837226022,0.2836942299,0.2836658605,0.2836374939,0.2836091302,0.2835807693,0.2835524112,0.283524056,0.2834957036,0.283467354,0.2834390072,0.2834106633
IRF,Model,NK_AFL15pitarg,Inflation Target shock,inflationq,0,-1.008181193,-1.101601873,-1.168202838,-1.215672661,-1.249495787,-1.2735844,-1.290729156,-1.302920696,-1.311578993,-1.317716946,-1.322057081,-1.325114793,-1.327257727,-1.328748131,-1.329773073,-1.330465995,-1.330922081,-1.331209232,-1.331375881,-1.331456576,-1.331475962,-1.331451619,-1.331396087,-1.331318311,-1.331224671,-1.331119719,-1.331006701,-1.330887935,-1.330765071,-1.330639288,-1.330511427,-1.330382087,-1.330251696,-1.330120559,-1.329988894,-1.329856856,-1.329724556,-1.329592072,-1.329459462,-1.329326765,-1.329194009,-1.329061217,-1.328928401,-1.328795572,-1.328662739,-1.328529905,-1.328397076,-1.328264253,-1.328131438,-1.327998633,-1.32786584,-1.327733057,-1.327600287,-1.327467529,-1.327334784,-1.327202052,-1.327069332,-1.326936626,-1.326803933,-1.326671253,-1.326538586,-1.326405932,-1.326273291,-1.326140664,-1.32600805,-1.325875449,-1.325742862,-1.325610288,-1.325477727,-1.325345179,-1.325212644,-1.325080123,-1.324947615,-1.32481512,-1.324682639,-1.32455017,-1.324417715,-1.324285274,-1.324152845,-1.32402043,-1.323888028,-1.323755639,-1.323623263,-1.323490901,-1.323358552,-1.323226216,-1.323093894,-1.322961584,-1.322829288,-1.322697005,-1.322564735,-1.322432479,-1.322300236,-1.322168006,-1.322035789,-1.321903585,-1.321771395,-1.321639218,-1.321507054
IRF,Model,NK_BGG99pitarg,Inflation Target shock,Inflation,0,8.086032119e-16,-12.03958041,-19.73024131,-25.01168086,-28.95986871,-20.13210617,-15.24803003,-12.55166691,-11.06899488,-10.25970904,-9.824072504,-9.595785586,-9.482565161,-9.433186414,-9.41920208,-9.424802572,-9.441191503,-9.463465709,-9.488884426,-9.515908989,-9.543669935,-9.571671184,-9.599625747,-9.627364393,-9.654784818,-9.68182328,-9.708438718,-9.734603815,-9.760299907,-9.785514063,-9.810237349,-9.834463788,-9.858189695,-9.881413235,-9.904134107,-9.926353317,-9.948072991,-9.969296219,-9.990026935,-10.0102698,-10.0300301,-10.04931368,-10.06812682,-10.08647624,-10.10436897,-10.12181231,-10.13881381,-10.1553812,-10.17152235,-10.18724525,-10.20255796,-10.2174686,-10.2319853,-10.24611621,-10.25986944,-10.2732531,-10.28627523,-10.2989438,-10.31126671,-10.32325179,-10.33490676,-10.34623924,-10.35725675,-10.36796669,-10.37837634,-10.38849287,-10.39832332,-10.40787459,-10.41715346,-10.42616659,-10.43492049,-10.44342156,-10.45167604,-10.45969007,-10.46746963,-10.47502058,-10.48234867,-10.48945949,-10.49635854,-10.50305115,-10.50954256,-10.51583788,-10.5219421,-10.52786008,-10.53359659,-10.53915627,-10.54454363,-10.54976311,-10.55481901,-10.55971553,-10.56445678,-10.56904676,-10.57348937,-10.57778842,-10.5819476,-10.58597055,-10.58986077,-10.59362172,-10.59725673
IRF,Model,NK_BGG99pitarg,Inflation Target shock,Interest,0,0.11,0.208989,-4.99934728,-7.773336344,-9.209880104,-9.916149739,-10.22780061,-10.32999482,-10.32451693,-10.26699116,-10.1875161,-10.10210264,-10.01901169,-9.942263409,-9.873578416,-9.813449568,-9.761732077,-9.717966826,-9.681556074,-9.651857623,-9.628234057,-9.610077343,-9.596820004,-9.587939077,-9.582956276,-9.581436228,-9.58298382,-9.587241197,-9.593884714,-9.602621987,-9.61318911,-9.625348079,-9.638884412,-9.65360498,-9.669336023,-9.685921341,-9.703220653,-9.721108102,-9.739470897,-9.758208083,-9.777229416,-9.796454352,-9.815811122,-9.835235893,-9.854672007,-9.874069297,-9.893383451,-9.912575453,-9.931611063,-9.95046035,-9.969097266,-9.987499267,-10.00564696,-10.02352378,-10.04111573,-10.05841108,-10.07540016,-10.09207516,-10.1084299,-10.12445966,-10.14016107,-10.15553191,-10.170571,-10.1852781,-10.19965377,-10.21369931,-10.22741665,-10.2408083,-10.25387722,-10.26662683,-10.2790609,-10.29118354,-10.3029991,-10.31451218,-10.32572758,-10.33665023,-10.34728522,-10.35763773,-10.367713,-10.37751636,-10.38705315,-10.39632873,-10.4053485,-10.41411781,-10.42264201,-10.43092641,-10.4389763,-10.4467969,-10.45439339,-10.46177087,-10.4689344,-10.47588895,-10.48263943,-10.48919066,-10.49554739,-10.50171428,-10.50769591,-10.51349678,-10.5191213
IRF,Model,NK_BGG99pitarg,Inflation Target shock,Output,0,-51.82183278,-33.48284633,-21.46773719,-14.69907314,-10.84606322,-8.615512363,-7.289764084,-6.470417122,-5.936174901,-5.563999081,-5.285374942,-5.062051791,-4.872585374,-4.704871819,-4.552004932,-4.40997695,-4.276401899,-4.149806257,-4.029234404,-3.914028744,-3.803706824,-3.697892322,-3.596275998,-3.498593328,-3.404611459,-3.314121387,-3.226933091,-3.14287234,-3.061778493,-2.983502864,-2.90790746,-2.834863935,-2.764252719,-2.695962243,-2.629888268,-2.565933273,-2.504005911,-2.444020512,-2.38589663,-2.329558636,-2.274935341,-2.221959657,-2.170568284,-2.120701424,-2.072302525,-2.025318036,-1.979697196,-1.935391829,-1.892356167,-1.850546676,-1.809921908,-1.770442356,-1.732070329,-1.694769829,-1.658506445,-1.623247251,-1.588960714,-1.55561661,-1.523185945,-1.49164088,-1.46095467,-1.431101597,-1.402056914,-1.373796796,-1.346298287,-1.319539254,-1.29349835,-1.268154969,-1.243489215,-1.219481862,-1.196114329,-1.173368644,-1.151227422,-1.129673836,-1.108691594,-1.088264916,-1.068378511,-1.049017563,-1.030167703,-1.011814999,-0.9939459356,-0.9765474001,-0.9596066653,-0.9431113771,-0.9270495406,-0.9114095072,-0.8961799629,-0.8813499164,-0.8669086885,-0.8528459013,-0.8391514688,-0.8258155869,-0.8128287244,-0.8001816148,-0.7878652471,-0.7758708589,-0.7641899278,-0.7528141646,-0.7417355062
IRF,Model,NK_BGG99pitarg,Inflation Target shock,Output Gap,0,-51.82183278,-33.48284633,-21.46773719,-14.69907314,-10.84606322,-8.615512363,-7.289764084,-6.470417122,-5.936174901,-5.563999081,-5.285374942,-5.062051791,-4.872585374,-4.704871819,-4.552004932,-4.40997695,-4.276401899,-4.149806257,-4.029234404,-3.914028744,-3.803706824,-3.697892322,-3.596275998,-3.498593328,-3.404611459,-3.314121387,-3.226933091,-3.14287234,-3.061778493,-2.983502864,-2.90790746,-2.834863935,-2.764252719,-2.695962243,-2.629888268,-2.565933273,-2.504005911,-2.444020512,-2.38589663,-2.329558636,-2.274935341,-2.221959657,-2.170568284,-2.120701424,-2.072302525,-2.025318036,-1.979697196,-1.935391829,-1.892356167,-1.850546676,-1.809921908,-1.770442356,-1.732070329,-1.694769829,-1.658506445,-1.623247251,-1.588960714,-1.55561661,-1.523185945,-1.49164088,-1.46095467,-1.431101597,-1.402056914,-1.373796796,-1.346298287,-1.319539254,-1.29349835,-1.268154969,-1.243489215,-1.219481862,-1.196114329,-1.173368644,-1.151227422,-1.129673836,-1.108691594,-1.088264916,-1.068378511,-1.049017563,-1.030167703,-1.011814999,-0.9939459356,-0.9765474001,-0.9596066653,-0.9431113771,-0.9270495406,-0.9114095072,-0.8961799629,-0.8813499164,-0.8669086885,-0.8528459013,-0.8391514688,-0.8258155869,-0.8128287244,-0.8001816148,-0.7878652471,-0.7758708589,-0.7641899278,-0.7528141646,-0.7417355062
IRF,Model,NK_BGG99pitarg,Inflation Target shock,inflationq,0,-7.128755991e-15,-48.15832165,-30.76264359,-21.12575819,-15.79275142,-12.84727149,-11.22633903,-10.34030568,-9.86206331,-9.610128153,-9.483792869,-9.427158014,-9.409181609,-9.412613166,-9.427855533,-9.44955998,-9.474737332,-9.501709992,-9.529530401,-9.557658232,-9.585781115,-9.61371499,-9.641348652,-9.668612818,-9.695462815,-9.721868835,-9.747810405,-9.773273204,-9.798247186,-9.822725456,-9.846703549,-9.870178961,-9.893150815,-9.915619612,-9.937587038,-9.959055803,-9.980029508,-10.00051253,-10.0205099,-10.04002726,-10.05907072,-10.07764683,-10.0957625,-10.11342494,-10.13064161,-10.14742019,-10.1637685,-10.17969449,-10.19520622,-10.21031179,-10.22501934,-10.23933704,-10.25327302,-10.26683542,-10.2800323,-10.29287168,-10.30536152,-10.31750969,-10.32932395,-10.340812,-10.35198139,-10.36283961,-10.37339399,-10.38365176,-10.39362001,-10.40330574,-10.41271577,-10.42185683,-10.43073551,-10.43935825,-10.44773138,-10.45586109,-10.46375344,-10.47141435,-10.47884962,-10.48606492,-10.49306579,-10.49985765,-10.50644578,-10.51283536,-10.51903144,-10.52503893,-10.53086266,-10.53650731,-10.54197748,-10.54727762,-10.55241212,-10.55738522,-10.56220107,-10.56686372,-10.57137713,-10.57574514,-10.57997151,-10.5840599,-10.58801387,-10.59183691,-10.59553241,-10.59910367,-10.60255392
