resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,taylor,NK_AFL15pitarg,Inflation Target shock,Inflation,0,-0.364186633,-0.667312055,-0.957019496,-1.256746779,-1.208000296,-1.22492118,-1.258040303,-1.283843516,-1.29618045,-1.305395521,-1.312860049,-1.318378467,-1.322203541,-1.324935794,-1.326912868,-1.328323419,-1.329311429,-1.329994147,-1.330456047,-1.330756761,-1.330939699,-1.331036848,-1.331071536,-1.331060712,-1.331016715,-1.330948547,-1.330862772,-1.330764168,-1.33065622,-1.330541466,-1.330421756,-1.330298438,-1.330172495,-1.330044641,-1.3299154,-1.329785151,-1.329654171,-1.329522661,-1.32939077,-1.329258605,-1.329126242,-1.32899374,-1.32886114,-1.328728472,-1.328595758,-1.328463014,-1.328330252,-1.328197481,-1.328064706,-1.327931932,-1.327799163,-1.3276664,-1.327533646,-1.327400902,-1.327268169,-1.327135447,-1.327002737,-1.326870039,-1.326737354,-1.326604682,-1.326472022,-1.326339376,-1.326206742,-1.326074122,-1.325941515,-1.325808921,-1.32567634,-1.325543773,-1.325411218,-1.325278677,-1.325146149,-1.325013635,-1.324881134,-1.324748645,-1.324616171,-1.324483709,-1.324351261,-1.324218826,-1.324086404,-1.323953995,-1.3238216,-1.323689217,-1.323556849,-1.323424493,-1.32329215,-1.323159821,-1.323027505,-1.322895202,-1.322762913,-1.322630637,-1.322498374,-1.322366124,-1.322233887,-1.322101664,-1.321969454,-1.321837257,-1.321705073,-1.321572902,-1.321440745
IRF,taylor,NK_AFL15pitarg,Inflation Target shock,Interest,0,0.802458301,0.510782817,0.170108386,-0.242824715,-0.189993851,-0.211951558,-0.255234473,-0.290428325,-0.307729075,-0.320434689,-0.330681215,-0.338326867,-0.343686728,-0.347552094,-0.350386456,-0.352450887,-0.353941009,-0.355015574,-0.355789535,-0.356344163,-0.356738539,-0.357016164,-0.35720878,-0.357339451,-0.357424969,-0.357477584,-0.357506225,-0.357517395,-0.357515837,-0.357505002,-0.357487409,-0.357464892,-0.357438788,-0.357410071,-0.35737945,-0.357347444,-0.357314428,-0.357280678,-0.357246394,-0.357211722,-0.357176767,-0.357141609,-0.357106302,-0.357070888,-0.357035397,-0.356999851,-0.356964266,-0.356928653,-0.356893021,-0.356857376,-0.356821723,-0.356786064,-0.356750403,-0.35671474,-0.356679078,-0.356643417,-0.356607757,-0.3565721,-0.356536445,-0.356500794,-0.356465145,-0.356429499,-0.356393857,-0.356358218,-0.356322583,-0.356286951,-0.356251322,-0.356215697,-0.356180076,-0.356144458,-0.356108844,-0.356073233,-0.356037626,-0.356002022,-0.355966422,-0.355930825,-0.355895232,-0.355859642,-0.355824056,-0.355788474,-0.355752895,-0.35571732,-0.355681748,-0.35564618,-0.355610615,-0.355575054,-0.355539497,-0.355503943,-0.355468393,-0.355432846,-0.355397302,-0.355361763,-0.355326226,-0.355290694,-0.355255165,-0.355219639,-0.355184117,-0.355148599,-0.355113084
IRF,taylor,NK_AFL15pitarg,Inflation Target shock,Output,0,-0.3025235,0.023801799,0.211875228,0.285490818,0.245213007,0.252360124,0.265451513,0.272773269,0.275482359,0.278016107,0.280216366,0.281780016,0.282835187,0.283600855,0.284162961,0.284565335,0.284848671,0.285047215,0.285184486,0.28527683,0.285336324,0.28537192,0.285390124,0.28539565,0.285391932,0.285381481,0.285366124,0.285347193,0.285325658,0.285302226,0.285277413,0.285251594,0.285225043,0.285197959,0.285170488,0.285142734,0.285114777,0.285086671,0.285058458,0.285030168,0.285001821,0.284973436,0.284945022,0.284916588,0.284888141,0.284859684,0.284831222,0.284802756,0.284774288,0.284745819,0.284717351,0.284688885,0.284660419,0.284631956,0.284603494,0.284575035,0.284546579,0.284518125,0.284489674,0.284461225,0.284432779,0.284404336,0.284375896,0.284347458,0.284319024,0.284290592,0.284262163,0.284233737,0.284205313,0.284176893,0.284148475,0.28412006,0.284091648,0.284063239,0.284034833,0.284006429,0.283978029,0.283949631,0.283921236,0.283892844,0.283864455,0.283836068,0.283807684,0.283779304,0.283750926,0.283722551,0.283694178,0.283665809,0.283637442,0.283609079,0.283580718,0.28355236,0.283524004,0.283495652,0.283467303,0.283438956,0.283410612,0.283382271,0.283353933
IRF,taylor,NK_AFL15pitarg,Inflation Target shock,Output Gap,0,-0.3025235,0.023801799,0.211875228,0.285490818,0.245213007,0.252360124,0.265451513,0.272773269,0.275482359,0.278016107,0.280216366,0.281780016,0.282835187,0.283600855,0.284162961,0.284565335,0.284848671,0.285047215,0.285184486,0.28527683,0.285336324,0.28537192,0.285390124,0.28539565,0.285391932,0.285381481,0.285366124,0.285347193,0.285325658,0.285302226,0.285277413,0.285251594,0.285225043,0.285197959,0.285170488,0.285142734,0.285114777,0.285086671,0.285058458,0.285030168,0.285001821,0.284973436,0.284945022,0.284916588,0.284888141,0.284859684,0.284831222,0.284802756,0.284774288,0.284745819,0.284717351,0.284688885,0.284660419,0.284631956,0.284603494,0.284575035,0.284546579,0.284518125,0.284489674,0.284461225,0.284432779,0.284404336,0.284375896,0.284347458,0.284319024,0.284290592,0.284262163,0.284233737,0.284205313,0.284176893,0.284148475,0.28412006,0.284091648,0.284063239,0.284034833,0.284006429,0.283978029,0.283949631,0.283921236,0.283892844,0.283864455,0.283836068,0.283807684,0.283779304,0.283750926,0.283722551,0.283694178,0.283665809,0.283637442,0.283609079,0.283580718,0.28355236,0.283524004,0.283495652,0.283467303,0.283438956,0.283410612,0.283382271,0.283353933
IRF,taylor,NK_AFL15pitarg,Inflation Target shock,inflationq,0,-1.456746532,-1.212501688,-1.158829762,-1.198909135,-1.2617606,-1.280185223,-1.291306255,-1.302121986,-1.311108335,-1.317045509,-1.321164365,-1.324195658,-1.326408631,-1.327974523,-1.329072658,-1.329837866,-1.330360668,-1.330705396,-1.33092026,-1.331040719,-1.331092423,-1.331093989,-1.331059014,-1.330997421,-1.330916435,-1.33082132,-1.330715912,-1.330603007,-1.330484643,-1.330362304,-1.330237072,-1.330109735,-1.329980869,-1.32985089,-1.329720106,-1.329588738,-1.329456948,-1.329324854,-1.329192542,-1.329060075,-1.328927498,-1.328794846,-1.328662141,-1.328529403,-1.328396643,-1.328263871,-1.328131094,-1.327998317,-1.327865543,-1.327732776,-1.327600016,-1.327467266,-1.327334527,-1.327201799,-1.327069083,-1.326936379,-1.326803687,-1.326671008,-1.326538342,-1.326405689,-1.326273049,-1.326140422,-1.326007809,-1.325875208,-1.325742621,-1.325610047,-1.325477486,-1.325344938,-1.325212403,-1.325079882,-1.324947374,-1.32481488,-1.324682398,-1.32454993,-1.324417475,-1.324285033,-1.324152605,-1.324020189,-1.323887787,-1.323755399,-1.323623023,-1.323490661,-1.323358312,-1.323225976,-1.323093653,-1.322961344,-1.322829048,-1.322696765,-1.322564495,-1.322432239,-1.322299996,-1.322167766,-1.322035549,-1.321903345,-1.321771155,-1.321638978,-1.321506814,-1.321374663,-1.321242526
IRF,taylor,NK_BGG99pitarg,Inflation Target shock,Inflation,0,-2.11E-17,-0.984631088,-1.75555833,-2.446483737,-3.129874606,-2.846766902,-2.775303081,-2.779897559,-2.790122954,-2.781413651,-2.773876504,-2.76945738,-2.766308173,-2.76350356,-2.76126175,-2.75963637,-2.758541562,-2.757895686,-2.757649087,-2.757758669,-2.75818238,-2.758881575,-2.759821841,-2.760972296,-2.762305067,-2.763795031,-2.765419595,-2.767158455,-2.768993375,-2.770907997,-2.772887657,-2.774919232,-2.776990992,-2.779092464,-2.781214315,-2.783348246,-2.785486885,-2.787623706,-2.789752941,-2.79186951,-2.793968953,-2.796047368,-2.798101356,-2.800127974,-2.802124687,-2.804089325,-2.806020052,-2.807915325,-2.80977387,-2.811594649,-2.813376839,-2.815119806,-2.816823087,-2.818486371,-2.82010948,-2.821692357,-2.823235052,-2.824737705,-2.826200542,-2.827623858,-2.829008015,-2.830353425,-2.831660552,-2.832929898,-2.834162001,-2.83535743,-2.836516775,-2.837640651,-2.838729686,-2.839784522,-2.840805812,-2.841794215,-2.842750395,-2.843675019,-2.844568755,-2.845432268,-2.846266223,-2.847071279,-2.847848091,-2.848597306,-2.849319568,-2.850015509,-2.850685754,-2.851330921,-2.851951615,-2.852548433,-2.853121962,-2.853672778,-2.854201447,-2.854708523,-2.85519455,-2.85566006,-2.856105576,-2.856531608,-2.856938655,-2.857327205,-2.857697737,-2.858050717,-2.858386601
IRF,taylor,NK_BGG99pitarg,Inflation Target shock,Interest,0,-0.064583413,-0.840869839,-1.584266974,-2.393961366,-3.334956848,-2.965857792,-2.8589396,-2.854494321,-2.861629938,-2.844232045,-2.828386973,-2.81705221,-2.807880992,-2.799555444,-2.792308029,-2.786186683,-2.78105601,-2.776783471,-2.773280777,-2.770470975,-2.768280374,-2.766641283,-2.765493049,-2.764781025,-2.764455758,-2.764472532,-2.764790973,-2.765374648,-2.766190687,-2.767209456,-2.76840425,-2.769751027,-2.771228153,-2.77281618,-2.774497637,-2.776256848,-2.778079761,-2.779953793,-2.781867695,-2.783811421,-2.785776015,-2.787753507,-2.789736818,-2.791719678,-2.793696539,-2.795662514,-2.797613308,-2.799545161,-2.801454796,-2.803339368,-2.805196425,-2.807023869,-2.808819913,-2.810583059,-2.812312061,-2.814005903,-2.815663773,-2.817285042,-2.818869242,-2.820416054,-2.821925287,-2.823396862,-2.824830807,-2.826227236,-2.827586342,-2.828908391,-2.830193707,-2.831442668,-2.832655697,-2.833833257,-2.834975845,-2.836083988,-2.837158235,-2.838199156,-2.839207337,-2.840183376,-2.841127882,-2.842041472,-2.842924767,-2.84377839,-2.844602966,-2.845399119,-2.846167471,-2.84690864,-2.847623241,-2.848311882,-2.848975164,-2.849613683,-2.850228025,-2.85081877,-2.851386486,-2.851931735,-2.852455069,-2.852957027,-2.853438143,-2.853898937,-2.85433992,-2.854761594,-2.855164448
IRF,taylor,NK_BGG99pitarg,Inflation Target shock,Output,0,-3.129166827,-1.727546415,-0.901258987,-0.447571609,-0.279090058,-0.38991518,-0.390170407,-0.367196596,-0.350491852,-0.341524215,-0.332145784,-0.322433928,-0.313239443,-0.304702548,-0.296633537,-0.288967405,-0.281690932,-0.274783964,-0.26821888,-0.261971071,-0.256019303,-0.250344138,-0.2449275,-0.239752746,-0.234804588,-0.230068962,-0.225532902,-0.221184453,-0.217012579,-0.213007091,-0.209158568,-0.205458294,-0.201898196,-0.198470793,-0.195169141,-0.19198679,-0.188917746,-0.185956427,-0.183097633,-0.180336514,-0.17766854,-0.175089478,-0.172595364,-0.170182485,-0.167847358,-0.16558671,-0.163397465,-0.161276728,-0.159221769,-0.157230012,-0.155299025,-0.153426507,-0.151610279,-0.149848276,-0.148138539,-0.146479206,-0.144868508,-0.14330476,-0.141786357,-0.140311766,-0.138879527,-0.137488242,-0.136136576,-0.134823249,-0.133547037,-0.132306763,-0.131101301,-0.129929569,-0.128790526,-0.127683171,-0.126606542,-0.125559712,-0.124541787,-0.123551909,-0.122589245,-0.121652995,-0.120742385,-0.119856669,-0.118995125,-0.118157054,-0.117341782,-0.116548655,-0.115777043,-0.115026334,-0.114295934,-0.11358527,-0.112893787,-0.112220945,-0.111566221,-0.110929111,-0.110309121,-0.109705776,-0.109118612,-0.108547183,-0.107991051,-0.107449794,-0.106923001,-0.106410275,-0.105911227
IRF,taylor,NK_BGG99pitarg,Inflation Target shock,Output Gap,0,-3.129166827,-1.727546415,-0.901258987,-0.447571609,-0.279090058,-0.38991518,-0.390170407,-0.367196596,-0.350491852,-0.341524215,-0.332145784,-0.322433928,-0.313239443,-0.304702548,-0.296633537,-0.288967405,-0.281690932,-0.274783964,-0.26821888,-0.261971071,-0.256019303,-0.250344138,-0.2449275,-0.239752746,-0.234804588,-0.230068962,-0.225532902,-0.221184453,-0.217012579,-0.213007091,-0.209158568,-0.205458294,-0.201898196,-0.198470793,-0.195169141,-0.19198679,-0.188917746,-0.185956427,-0.183097633,-0.180336514,-0.17766854,-0.175089478,-0.172595364,-0.170182485,-0.167847358,-0.16558671,-0.163397465,-0.161276728,-0.159221769,-0.157230012,-0.155299025,-0.153426507,-0.151610279,-0.149848276,-0.148138539,-0.146479206,-0.144868508,-0.14330476,-0.141786357,-0.140311766,-0.138879527,-0.137488242,-0.136136576,-0.134823249,-0.133547037,-0.132306763,-0.131101301,-0.129929569,-0.128790526,-0.127683171,-0.126606542,-0.125559712,-0.124541787,-0.123551909,-0.122589245,-0.121652995,-0.120742385,-0.119856669,-0.118995125,-0.118157054,-0.117341782,-0.116548655,-0.115777043,-0.115026334,-0.114295934,-0.11358527,-0.112893787,-0.112220945,-0.111566221,-0.110929111,-0.110309121,-0.109705776,-0.109118612,-0.108547183,-0.107991051,-0.107449794,-0.106923001,-0.106410275,-0.105911227
IRF,taylor,NK_BGG99pitarg,Inflation Target shock,inflationq,0,-4.21E-16,-3.938524351,-3.083708971,-2.763701627,-2.733563474,-2.806093534,-2.797853689,-2.782079537,-2.774465057,-2.771256322,-2.767705098,-2.764403045,-2.761868228,-2.760037869,-2.758737856,-2.757901526,-2.757488996,-2.757454364,-2.757751461,-2.758339854,-2.759183842,-2.760251142,-2.761512526,-2.762941675,-2.764514925,-2.766211,-2.768010783,-2.769897113,-2.771854606,-2.773869484,-2.775929423,-2.778023415,-2.780141644,-2.782275371,-2.78441683,-2.786559137,-2.788696202,-2.790822654,-2.792933771,-2.795025414,-2.797093973,-2.799136313,-2.801149725,-2.803131887,-2.805080823,-2.806994866,-2.808872631,-2.810712981,-2.812515002,-2.814277983,-2.81600139,-2.817684848,-2.819328126,-2.820931117,-2.822493827,-2.824016359,-2.825498904,-2.826941731,-2.828345174,-2.829709625,-2.831035529,-2.832323372,-2.83357368,-2.834787009,-2.835963943,-2.837105086,-2.838211063,-2.839282512,-2.840320082,-2.841324431,-2.842296222,-2.843236124,-2.844144803,-2.845022928,-2.845871165,-2.846690177,-2.847480622,-2.848243152,-2.848978412,-2.849687041,-2.850369668,-2.851026915,-2.851659394,-2.852267706,-2.852852443,-2.853414188,-2.85395351,-2.854470971,-2.854967119,-2.855442492,-2.855897618,-2.856333013,-2.856749182,-2.857146618,-2.857525805,-2.857887215,-2.858231309,-2.858558538,-2.858869342
