resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,growth,US_ACELmpitarg,Inflation Target shock,Inflation,0,2.15E-16,-0.229922567,-0.674492201,-1.305481104,-2.087260775,-2.750643352,-3.272744151,-3.647658291,-3.882517306,-3.994391014,-4.005536656,-3.9400064,-3.821276037,-3.670657773,-3.506335692,-3.342891067,-3.191206798,-3.05865312,-2.94946731,-2.86525125,-2.805522891,-2.768270517,-2.750471528,-2.748549539,-2.758754346,-2.777458422,-2.801370825,-2.827674763,-2.854098653,-2.878932545,-2.901002497,-2.919615166,-2.934483837,-2.945645527,-2.953377028,-2.958115805,-2.9603899,-2.960759309,-2.959769929,-2.957920023,-2.955638352,-2.953272499,-2.951085645,-2.949259876,-2.947904165,-2.947065315,-2.94674038,-2.946889349,-2.947447171,-2.948334462,-2.94946652,-2.950760432,-2.952140293,-2.953540648,-2.954908366,-2.95620321,-2.957397404,-2.958474459,-2.959427531,-2.960257548,-2.960971266,-2.961579434,-2.962095136,-2.962532393,-2.962905057,-2.963225985,-2.963506487,-2.963756023,-2.963982088,-2.964190266,-2.964384395,-2.964566805,-2.964738603,-2.964899957,-2.965050382,-2.965188989,-2.965314699,-2.965426415,-2.965523154,-2.965604124,-2.965668787,-2.965716864,-2.965748343,-2.965763445,-2.965762595,-2.965746378,-2.965715496,-2.965670727,-2.965612885,-2.96554279,-2.96546124,-2.965368992,-2.965266753,-2.965155165,-2.965034809,-2.964906205,-2.964769813,-2.964626043,-2.964475259
IRF,growth,US_ACELmpitarg,Inflation Target shock,Interest,0,0.376442549,0.372278862,0.081759621,-0.430508101,-1.119968269,-1.66209125,-2.097730422,-2.447985394,-2.722994514,-2.929573263,-3.073839747,-3.162897681,-3.2050559,-3.209409733,-3.185232466,-3.141390919,-3.085881817,-3.025519591,-2.965772344,-2.910726062,-2.863150047,-2.824634918,-2.795776109,-2.776379177,-2.76566759,-2.762478278,-2.765434732,-2.773091524,-2.784047583,-2.797028344,-2.810938998,-2.824892431,-2.838216294,-2.85044392,-2.861293742,-2.87064146,-2.878488649,-2.884930801,-2.890127104,-2.894273548,-2.897580341,-2.90025407,-2.902484618,-2.904436531,-2.906244292,-2.908010835,-2.909808594,-2.911682366,-2.913653349,-2.915723769,-2.917881647,-2.92010534,-2.922367602,-2.924639016,-2.926890709,-2.929096361,-2.931233533,-2.933284398,-2.935235987,-2.937080028,-2.938812518,-2.940433107,-2.941944383,-2.943351137,-2.944659664,-2.945877121,-2.947010997,-2.948068683,-2.949057146,-2.949982724,-2.950850994,-2.95166673,-2.952433916,-2.953155813,-2.953835041,-2.954473686,-2.955073419,-2.955635591,-2.956161341,-2.956651673,-2.957107525,-2.957529823,-2.95791951,-2.958277573,-2.95860505,-2.95890303,-2.959172647,-2.959415068,-2.959631479,-2.959823068,-2.959991016,-2.960136479,-2.960260577,-2.960364391,-2.960448948,-2.960515227,-2.960564149,-2.960596584,-2.960613347
IRF,growth,US_ACELmpitarg,Inflation Target shock,Output,0,0.011540394,-1.590356702,-2.55551963,-3.017279312,-3.10217501,-2.913847327,-2.544783503,-2.069705691,-1.548267678,-1.026594383,-0.538453282,-0.106531107,0.256097339,0.544334137,0.759349734,0.906906385,0.995805116,1.036523596,1.04008587,1.017180575,0.977524092,0.929449787,0.879694165,0.833344847,0.793913198,0.763495379,0.742988712,0.73233481,0.73076631,0.737039591,0.749641246,0.76696091,0.78742719,0.809606754,0.832269104,0.854421264,0.875317581,0.894450212,0.911525801,0.926433369,0.939207824,0.949992631,0.959004418,0.9665014,0.972756826,0.978037989,0.982590814,0.986629699,0.990331953,0.993836093,0.997243121,1.000619969,1.00400434,1.007410257,1.010833786,1.014258492,1.017660343,1.021011849,1.024285376,1.027455601,1.030501164,1.033405613,1.036157748,1.038751506,1.041185496,1.043462314,1.045587743,1.047569913,1.049418494,1.051143973,1.052757036,1.054268079,1.055686846,1.057022181,1.058281902,1.059472749,1.060600422,1.061669651,1.062684319,1.063647593,1.064562061,1.065429869,1.066252842,1.067032589,1.067770589,1.068468256,1.069126988,1.069748194,1.070333312,1.070883811,1.071401187,1.071886952,1.07234262,1.072769693,1.073169644,1.073543905,1.073893854,1.074220809,1.074526018
IRF,growth,US_ACELmpitarg,Inflation Target shock,Output Gap,0,0.011540394,-1.590356702,-2.55551963,-3.017279312,-3.10217501,-2.913847327,-2.544783503,-2.069705691,-1.548267678,-1.026594383,-0.538453282,-0.106531107,0.256097339,0.544334137,0.759349734,0.906906385,0.995805116,1.036523596,1.04008587,1.017180575,0.977524092,0.929449787,0.879694165,0.833344847,0.793913198,0.763495379,0.742988712,0.73233481,0.73076631,0.737039591,0.749641246,0.76696091,0.78742719,0.809606754,0.832269104,0.854421264,0.875317581,0.894450212,0.911525801,0.926433369,0.939207824,0.949992631,0.959004418,0.9665014,0.972756826,0.978037989,0.982590814,0.986629699,0.990331953,0.993836093,0.997243121,1.000619969,1.00400434,1.007410257,1.010833786,1.014258492,1.017660343,1.021011849,1.024285376,1.027455601,1.030501164,1.033405613,1.036157748,1.038751506,1.041185496,1.043462314,1.045587743,1.047569913,1.049418494,1.051143973,1.052757036,1.054268079,1.055686846,1.057022181,1.058281902,1.059472749,1.060600422,1.061669651,1.062684319,1.063647593,1.064562061,1.065429869,1.066252842,1.067032589,1.067770589,1.068468256,1.069126988,1.069748194,1.070333312,1.070883811,1.071401187,1.071886952,1.07234262,1.072769693,1.073169644,1.073543905,1.073893854,1.074220809,1.074526018
IRF,growth,US_ACELmpitarg,Inflation Target shock,inflationq,0,-4.82E-16,-0.919690267,-1.778278538,-2.523955612,-3.127118682,-3.573220575,-3.866681735,-4.02361217,-4.066554744,-4.020715407,-3.911264305,-3.761491145,-3.591633292,-3.418242351,-3.253975981,-3.107712644,-2.984896215,-2.88802764,-2.817232742,-2.770848404,-2.745982779,-2.739018143,-2.746036788,-2.763160448,-2.786802005,-2.813834447,-2.841686401,-2.8683762,-2.892497563,-2.913170015,-2.929966209,-2.942826879,-2.951972245,-2.957816776,-2.960892212,-2.961781987,-2.961068624,-2.959294414,-2.95693469,-2.954382366,-2.951941938,-2.949831002,-2.948187275,-2.94707929,-2.946519093,-2.946475601,-2.946887536,-2.947675168,-2.948750378,-2.950024768,-2.951415767,-2.952850813,-2.954269823,-2.95562619,-2.956886637,-2.958030191,-2.9590466,-2.959934408,-2.960698927,-2.961350256,-2.961901474,-2.96236708,-2.962761732,-2.963099285,-2.963392131,-2.96365079,-2.963883743,-2.964097429,-2.96429639,-2.964483502,-2.964660258,-2.964827071,-2.96498358,-2.965128919,-2.965261958,-2.965381498,-2.965486419,-2.965575786,-2.965648911,-2.965705382,-2.965745068,-2.965768098,-2.965774825,-2.965765789,-2.965741667,-2.965703229,-2.965651298,-2.965586713,-2.9655103,-2.965422848,-2.965325097,-2.965217724,-2.965101341,-2.964976496,-2.964843675,-2.964703307,-2.964555775,-2.964401416,-2.964240539
IRF,growth,US_ACELswtpitarg,Inflation Target shock,Inflation,0,-0.2329488,-0.678823727,-1.304987708,-2.073146023,-2.711372122,-3.203428978,-3.550486157,-3.765218613,-3.867123867,-3.878864717,-3.823574123,-3.722965985,-3.596118949,-3.45881041,-3.323283761,-3.198339323,-3.089649662,-3.000213002,-2.930873261,-2.880850687,-2.848242031,-2.830462867,-2.824616426,-2.827782938,-2.83723082,-2.850556262,-2.865761074,-2.88128032,-2.895971652,-2.909077714,-2.920171729,-2.929094784,-2.935891593,-2.940749692,-2.943945465,-2.945798916,-2.946637995,-2.94677235,-2.946475748,-2.945976021,-2.94545114,-2.945030003,-2.944796559,-2.944796044,-2.945042295,-2.945525311,-2.94621845,-2.947084855,-2.948082842,-2.949170167,-2.950307165,-2.951458857,-2.952596147,-2.953696284,-2.954742752,-2.955724755,-2.956636445,-2.957476017,-2.958244773,-2.958946225,-2.959585296,-2.960167646,-2.960699126,-2.961185381,-2.961631572,-2.962042215,-2.962421104,-2.962771315,-2.963095251,-2.963394729,-2.963671078,-2.963925247,-2.964157906,-2.964369542,-2.964560532,-2.964731211,-2.964881916,-2.96501302,-2.965124946,-2.96521818,-2.965293269,-2.965350816,-2.965391465,-2.965415893,-2.965424798,-2.965418882,-2.965398844,-2.96536537,-2.965319123,-2.965260741,-2.965190832,-2.965109973,-2.965018708,-2.964917549,-2.96480698,-2.964687454,-2.964559401,-2.964423225,-2.964279308
IRF,growth,US_ACELswtpitarg,Inflation Target shock,Interest,0,0.089396833,-0.133754957,-0.599181503,-1.254839125,-1.773762008,-2.189066472,-2.519163422,-2.774409613,-2.962784364,-3.091617871,-3.168885876,-3.203315021,-3.203979992,-3.179768983,-3.138897879,-3.088551539,-3.034671219,-2.981876972,-2.933500147,-2.891696522,-2.857611268,-2.831570378,-2.813277873,-2.802003265,-2.79674862,-2.796388953,-2.799783291,-2.805856577,-2.813654609,-2.82237554,-2.831382131,-2.840199211,-2.848500568,-2.856089118,-2.862873609,-2.868844437,-2.874050547,-2.878578726,-2.88253609,-2.886036115,-2.889188205,-2.892090547,-2.89482584,-2.897459402,-2.900039098,-2.902596614,-2.905149571,-2.907704111,-2.910257625,-2.912801384,-2.915322905,-2.917807955,-2.920242151,-2.922612138,-2.924906386,-2.92711565,-2.929233145,-2.931254509,-2.933177606,-2.935002235,-2.936729776,-2.938362832,-2.939904878,-2.941359948,-2.942732364,-2.944026525,-2.945246738,-2.946397108,-2.947481463,-2.948503318,-2.949465873,-2.950372021,-2.951224377,-2.952025315,-2.952777004,-2.953481449,-2.954140519,-2.954755988,-2.955329549,-2.955862837,-2.956357446,-2.95681493,-2.957236813,-2.95762459,-2.957979724,-2.958303646,-2.958597748,-2.958863385,-2.959101868,-2.959314464,-2.95950239,-2.959666816,-2.959808861,-2.959929595,-2.960030038,-2.960111165,-2.960173902,-2.960219131,-2.960247693
IRF,growth,US_ACELswtpitarg,Inflation Target shock,Output,0,-1.585978938,-2.569649468,-3.075359188,-3.223286005,-3.111724068,-2.827822561,-2.441009712,-2.005827169,-1.563770537,-1.144766278,-0.768668473,-0.446835773,-0.183765477,0.021290701,0.172810949,0.277654002,0.343919394,0.380037167,0.394086798,0.393329647,0.383928773,0.370824056,0.357728435,0.347211999,0.340843589,0.339363943,0.342869305,0.350989569,0.363049799,0.378208256,0.395567643,0.414259082,0.433500439,0.452631971,0.471133066,0.488624156,0.504857791,0.51970254,0.533122882,0.545157633,0.555898889,0.565472838,0.574023319,0.581698543,0.58864106,0.594980789,0.600830784,0.606285267,0.611419461,0.616290742,0.620940655,0.625397436,0.629678709,0.633794128,0.637747794,0.641540347,0.645170669,0.648637188,0.651938817,0.655075546,0.658048761,0.660861333,0.663517545,0.666022905,0.668383896,0.670607693,0.672701886,0.674674227,0.676532408,0.678283888,0.679935759,0.681494661,0.682966734,0.6843576,0.685672373,0.686915684,0.68809173,0.68920431,0.690256886,0.691252623,0.692194441,0.69308505,0.693926987,0.694722644,0.695474286,0.696184074,0.696854069,0.697486249,0.698082505,0.698644653,0.699174429,0.699673494,0.700143433,0.700585757,0.701001902,0.701393232,0.701761041,0.702106555,0.702430933
IRF,growth,US_ACELswtpitarg,Inflation Target shock,Output Gap,0,-1.585978938,-2.569649468,-3.075359188,-3.223286005,-3.111724068,-2.827822561,-2.441009712,-2.005827169,-1.563770537,-1.144766278,-0.768668473,-0.446835773,-0.183765477,0.021290701,0.172810949,0.277654002,0.343919394,0.380037167,0.394086798,0.393329647,0.383928773,0.370824056,0.357728435,0.347211999,0.340843589,0.339363943,0.342869305,0.350989569,0.363049799,0.378208256,0.395567643,0.414259082,0.433500439,0.452631971,0.471133066,0.488624156,0.504857791,0.51970254,0.533122882,0.545157633,0.555898889,0.565472838,0.574023319,0.581698543,0.58864106,0.594980789,0.600830784,0.606285267,0.611419461,0.616290742,0.620940655,0.625397436,0.629678709,0.633794128,0.637747794,0.641540347,0.645170669,0.648637188,0.651938817,0.655075546,0.658048761,0.660861333,0.663517545,0.666022905,0.668383896,0.670607693,0.672701886,0.674674227,0.676532408,0.678283888,0.679935759,0.681494661,0.682966734,0.6843576,0.685672373,0.686915684,0.68809173,0.68920431,0.690256886,0.691252623,0.692194441,0.69308505,0.693926987,0.694722644,0.695474286,0.696184074,0.696854069,0.697486249,0.698082505,0.698644653,0.699174429,0.699673494,0.700143433,0.700585757,0.701001902,0.701393232,0.701761041,0.702106555,0.702430933
IRF,growth,US_ACELswtpitarg,Inflation Target shock,inflationq,0,-0.931795199,-1.78349971,-2.504655921,-3.072633264,-3.484699593,-3.751727136,-3.892884635,-3.931563087,-3.89232061,-3.798690535,-3.671722259,-3.529130537,-3.384932465,-3.249456379,-3.129615662,-3.029352784,-2.950173823,-2.89170974,-2.852256698,-2.829262486,-2.819739199,-2.820593085,-2.828870934,-2.841928535,-2.857530725,-2.873894852,-2.889690185,-2.904005517,-2.916296053,-2.926319103,-2.934066243,-2.939697739,-2.943483287,-2.945751501,-2.946849332,-2.947111542,-2.946839606,-2.946288919,-2.945662925,-2.945112634,-2.944740081,-2.944604371,-2.944729149,-2.945110576,-2.945725086,-2.946536432,-2.947501707,-2.948576197,-2.949717034,-2.950885729,-2.952049699,-2.953182964,-2.954266195,-2.955286278,-2.956235572,-2.957110976,-2.957912955,-2.958644567,-2.959310593,-2.959916783,-2.960469242,-2.960973965,-2.961436513,-2.961861802,-2.962254007,-2.962616536,-2.962952071,-2.963262646,-2.963549753,-2.963814448,-2.964057466,-2.964279321,-2.96448039,-2.964660989,-2.964821427,-2.964962038,-2.965083212,-2.965185403,-2.96526913,-2.965334975,-2.965383571,-2.965415588,-2.965431724,-2.965432689,-2.965419189,-2.965391925,-2.965351574,-2.965298791,-2.965234202,-2.965158397,-2.965071939,-2.964975355,-2.96486914,-2.964753762,-2.964629662,-2.964497253,-2.964356927,-2.964209057,-2.964053995
