resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,inertial,US_ACELmpitarg,Inflation Target shock,Inflation,0,8.41E-19,-0.205777154,-0.605484858,-1.177254988,-1.894224958,-2.522138852,-3.045285142,-3.460620099,-3.773753386,-3.996001871,-4.141845824,-4.226891279,-4.26635777,-4.274054903,-4.261779751,-4.239053019,-4.213109936,-4.189067722,-4.170201965,-4.158276847,-4.1538872,-4.156782575,-4.166154218,-4.18087466,-4.199686488,-4.221341814,-4.24469725,-4.268771099,-4.292770229,-4.316094101,-4.338322779,-4.359194886,-4.378580303,-4.396451363,-4.412855185,-4.427888915,-4.441678827,-4.454363681,-4.466082263,-4.476964744,-4.487127325,-4.496669539,-4.505673595,-4.51420516,-4.522315088,-4.530041658,-4.537413,-4.544449461,-4.551165766,-4.55757286,-4.563679407,-4.569492936,-4.575020658,-4.580270006,-4.58524894,-4.589966064,-4.594430624,-4.598652411,-4.602641613,-4.606408651,-4.609964007,-4.613318071,-4.616481014,-4.619462679,-4.622272508,-4.624919494,-4.627412153,-4.62975852,-4.631966156,-4.634042165,-4.635993223,-4.637825606,-4.639545221,-4.641157639,-4.642668121,-4.644081645,-4.645402932,-4.646636463,-4.6477865,-4.648857098,-4.649852119,-4.650775243,-4.651629977,-4.652419663,-4.653147486,-4.653816481,-4.654429537,-4.654989407,-4.655498708,-4.655959934,-4.656375454,-4.656747524,-4.657078286,-4.657369779,-4.65762394,-4.657842611,-4.658027542,-4.658180398,-4.658302761
IRF,inertial,US_ACELmpitarg,Inflation Target shock,Interest,0,0.376442549,0.41225804,0.192600972,-0.226059762,-0.80619415,-1.445056772,-2.071002178,-2.638236184,-3.121371107,-3.510415884,-3.806347846,-4.017357479,-4.155800366,-4.235840298,-4.271729083,-4.276642983,-4.261982274,-4.2370369,-4.208925411,-4.182723746,-4.161712867,-4.147687994,-4.141285764,-4.142298242,-4.149953617,-4.163152384,-4.180654817,-4.201220599,-4.223704902,-4.24711719,-4.270649931,-4.29368442,-4.315780444,-4.336655613,-4.356159167,-4.374243973,-4.390939397,-4.406326839,-4.420518958,-4.433642991,-4.445828159,-4.457196831,-4.467858931,-4.477909005,-4.487425325,-4.496470467,-4.505092846,-4.513328804,-4.52120491,-4.528740232,-4.535948418,-4.542839497,-4.549421336,-4.555700764,-4.561684381,-4.567379087,-4.572792382,-4.577932487,-4.582808336,-4.587429479,-4.591805935,-4.59594802,-4.599866176,-4.603570812,-4.607072167,-4.610380203,-4.61350452,-4.616454304,-4.619238296,-4.621864778,-4.624341577,-4.626676081,-4.628875257,-4.630945683,-4.632893572,-4.634724803,-4.636444945,-4.638059286,-4.639572849,-4.64099042,-4.642316555,-4.643555602,-4.644711709,-4.645788836,-4.646790762,-4.647721098,-4.648583286,-4.649380615,-4.650116217,-4.650793084,-4.651414063,-4.65198187,-4.652499089,-4.652968184,-4.653391498,-4.653771264,-4.654109604,-4.65440854,-4.654669996
IRF,inertial,US_ACELmpitarg,Inflation Target shock,Output,0,0.011540394,-1.342959513,-2.115685919,-2.43141906,-2.409319932,-2.155373019,-1.76002182,-1.295916737,-0.817892435,-0.364395894,0.040248658,0.38319943,0.660413284,0.874142176,1.030745649,1.138886541,1.208125916,1.247897533,1.266819418,1.272287919,1.270295442,1.265414677,1.260897581,1.258845041,1.260411709,1.26601908,1.275557778,1.288566883,1.304383739,1.32226202,1.341458992,1.361294947,1.381189016,1.400676027,1.419409081,1.437152131,1.45376627,1.469192755,1.483435093,1.496541849,1.508591275,1.519678358,1.529904527,1.539369972,1.548168349,1.556383534,1.564088031,1.571342643,1.578197052,1.584690964,1.590855576,1.596715152,1.602288558,1.607590655,1.612633498,1.617427307,1.621981221,1.626303837,1.630403578,1.634288904,1.637968417,1.641450871,1.644745137,1.647860126,1.650804702,1.653587593,1.656217306,1.65870206,1.661049733,1.663267823,1.665363432,1.667343256,1.66921359,1.670980341,1.672649046,1.674224896,1.675712762,1.677117215,1.678442558,1.67969284,1.680871883,1.681983299,1.683030506,1.684016743,1.684945079,1.68581843,1.686639564,1.687411108,1.688135561,1.688815295,1.689452564,1.690049507,1.690608159,1.691130448,1.691618208,1.692073176,1.692497004,1.692891258,1.693257425
IRF,inertial,US_ACELmpitarg,Inflation Target shock,Output Gap,0,0.011540394,-1.342959513,-2.115685919,-2.43141906,-2.409319932,-2.155373019,-1.76002182,-1.295916737,-0.817892435,-0.364395894,0.040248658,0.38319943,0.660413284,0.874142176,1.030745649,1.138886541,1.208125916,1.247897533,1.266819418,1.272287919,1.270295442,1.265414677,1.260897581,1.258845041,1.260411709,1.26601908,1.275557778,1.288566883,1.304383739,1.32226202,1.341458992,1.361294947,1.381189016,1.400676027,1.419409081,1.437152131,1.45376627,1.469192755,1.483435093,1.496541849,1.508591275,1.519678358,1.529904527,1.539369972,1.548168349,1.556383534,1.564088031,1.571342643,1.578197052,1.584690964,1.590855576,1.596715152,1.602288558,1.607590655,1.612633498,1.617427307,1.621981221,1.626303837,1.630403578,1.634288904,1.637968417,1.641450871,1.644745137,1.647860126,1.650804702,1.653587593,1.656217306,1.65870206,1.661049733,1.663267823,1.665363432,1.667343256,1.66921359,1.670980341,1.672649046,1.674224896,1.675712762,1.677117215,1.678442558,1.67969284,1.680871883,1.681983299,1.683030506,1.684016743,1.684945079,1.68581843,1.686639564,1.687411108,1.688135561,1.688815295,1.689452564,1.690049507,1.690608159,1.691130448,1.691618208,1.692073176,1.692497004,1.692891258,1.693257425
IRF,inertial,US_ACELmpitarg,Inflation Target shock,inflationq,0,-4.91E-16,-0.823108616,-1.598830816,-2.287080519,-2.867879881,-3.334764194,-3.691415974,-3.948420348,-4.120413026,-4.223758137,-4.274791786,-4.288602168,-4.278278991,-4.254546667,-4.225691178,-4.197695241,-4.174506658,-4.158377813,-4.15022815,-4.149994768,-4.15694807,-4.169959314,-4.187714722,-4.208876536,-4.232195382,-4.256580616,-4.281136466,-4.30517193,-4.328191905,-4.349876101,-4.370051181,-4.388660358,-4.405733573,-4.421360338,-4.435666471,-4.448795278,-4.460893221,-4.472099755,-4.482540798,-4.492325201,-4.501543543,-4.510268613,-4.518557021,-4.526451461,-4.533983256,-4.541174895,-4.548042387,-4.554597307,-4.560848476,-4.566803271,-4.572468576,-4.57785142,-4.582959364,-4.587800666,-4.592384309,-4.596719916,-4.600817605,-4.604687813,-4.608341119,-4.611788067,-4.615039027,-4.618104072,-4.620992891,-4.623714726,-4.626278343,-4.628692015,-4.630963528,-4.633100195,-4.635108886,-4.636996051,-4.63876776,-4.640429727,-4.641987347,-4.643445723,-4.644809686,-4.646083823,-4.647272495,-4.648379849,-4.649409834,-4.650366215,-4.651252579,-4.652072344,-4.652828769,-4.653524959,-4.654163872,-4.654748323,-4.655280995,-4.655764437,-4.656201078,-4.656593226,-4.656943076,-4.657252715,-4.657524127,-4.657759198,-4.65795972,-4.658127399,-4.658263852,-4.658370622,-4.65844917
IRF,inertial,US_ACELswtpitarg,Inflation Target shock,Inflation,0,-0.18731193,-0.546465207,-1.052590581,-1.677063111,-2.204156535,-2.623671746,-2.93892622,-3.161608718,-3.307701321,-3.394453017,-3.438315999,-3.453695387,-3.452339108,-3.443196052,-3.43258794,-3.424566163,-3.421353604,-3.423799356,-3.43179891,-3.444652687,-3.461351362,-3.480787436,-3.501899699,-3.523761121,-3.545622261,-3.566922128,-3.587277185,-3.606457412,-3.62435634,-3.640960068,-3.656318547,-3.670521027,-3.683676492,-3.695899137,-3.707298444,-3.71797314,-3.728008228,-3.737474248,-3.746428063,-3.754914534,-3.762968627,-3.770617584,-3.777882957,-3.784782347,-3.791330807,-3.7975419,-3.803428434,-3.809002934,-3.814277895,-3.819265889,-3.823979549,-3.828431506,-3.832634282,-3.836600181,-3.840341185,-3.843868872,-3.847194353,-3.85032823,-3.853280573,-3.856060922,-3.85867829,-3.861141188,-3.863457648,-3.865635249,-3.867681149,-3.869602116,-3.871404551,-3.873094516,-3.874677755,-3.876159719,-3.877545576,-3.878840236,-3.880048358,-3.881174369,-3.882222472,-3.883196657,-3.884100715,-3.884938244,-3.885712658,-3.886427201,-3.887084948,-3.887688818,-3.888241581,-3.888745865,-3.889204163,-3.88961884,-3.889992139,-3.890326189,-3.890623009,-3.890884515,-3.891112523,-3.891308757,-3.891474852,-3.891612361,-3.891722754,-3.891807428,-3.891867707,-3.891904848,-3.891920042
IRF,inertial,US_ACELswtpitarg,Inflation Target shock,Interest,0,0.152986437,0.043787024,-0.267858957,-0.739414517,-1.269727034,-1.788989656,-2.253893175,-2.642060808,-2.946545142,-3.17087366,-3.324905677,-3.421594618,-3.474631832,-3.496874572,-3.499422549,-3.491195588,-3.478871061,-3.467056935,-3.458598926,-3.45494423,-3.45650696,-3.463000077,-3.473714432,-3.48773759,-3.504113374,-3.521948393,-3.540474522,-3.559077275,-3.577299626,-3.594829732,-3.61147948,-3.627159168,-3.641852068,-3.655591304,-3.668440381,-3.680477857,-3.691786124,-3.702443854,-3.712521493,-3.72207914,-3.731166133,-3.739821772,-3.748076686,-3.755954502,-3.763473526,-3.770648284,-3.777490824,-3.784011744,-3.790220944,-3.796128128,-3.801743112,-3.807075957,-3.812137001,-3.816936808,-3.821486075,-3.825795525,-3.829875794,-3.83373733,-3.837390315,-3.840844603,-3.844109672,-3.847194608,-3.850108085,-3.852858376,-3.855453353,-3.857900511,-3.860206978,-3.86237954,-3.864424659,-3.866348487,-3.868156892,-3.869855466,-3.871449543,-3.87294421,-3.87434432,-3.875654503,-3.876879173,-3.87802254,-3.879088616,-3.880081224,-3.881004008,-3.881860437,-3.882653814,-3.883387284,-3.884063838,-3.884686326,-3.885257454,-3.8857798,-3.886255814,-3.886687824,-3.887078047,-3.887428588,-3.887741449,-3.888018533,-3.888261648,-3.888472512,-3.888652759,-3.88880394,-3.888927531
IRF,inertial,US_ACELswtpitarg,Inflation Target shock,Output,0,-1.214172714,-1.927926808,-2.247222092,-2.276073153,-2.107659744,-1.821040102,-1.478629259,-1.126201884,-0.794493166,-0.501660458,-0.256056807,-0.05893837,0.093128395,0.206280236,0.287828134,0.345165924,0.385062252,0.413264875,0.434342343,0.451692657,0.467658084,0.483697162,0.500577177,0.518561654,0.537577052,0.55735049,0.577515994,0.597690647,0.617524333,0.636727939,0.655085152,0.67245268,0.68875308,0.703963561,0.7181033,0.731221021,0.74338395,0.754668704,0.765154306,0.774917238,0.784028281,0.792550812,0.800540218,0.808044085,0.815102886,0.821750932,0.828017412,0.83392741,0.839502813,0.844763075,0.84972583,0.854407348,0.858822868,0.862986816,0.866912942,0.870614393,0.874103747,0.877393023,0.880493679,0.883416602,0.88617211,0.888769945,0.891219291,0.893528781,0.895706521,0.897760112,0.89969668,0.901522906,0.90324505,0.904868987,0.906400228,0.907843953,0.909205028,0.910488032,0.911697276,0.912836819,0.913910488,0.91492189,0.915874428,0.916771312,0.917615571,0.918410063,0.919157489,0.919860395,0.920521188,0.921142139,0.921725393,0.922272979,0.922786808,0.923268692,0.923720337,0.924143361,0.924539288,0.924909563,0.92525555,0.925578538,0.925879749,0.926160335,0.926421389
IRF,inertial,US_ACELswtpitarg,Inflation Target shock,Output Gap,0,-1.214172714,-1.927926808,-2.247222092,-2.276073153,-2.107659744,-1.821040102,-1.478629259,-1.126201884,-0.794493166,-0.501660458,-0.256056807,-0.05893837,0.093128395,0.206280236,0.287828134,0.345165924,0.385062252,0.413264875,0.434342343,0.451692657,0.467658084,0.483697162,0.500577177,0.518561654,0.537577052,0.55735049,0.577515994,0.597690647,0.617524333,0.636727939,0.655085152,0.67245268,0.68875308,0.703963561,0.7181033,0.731221021,0.74338395,0.754668704,0.765154306,0.774917238,0.784028281,0.792550812,0.800540218,0.808044085,0.815102886,0.821750932,0.828017412,0.83392741,0.839502813,0.844763075,0.84972583,0.854407348,0.858822868,0.862986816,0.866912942,0.870614393,0.874103747,0.877393023,0.880493679,0.883416602,0.88617211,0.888769945,0.891219291,0.893528781,0.895706521,0.897760112,0.89969668,0.901522906,0.90324505,0.904868987,0.906400228,0.907843953,0.909205028,0.910488032,0.911697276,0.912836819,0.913910488,0.91492189,0.915874428,0.916771312,0.917615571,0.918410063,0.919157489,0.919860395,0.920521188,0.921142139,0.921725393,0.922272979,0.922786808,0.923268692,0.923720337,0.924143361,0.924539288,0.924909563,0.92525555,0.925578538,0.925879749,0.926160335,0.926421389
IRF,inertial,US_ACELswtpitarg,Inflation Target shock,inflationq,0,-0.749247719,-1.436613107,-2.024501498,-2.497890119,-2.857621416,-3.114673952,-3.285519395,-3.38862011,-3.441991825,-3.461680737,-3.460971326,-3.450137662,-3.436566708,-3.425108513,-3.418538878,-3.418050552,-3.423716472,-3.434891523,-3.450537092,-3.469465663,-3.490511171,-3.512635819,-3.534986145,-3.556911348,-3.57795573,-3.597835288,-3.616406376,-3.633632255,-3.649551442,-3.664250201,-3.677840292,-3.690442174,-3.702173302,-3.713140782,-3.723437517,-3.73314096,-3.742313653,-3.751004862,-3.759252775,-3.767086847,-3.774530023,-3.781600691,-3.788314267,-3.794684406,-3.800723865,-3.806445063,-3.811860403,-3.816982403,-3.821823711,-3.826397037,-3.830715045,-3.834790232,-3.838634815,-3.84226063,-3.84567906,-3.848900982,-3.851936741,-3.854796136,-3.857488433,-3.860022376,-3.862406214,-3.86464773,-3.866754271,-3.868732779,-3.870589816,-3.872331598,-3.873964011,-3.875492638,-3.876922775,-3.878259451,-3.87950744,-3.880671276,-3.881755265,-3.882763495,-3.88369985,-3.884568018,-3.885371497,-3.88611361,-3.88679751,-3.887426188,-3.888002484,-3.88852909,-3.889008562,-3.889443324,-3.889835675,-3.890187797,-3.890501759,-3.890779525,-3.891022956,-3.891233819,-3.891413791,-3.891564461,-3.891687338,-3.891783853,-3.891855363,-3.891903157,-3.891928455,-3.891932417,-3.891916142
