resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,Model,US_ACELmpitarg,Inflation Target shock,Inflation,0,-4.257865122e-17,-0.1712472077,-0.5049769504,-0.9852542905,-1.592071879,-2.132563487,-2.594108043,-2.972775592,-3.271038989,-3.495732774,-3.656325875,-3.763531543,-3.82824719,-3.860796335,-3.87043281,-3.865061749,-3.851131147,-3.83365027,-3.81629596,-3.801573735,-3.791006864,-3.785332797,-3.784691986,-3.788799105,-3.797090787,-3.808847298,-3.823288018,-3.839642333,-3.857198691,-3.875335123,-3.893534805,-3.911390088,-3.92859819,-3.944951307,-3.960323455,-3.974655863,-3.987942309,-4.000215354,-4.011534112,-4.02197388,-4.031617758,-4.040550202,-4.048852356,-4.056598941,-4.063856428,-4.070682246,-4.07712476,-4.083223803,-4.089011545,-4.09451357,-4.099750007,-4.104736643,-4.10948595,-4.114007977,-4.118311107,-4.122402659,-4.126289347,-4.12997762,-4.133473876,-4.136784602,-4.139916435,-4.142876165,-4.145670718,-4.148307099,-4.150792332,-4.153133399,-4.155337178,-4.157410382,-4.159359525,-4.161190876,-4.162910441,-4.164523946,-4.166036828,-4.16745424,-4.168781051,-4.170021861,-4.17118101,-4.172262594,-4.173270482,-4.174208327,-4.175079587,-4.175887533,-4.176635268,-4.177325734,-4.177961726,-4.178545899,-4.17908078,-4.179568772,-4.180012164,-4.180413135,-4.180773759,-4.181096012,-4.181381776,-4.181632842,-4.181850915,-4.182037619,-4.182194497,-4.182323021,-4.182424587
IRF,Model,US_ACELmpitarg,Inflation Target shock,Interest,0,0.09473569165,-0.08883624061,-0.4484751042,-0.9034781515,-1.39284765,-1.872889086,-2.314525061,-2.700553338,-3.02302067,-3.280831097,-3.47766106,-3.620215446,-3.716828758,-3.776393792,-3.807585568,-3.818339742,-3.815541147,-3.804878291,-3.790822475,-3.776694775,-3.764789624,-3.756529585,-3.752631583,-3.753270109,-3.758227512,-3.767025322,-3.779033637,-3.793557926,-3.809904311,-3.827425449,-3.845549796,-3.863797293,-3.881784471,-3.899221797,-3.915905727,-3.931707553,-3.946560713,-3.960447846,-3.973388489,-3.985428034,-3.996628266,-4.007059639,-4.016795249,-4.02590641,-4.034459626,-4.042514738,-4.050124028,-4.057332039,-4.064175919,-4.0706861,-4.076887188,-4.082798919,-4.08843712,-4.093814605,-4.098941965,-4.103828241,-4.108481462,-4.112909068,-4.11711821,-4.12111596,-4.124909431,-4.128505845,-4.131912538,-4.135136943,-4.138186548,-4.141068837,-4.14379124,-4.146361068,-4.14878547,-4.151071387,-4.153225521,-4.155254311,-4.157163917,-4.158960211,-4.16064878,-4.162234928,-4.163723685,-4.165119817,-4.166427842,-4.167652039,-4.168796468,-4.169864979,-4.170861229,-4.171788691,-4.17265067,-4.173450309,-4.1741906,-4.174874396,-4.175504412,-4.176083237,-4.176613341,-4.177097076,-4.177536685,-4.177934305,-4.178291975,-4.178611636,-4.178895137,-4.179144239,-4.179360621
IRF,Model,US_ACELmpitarg,Inflation Target shock,Output,0,0.002904260387,-0.8014887823,-1.262666333,-1.455337134,-1.448232103,-1.301647962,-1.066249626,-0.782827126,-0.4827370369,-0.1887973561,0.08355438858,0.3249899334,0.5310187127,0.7007953691,0.8360573552,0.9402204172,1.017641622,1.073046205,1.111105314,1.136146042,1.151972358,1.161774855,1.168108261,1.1729176,1.177596553,1.183064447,1.189851178,1.198182112,1.208057391,1.219322119,1.231725578,1.24496888,1.258741404,1.272747004,1.286721323,1.300441763,1.313731642,1.32646002,1.338538492,1.349916073,1.360573078,1.370514698,1.379764786,1.388360199,1.3963459,1.403770917,1.410685166,1.417137102,1.423172089,1.428831401,1.434151724,1.439165055,1.443898871,1.448376506,1.452617629,1.456638777,1.460453891,1.464074823,1.467511791,1.470773774,1.473868827,1.47680435,1.479587274,1.482224205,1.484721522,1.487085431,1.489321999,1.491437161,1.493436717,1.495326318,1.497111453,1.498797428,1.500389352,1.501892124,1.503310422,1.504648702,1.505911193,1.5071019,1.508224609,1.509282896,1.510280134,1.511219502,1.512104001,1.512936461,1.51371955,1.514455791,1.515147566,1.515797129,1.516406613,1.516978039,1.51751332,1.518014275,1.518482624,1.518920004,1.519327967,1.519707989,1.520061469,1.520389738,1.520694059
IRF,Model,US_ACELmpitarg,Inflation Target shock,Output Gap,0,0.002904260387,-0.8014887823,-1.262666333,-1.455337134,-1.448232103,-1.301647962,-1.066249626,-0.782827126,-0.4827370369,-0.1887973561,0.08355438858,0.3249899334,0.5310187127,0.7007953691,0.8360573552,0.9402204172,1.017641622,1.073046205,1.111105314,1.136146042,1.151972358,1.161774855,1.168108261,1.1729176,1.177596553,1.183064447,1.189851178,1.198182112,1.208057391,1.219322119,1.231725578,1.24496888,1.258741404,1.272747004,1.286721323,1.300441763,1.313731642,1.32646002,1.338538492,1.349916073,1.360573078,1.370514698,1.379764786,1.388360199,1.3963459,1.403770917,1.410685166,1.417137102,1.423172089,1.428831401,1.434151724,1.439165055,1.443898871,1.448376506,1.452617629,1.456638777,1.460453891,1.464074823,1.467511791,1.470773774,1.473868827,1.47680435,1.479587274,1.482224205,1.484721522,1.487085431,1.489321999,1.491437161,1.493436717,1.495326318,1.497111453,1.498797428,1.500389352,1.501892124,1.503310422,1.504648702,1.505911193,1.5071019,1.508224609,1.509282896,1.510280134,1.511219502,1.512104001,1.512936461,1.51371955,1.514455791,1.515147566,1.515797129,1.516406613,1.516978039,1.51751332,1.518014275,1.518482624,1.518920004,1.519327967,1.519707989,1.520061469,1.520389738,1.520694059
IRF,Model,US_ACELmpitarg,Inflation Target shock,inflationq,0,4.30968106e-16,-0.6849888306,-1.334918971,-1.92110936,-2.427270355,-2.846955261,-3.181097196,-3.435779557,-3.62032394,-3.745730405,-3.8234696,-3.864602228,-3.879186527,-3.875926987,-3.862015497,-3.843117987,-3.82346412,-3.806003476,-3.792598257,-3.784229087,-3.781196636,-3.783307208,-3.790035015,-3.800657561,-3.814363363,-3.830333254,-3.847797893,-3.866074825,-3.884588793,-3.902878983,-3.92059662,-3.937495956,-3.9534212,-3.968291452,-3.982085211,-3.994825589,-4.006566984,-4.017383634,-4.027360242,-4.036584661,-4.045142495,-4.053113409,-4.060568861,-4.067571001,-4.074172442,-4.080416679,-4.086338921,-4.091967171,-4.097323411,-4.102424777,-4.107284667,-4.111913717,-4.116320638,-4.120512886,-4.124497187,-4.128279923,-4.131867393,-4.135265975,-4.138482212,-4.14152283,-4.144394722,-4.147104898,-4.149660423,-4.152068351,-4.154335655,-4.156469168,-4.158475536,-4.160361171,-4.162132225,-4.163794572,-4.165353796,-4.166815189,-4.168183755,-4.16946422,-4.170661042,-4.171778429,-4.17282035,-4.173790556,-4.174692592,-4.17552981,-4.176305389,-4.177022343,-4.177683531,-4.178291674,-4.178849355,-4.179359035,-4.179823055,-4.180243643,-4.180622924,-4.180962918,-4.181265551,-4.181532656,-4.181765979,-4.181967181,-4.182137844,-4.182279471,-4.182393494,-4.182481275,-4.182544109
IRF,Model,US_ACELswtpitarg,Inflation Target shock,Inflation,0,-0.2679331796,-0.7759179206,-1.479215489,-2.326405309,-2.999014307,-3.480306019,-3.779212675,-3.921257267,-3.940725065,-3.874431041,-3.757114056,-3.618433535,-3.48139381,-3.361930108,-3.26935163,-3.207340327,-3.175236716,-3.169394418,-3.184442911,-3.214355084,-3.253266999,-3.296038464,-3.338573146,-3.377936247,-3.412317445,-3.440888642,-3.463602286,-3.480968648,-3.493841249,-3.503230157,-3.510154202,-3.515535828,-3.520136861,-3.524529702,-3.529096469,-3.53404792,-3.539454348,-3.545281747,-3.551427951,-3.557755034,-3.564115743,-3.570372999,-3.576412507,-3.582149221,-3.58752881,-3.592525459,-3.597137315,-3.601380746,-3.605284368,-3.608883513,-3.612215591,-3.615316563,-3.618218552,-3.620948519,-3.623527818,-3.625972422,-3.628293593,-3.630498815,-3.632592796,-3.634578432,-3.636457643,-3.638232029,-3.639903339,-3.64147376,-3.642946049,-3.64432354,-3.645610074,-3.646809865,-3.647927355,-3.648967066,-3.649933463,-3.650830857,-3.651663323,-3.65243466,-3.653148369,-3.65380766,-3.654415466,-3.654974475,-3.655487161,-3.655955816,-3.656382585,-3.656769486,-3.657118436,-3.657431265,-3.657709727,-3.657955506,-3.65817022,-3.658355424,-3.658512607,-3.658643194,-3.658748545,-3.658829955,-3.658888653,-3.658925808,-3.658942523,-3.658939846,-3.658918768,-3.658880226,-3.658825108
IRF,Model,US_ACELswtpitarg,Inflation Target shock,Interest,0,0.1240904826,0.1166828818,0.06083180616,0.01071327583,-0.3246094539,-0.8343716005,-1.41986357,-2.002284561,-2.525640832,-2.956079128,-3.279016897,-3.495061993,-3.615528055,-3.65814441,-3.643355804,-3.591425627,-3.520407837,-3.444942447,-3.375756889,-3.319716993,-3.280260464,-3.258055445,-3.251749934,-3.258708044,-3.275661131,-3.299231828,-3.326314535,-3.354315547,-3.381269533,-3.405856909,-3.427349576,-3.445511807,-3.460479721,-3.472638127,-3.482508172,-3.49065421,-3.49761378,-3.503851089,-3.509731842,-3.51551569,-3.521361863,-3.52734351,-3.533466676,-3.539690595,-3.545946796,-3.552155421,-3.558237869,-3.564125562,-3.569765066,-3.575120109,-3.580171219,-3.584913704,-3.589354679,-3.593509735,-3.597399681,-3.601047694,-3.604477032,-3.607709393,-3.610763889,-3.613656565,-3.616400351,-3.61900532,-3.621479142,-3.623827624,-3.626055263,-3.628165738,-3.630162325,-3.632048207,-3.633826675,-3.635501245,-3.63707569,-3.638554017,-3.639940413,-3.641239161,-3.64245456,-3.643590847,-3.644652131,-3.645642346,-3.646565219,-3.647424254,-3.648222731,-3.648963713,-3.649650061,-3.650284455,-3.650869411,-3.651407305,-3.651900385,-3.65235079,-3.652760562,-3.653131651,-3.653465926,-3.653765178,-3.65403112,-3.654265394,-3.654469568,-3.654645139,-3.654793535,-3.654916115,-3.655014172
IRF,Model,US_ACELswtpitarg,Inflation Target shock,Output,0,-2.198868968,-3.531993803,-4.155681279,-4.223277226,-3.894253464,-3.311904725,-2.60286565,-1.869449807,-1.186533174,-0.6020603381,-0.1401082598,0.194533178,0.4111664015,0.5280839471,0.568051714,0.5546671443,0.5097075608,0.451448597,0.3938390341,0.3463639062,0.3144065908,0.2999251527,0.302280428,0.3190857291,0.3469842738,0.3822956453,0.4215034326,0.4615808039,0.5001684309,0.5356301393,0.5670167636,0.5939691355,0.616588265,0.6352958553,0.6507024481,0.6634945851,0.6743470476,0.6838618475,0.6925323892,0.7007290882,0.7087016154,0.7165926452,0.7244583108,0.7322912964,0.7400434218,0.7476455575,0.7550236217,0.7621101797,0.7688517642,0.7752124367,0.781174346,0.7867361237,0.7919099302,0.796717865,0.801188306,0.8053525848,0.8092422482,0.8128870209,0.8163134796,0.8195443679,0.8225984414,0.8254907043,0.8282329028,0.8308341526,0.8333015995,0.8356410385,0.8378574437,0.8399553825,0.8419393095,0.8438137473,0.8455833713,0.8472530206,0.8488276579,0.850312299,0.8517119303,0.8530314286,0.8542754909,0.8554485817,0.8565548978,0.8575983516,0.8585825697,0.8595109035,0.8603864488,0.8612120698,0.8619904253,0.8627239946,0.8634151011,0.8640659322,0.8646785564,0.8652549361,0.8657969375,0.8663063373,0.8667848282,0.8672340219,0.8676554519,0.8680505755,0.8684207758,0.8687673641,0.869091582
IRF,Model,US_ACELswtpitarg,Inflation Target shock,Output Gap,0,-2.198868968,-3.531993803,-4.155681279,-4.223277226,-3.894253464,-3.311904725,-2.60286565,-1.869449807,-1.186533174,-0.6020603381,-0.1401082598,0.194533178,0.4111664015,0.5280839471,0.568051714,0.5546671443,0.5097075608,0.451448597,0.3938390341,0.3463639062,0.3144065908,0.2999251527,0.302280428,0.3190857291,0.3469842738,0.3822956453,0.4215034326,0.4615808039,0.5001684309,0.5356301393,0.5670167636,0.5939691355,0.616588265,0.6352958553,0.6507024481,0.6634945851,0.6743470476,0.6838618475,0.6925323892,0.7007290882,0.7087016154,0.7165926452,0.7244583108,0.7322912964,0.7400434218,0.7476455575,0.7550236217,0.7621101797,0.7688517642,0.7752124367,0.781174346,0.7867361237,0.7919099302,0.796717865,0.801188306,0.8053525848,0.8092422482,0.8128870209,0.8163134796,0.8195443679,0.8225984414,0.8254907043,0.8282329028,0.8308341526,0.8333015995,0.8356410385,0.8378574437,0.8399553825,0.8419393095,0.8438137473,0.8455833713,0.8472530206,0.8488276579,0.850312299,0.8517119303,0.8530314286,0.8542754909,0.8554485817,0.8565548978,0.8575983516,0.8585825697,0.8595109035,0.8603864488,0.8612120698,0.8619904253,0.8627239946,0.8634151011,0.8640659322,0.8646785564,0.8652549361,0.8657969375,0.8663063373,0.8667848282,0.8672340219,0.8676554519,0.8680505755,0.8684207758,0.8687673641,0.869091582
IRF,Model,US_ACELswtpitarg,Inflation Target shock,inflationq,0,-1.071732718,-2.031938964,-2.813190274,-3.38875928,-3.762168711,-3.957105811,-4.008816896,-3.956937649,-3.840039902,-3.691929718,-3.539548954,-3.402215566,-3.291881001,-3.214074911,-3.169235041,-3.154170357,-3.163466556,-3.190705718,-3.229429015,-3.273819047,-3.319114216,-3.36179158,-3.39956774,-3.431271451,-3.456639011,-3.476076367,-3.490422315,-3.500736901,-3.508129412,-3.513632001,-3.518118492,-3.522263408,-3.526533544,-3.531203363,-3.536385562,-3.542069211,-3.548159257,-3.55451296,-3.560970377,-3.567377543,-3.573602094,-3.579541982,-3.585128408,-3.590324399,-3.595120452,-3.599528579,-3.60357583,-3.607298124,-3.61073494,-3.613925158,-3.616904144,-3.619702009,-3.622342895,-3.624845027,-3.627221342,-3.629480423,-3.63162758,-3.633665915,-3.635597265,-3.637422968,-3.639144424,-3.640763458,-3.642282505,-3.643704653,-3.645033578,-3.646273424,-3.64742864,-3.648503817,-3.64950354,-3.650432266,-3.65129423,-3.652093393,-3.652833405,-3.653517613,-3.654149067,-3.654730555,-3.655264629,-3.655753649,-3.656199811,-3.656605177,-3.656971704,-3.657301253,-3.657595611,-3.657856493,-3.65808555,-3.658284368,-3.658454468,-3.658597308,-3.658714282,-3.658806716,-3.658875872,-3.658922948,-3.658949077,-3.658955333,-3.658942734,-3.658912241,-3.658864764,-3.658801166,-3.658722262
