resulttype,rule,model,shock,variable,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
IRF,taylor,US_ACELmpitarg,Inflation Target shock,Inflation,0,3.29E-16,-0.13922265,-0.418484681,-0.830492126,-1.363173119,-1.862072042,-2.310196204,-2.699141997,-3.026611622,-3.295245469,-3.510572106,-3.679566814,-3.809664287,-3.90810582,-3.981538766,-4.035800642,-4.075833776,-4.105688246,-4.128580836,-4.146986034,-4.16274179,-4.177158065,-4.191120354,-4.205183468,-4.219653142,-4.234654681,-4.250188909,-4.266176413,-4.282491412,-4.298986788,-4.315511796,-4.331923905,-4.34809607,-4.363920563,-4.379310316,-4.394198532,-4.408537196,-4.422294934,-4.435454583,-4.448010693,-4.459967159,-4.471335052,-4.482130729,-4.492374225,-4.502087937,-4.511295569,-4.520021317,-4.528289263,-4.536122938,-4.543545027,-4.550577187,-4.557239946,-4.563552667,-4.569533563,-4.57519973,-4.580567215,-4.585651077,-4.590465469,-4.595023705,-4.599338332,-4.603421197,-4.607283503,-4.610935861,-4.614388341,-4.617650505,-4.620731449,-4.623639829,-4.626383892,-4.628971495,-4.631410129,-4.633706938,-4.635868733,-4.63790201,-4.639812962,-4.641607496,-4.643291242,-4.644869565,-4.64634758,-4.647730158,-4.649021942,-4.650227353,-4.651350601,-4.652395693,-4.653366448,-4.654266498,-4.6550993,-4.655868147,-4.656576168,-4.657226346,-4.657821516,-4.658364375,-4.658857491,-4.659303306,-4.659704143,-4.660062212,-4.660379615,-4.660658353,-4.660900328,-4.661107349
IRF,taylor,US_ACELmpitarg,Inflation Target shock,Interest,0,1.523350259,0.94655647,0.348304708,-0.317432093,-1.078571803,-1.736335887,-2.290511928,-2.745814191,-3.110160045,-3.394496716,-3.610946491,-3.771595591,-3.887741094,-3.969457406,-4.025394798,-4.062739218,-4.087278078,-4.103530088,-4.11490833,-4.12389468,-4.132210796,-4.140976338,-4.150849153,-4.162145136,-4.174937517,-4.189136658,-4.204552274,-4.220940377,-4.238037371,-4.255583675,-4.273339039,-4.291091492,-4.308661565,-4.325903142,-4.342702048,-4.358973222,-4.374657117,-4.389715813,-4.404129155,-4.417891133,-4.431006645,-4.443488685,-4.455355981,-4.466631076,-4.477338793,-4.487505065,-4.497156056,-4.506317536,-4.515014454,-4.523270674,-4.531108823,-4.538550236,-4.545614957,-4.552321786,-4.558688351,-4.564731188,-4.570465837,-4.575906926,-4.581068254,-4.585962874,-4.590603154,-4.595000841,-4.599167111,-4.603112614,-4.606847512,-4.610381508,-4.613723879,-4.616883492,-4.61986883,-4.622688006,-4.62534878,-4.627858576,-4.630224489,-4.632453305,-4.634551506,-4.636525286,-4.638380561,-4.640122978,-4.641757928,-4.643290553,-4.644725761,-4.64606823,-4.647322422,-4.64849259,-4.649582788,-4.650596879,-4.651538544,-4.652411289,-4.653218455,-4.653963223,-4.654648624,-4.655277543,-4.655852727,-4.656376793,-4.656852232,-4.657281415,-4.657666599,-4.658009932,-4.658313461
IRF,taylor,US_ACELmpitarg,Inflation Target shock,Output,0,0.046700517,-0.68891911,-1.047336571,-1.142487899,-1.066424431,-0.884955947,-0.648635695,-0.392103021,-0.138086064,0.099441896,0.312821985,0.49880761,0.657108695,0.789300311,0.898023975,0.98642034,1.057741574,1.115100484,1.16132126,1.198863617,1.229798083,1.255815224,1.278255833,1.298152547,1.316276119,1.333181734,1.349252437,1.364737964,1.379788164,1.394480846,1.408844274,1.422874794,1.436550214,1.449839583,1.46271004,1.475131322,1.487078475,1.49853322,1.509484374,1.519927611,1.529864816,1.539303218,1.548254428,1.556733471,1.564757887,1.57234692,1.579520835,1.586300335,1.592706116,1.598758509,1.604477225,1.609881179,1.614988375,1.619815845,1.624379633,1.628694796,1.632775441,1.636634765,1.640285109,1.643738016,1.647004286,1.650094034,1.653016746,1.655781324,1.658396137,1.660869061,1.663207517,1.665418505,1.667508635,1.669484154,1.671350969,1.67311467,1.67478055,1.676353624,1.677838642,1.679240105,1.680562283,1.681809221,1.682984757,1.684092528,1.685135984,1.686118397,1.687042871,1.687912349,1.688729622,1.689497338,1.690218008,1.690894014,1.691527617,1.692120961,1.692676079,1.693194901,1.693679259,1.694130889,1.694551442,1.69494248,1.69530549,1.695641881,1.69595299
IRF,taylor,US_ACELmpitarg,Inflation Target shock,Output Gap,0,0.046700517,-0.68891911,-1.047336571,-1.142487899,-1.066424431,-0.884955947,-0.648635695,-0.392103021,-0.138086064,0.099441896,0.312821985,0.49880761,0.657108695,0.789300311,0.898023975,0.98642034,1.057741574,1.115100484,1.16132126,1.198863617,1.229798083,1.255815224,1.278255833,1.298152547,1.316276119,1.333181734,1.349252437,1.364737964,1.379788164,1.394480846,1.408844274,1.422874794,1.436550214,1.449839583,1.46271004,1.475131322,1.487078475,1.49853322,1.509484374,1.519927611,1.529864816,1.539303218,1.548254428,1.556733471,1.564757887,1.57234692,1.579520835,1.586300335,1.592706116,1.598758509,1.604477225,1.609881179,1.614988375,1.619815845,1.624379633,1.628694796,1.632775441,1.636634765,1.640285109,1.643738016,1.647004286,1.650094034,1.653016746,1.655781324,1.658396137,1.660869061,1.663207517,1.665418505,1.667508635,1.669484154,1.671350969,1.67311467,1.67478055,1.676353624,1.677838642,1.679240105,1.680562283,1.681809221,1.682984757,1.684092528,1.685135984,1.686118397,1.687042871,1.687912349,1.688729622,1.689497338,1.690218008,1.690894014,1.691527617,1.692120961,1.692676079,1.693194901,1.693679259,1.694130889,1.694551442,1.69494248,1.69530549,1.695641881,1.69595299
IRF,taylor,US_ACELmpitarg,Inflation Target shock,inflationq,0,1.24E-15,-0.556890601,-1.117048124,-1.648029778,-2.130723972,-2.552486296,-2.909544769,-3.203812952,-3.44060247,-3.627021684,-3.770851315,-3.879791786,-3.960992363,-4.020787817,-4.0645831,-4.096839289,-4.1211249,-4.140205696,-4.156153458,-4.170460083,-4.184147924,-4.197870795,-4.212002615,-4.226712538,-4.242026621,-4.257876949,-4.274139529,-4.290662554,-4.307286618,-4.323858453,-4.34023956,-4.356310988,-4.371975277,-4.387156429,-4.401798571,-4.415863851,-4.429329931,-4.442187384,-4.454437165,-4.466088292,-4.477155794,-4.487658956,-4.497619872,-4.507062278,-4.516010643,-4.524489483,-4.532522864,-4.540134062,-4.547345343,-4.554177841,-4.560651504,-4.566785095,-4.572596228,-4.578101422,-4.583316174,-4.588255034,-4.592931679,-4.59735899,-4.601549117,-4.605513543,-4.609263139,-4.612808212,-4.616158552,-4.619323461,-4.622311795,-4.625131988,-4.627792073,-4.630299712,-4.632662207,-4.634886525,-4.636979309,-4.638946891,-4.640795314,-4.642530335,-4.644157445,-4.645681873,-4.647108607,-4.648442394,-4.649687759,-4.65084901,-4.65193025,-4.652935384,-4.65386813,-4.654732029,-4.655530448,-4.656266593,-4.656943515,-4.657564117,-4.65813116,-4.658647271,-4.659114952,-4.65953658,-4.659914419,-4.660250619,-4.660547228,-4.660806195,-4.661029371,-4.661218518,-4.661375312
IRF,taylor,US_ACELswtpitarg,Inflation Target shock,Inflation,0,-0.136263759,-0.399768752,-0.776069784,-1.248754338,-1.665294851,-2.019812076,-2.313781107,-2.552741176,-2.744105621,-2.895746631,-3.015168037,-3.109071794,-3.183178808,-3.242206233,-3.289934228,-3.329317596,-3.362613816,-3.391510203,-3.417240554,-3.440686718,-3.462463671,-3.482988616,-3.502535635,-3.521277895,-3.539319497,-3.556718972,-3.573506195,-3.589694247,-3.605287463,-3.620286693,-3.634692553,-3.648507279,-3.661735628,-3.674385165,-3.686466176,-3.697991363,-3.708975437,-3.719434689,-3.729386567,-3.738849301,-3.747841567,-3.756382221,-3.76449007,-3.772183703,-3.779481353,-3.786400801,-3.792959303,-3.799173547,-3.80505962,-3.810632994,-3.815908525,-3.820900452,-3.825622407,-3.83008743,-3.834307986,-3.83829598,-3.842062777,-3.845619223,-3.848975662,-3.85214196,-3.85512752,-3.857941304,-3.860591851,-3.863087292,-3.865435374,-3.86764347,-3.869718599,-3.871667442,-3.873496356,-3.875211387,-3.876818288,-3.87832253,-3.879729314,-3.881043587,-3.882270049,-3.883413169,-3.884477194,-3.885466158,-3.886383896,-3.887234049,-3.888020077,-3.888745266,-3.889412737,-3.890025452,-3.890586225,-3.891097728,-3.891562497,-3.891982939,-3.892361339,-3.892699866,-3.893000579,-3.893265431,-3.893496276,-3.893694873,-3.893862891,-3.894001914,-3.894113443,-3.894198905,-3.894259652
IRF,taylor,US_ACELswtpitarg,Inflation Target shock,Interest,0,0.94465583,0.355294328,-0.280210514,-0.982399511,-1.553455702,-2.007399921,-2.361211362,-2.632299881,-2.837003872,-2.989764997,-3.10281436,-3.186170203,-3.247810754,-3.293932047,-3.329233372,-3.357195986,-3.380336226,-3.400424422,-3.418667399,-3.43585617,-3.45248241,-3.468828176,-3.485033473,-3.501145974,-3.517156741,-3.53302519,-3.548695974,-3.564109959,-3.57921093,-3.593949352,-3.60828412,-3.622183011,-3.635622343,-3.648586187,-3.661065367,-3.673056409,-3.684560522,-3.695582669,-3.706130748,-3.716214902,-3.725846933,-3.735039831,-3.743807392,-3.752163915,-3.760123963,-3.767702184,-3.774913166,-3.781771335,-3.788290873,-3.794485666,-3.800369254,-3.805954809,-3.811255114,-3.816282546,-3.821049077,-3.825566266,-3.829845259,-3.833896797,-3.837731216,-3.841358456,-3.844788068,-3.848029224,-3.85109072,-3.853980996,-3.856708135,-3.85927988,-3.861703644,-3.863986517,-3.86613528,-3.868156415,-3.870056114,-3.87184029,-3.873514589,-3.875084398,-3.876554858,-3.877930869,-3.879217105,-3.880418019,-3.881537855,-3.882580654,-3.883550267,-3.884450359,-3.885284419,-3.886055767,-3.886767562,-3.887422811,-3.888024371,-3.888574963,-3.88907717,-3.889533451,-3.889946141,-3.890317461,-3.890649521,-3.890944326,-3.891203779,-3.891429692,-3.891623781,-3.891787679,-3.891922937
IRF,taylor,US_ACELswtpitarg,Inflation Target shock,Output,0,-0.701897062,-1.089805086,-1.231611705,-1.217636098,-1.109827031,-0.953863913,-0.779279854,-0.604276863,-0.43929172,-0.28959118,-0.15712596,-0.041826673,0.057512935,0.142652266,0.215533211,0.278057667,0.331965398,0.378777687,0.419782276,0.456042686,0.488420497,0.517603199,0.544133036,0.568434154,0.590836735,0.611597543,0.630916895,0.648952303,0.665829199,0.681649205,0.696496381,0.710441879,0.723547332,0.735867299,0.747450984,0.75834344,0.768586387,0.778218772,0.787277141,0.795795896,0.803807465,0.811342432,0.818429631,0.825096227,0.831367793,0.837268377,0.842820573,0.84804559,0.852963324,0.857592426,0.861950377,0.866053549,0.869917279,0.873555929,0.876982949,0.880210937,0.883251696,0.886116282,0.888815057,0.891357735,0.893753426,0.896010674,0.898137495,0.900141415,0.902029498,0.903808381,0.905484297,0.907063106,0.908550317,0.909951107,0.911270351,0.912512632,0.913682265,0.914783311,0.915819596,0.916794722,0.917712082,0.918574875,0.919386116,0.920148646,0.920865143,0.921538136,0.922170008,0.922763008,0.923319258,0.92384076,0.924329405,0.924786979,0.925215165,0.925615557,0.925989656,0.926338884,0.926664581,0.926968016,0.927250385,0.927512822,0.927756396,0.92798212,0.928190949
IRF,taylor,US_ACELswtpitarg,Inflation Target shock,Output Gap,0,-0.701897062,-1.089805086,-1.231611705,-1.217636098,-1.109827031,-0.953863913,-0.779279854,-0.604276863,-0.43929172,-0.28959118,-0.15712596,-0.041826673,0.057512935,0.142652266,0.215533211,0.278057667,0.331965398,0.378777687,0.419782276,0.456042686,0.488420497,0.517603199,0.544133036,0.568434154,0.590836735,0.611597543,0.630916895,0.648952303,0.665829199,0.681649205,0.696496381,0.710441879,0.723547332,0.735867299,0.747450984,0.75834344,0.768586387,0.778218772,0.787277141,0.795795896,0.803807465,0.811342432,0.818429631,0.825096227,0.831367793,0.837268377,0.842820573,0.84804559,0.852963324,0.857592426,0.861950377,0.866053549,0.869917279,0.873555929,0.876982949,0.880210937,0.883251696,0.886116282,0.888815057,0.891357735,0.893753426,0.896010674,0.898137495,0.900141415,0.902029498,0.903808381,0.905484297,0.907063106,0.908550317,0.909951107,0.911270351,0.912512632,0.913682265,0.914783311,0.915819596,0.916794722,0.917712082,0.918574875,0.919386116,0.920148646,0.920865143,0.921538136,0.922170008,0.922763008,0.923319258,0.92384076,0.924329405,0.924786979,0.925215165,0.925615557,0.925989656,0.926338884,0.926664581,0.926968016,0.927250385,0.927512822,0.927756396,0.92798212,0.928190949
IRF,taylor,US_ACELswtpitarg,Inflation Target shock,inflationq,0,-0.545055036,-1.054019974,-1.505204128,-1.890738214,-2.21121709,-2.472088874,-2.68108025,-2.846578493,-2.976674869,-3.078652914,-3.158765871,-3.222193523,-3.273102923,-3.314762614,-3.349677852,-3.379726994,-3.406287805,-3.430348159,-3.452599256,-3.47351165,-3.493395618,-3.512447939,-3.530787334,-3.54848069,-3.565562025,-3.582045837,-3.597936229,-3.613232898,-3.627934888,-3.642042756,-3.655559671,-3.668491803,-3.680848282,-3.692640905,-3.703883715,-3.714592548,-3.724784578,-3.734477913,-3.74369123,-3.752443481,-3.760753643,-3.768640527,-3.776122628,-3.783218014,-3.789944244,-3.796318318,-3.802356637,-3.808074988,-3.813488535,-3.818611817,-3.823458761,-3.828042694,-3.832376354,-3.836471911,-3.840340986,-3.843994669,-3.847443542,-3.850697693,-3.853766743,-3.856659861,-3.859385783,-3.86195283,-3.864368929,-3.866641628,-3.86877811,-3.870785213,-3.872669446,-3.874437,-3.876093763,-3.877645338,-3.879097051,-3.880453967,-3.881720901,-3.882902429,-3.8840029,-3.885026448,-3.885976999,-3.886858286,-3.887673851,-3.888427061,-3.889121112,-3.889759042,-3.890343733,-3.890877921,-3.891364206,-3.891805054,-3.892202807,-3.892559688,-3.892877806,-3.893159163,-3.893405659,-3.893619096,-3.893801186,-3.893953551,-3.894077731,-3.894175187,-3.894247305,-3.894295399,-3.894320718
